method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
path_weight,N/A,rrg,0.0,0.3,0.3,0,0.7033333333333334,0.7000066,0.0,0.0,4.898572477587552,4.6622105,,,,
path_weight,N/A,rrg,0.1,0.3,0.3,0,0.7466666666666667,0.7402413,0.1460674157303371,0.142963,3.7539288291032,4.191527,,,,
path_weight,N/A,rrg,0.2,0.3,0.3,0,0.7766666666666666,0.7730651,0.2471910112359548,0.24879827,3.3310224529163306,3.5401773,,,,
path_weight,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.8133333333333334,0.80276644,0.3707865168539326,0.34769496,2.889597581743963,2.9123616,,,,
path_weight,N/A,rrg,0.4,0.3,0.3,0,0.84,0.8341406,0.46067415730337063,0.4517369,2.403219073439875,2.4996934,,,,
path_weight,N/A,rrg,0.5,0.3,0.3,0,0.86,0.8599495,0.5280898876404494,0.5308741,1.88923028416089,1.9633846,,,,
path_weight,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.8933333333333333,0.8957743,0.6404494382022471,0.64790136,1.5826178495585603,1.5447333,,,,
path_weight,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.9266666666666666,0.9268457,0.7528089887640448,0.7532354,1.2749387364976812,1.1298709,,,,
path_weight,N/A,rrg,0.8,0.3,0.3,0,0.9533333333333334,0.94820803,0.8426966292134832,0.82536674,0.9701883261185814,0.706794,,,,
path_weight,N/A,rrg,0.9,0.3,0.3,0,0.9733333333333334,0.976322,0.9101123595505619,0.91935784,0.2611265447780296,0.38468125,,,,
path_weight,N/A,rrg,1.0,0.3,0.3,0,1.0,0.99992543,1.0,0.9997486,1.888654866640314e-06,0.0064149825,,,,
path_weight,N/A,rrg,0.0,0.4,0.3,0,0.6,0.6000194,0.0,0.0,3.5539365362291875,3.3618698,,,,
path_weight,N/A,rrg,0.1,0.4,0.3,0,0.6333333333333333,0.6447495,0.08333333333333331,0.08577127,3.0562103985304705,3.0423434,,,,
path_weight,N/A,rrg,0.2,0.4,0.3,0,0.6833333333333333,0.6835363,0.20833333333333343,0.20939073,2.770337711825082,2.4824739,,,,
path_weight,N/A,rrg,0.30000000000000004,0.4,0.3,0,0.7333333333333333,0.7258602,0.33333333333333326,0.32930705,2.345891732144967,2.1678777,,,,
path_weight,N/A,rrg,0.4,0.4,0.3,0,0.7566666666666667,0.772712,0.39166666666666683,0.4157998,1.711513783542732,1.8741248,,,,
path_weight,N/A,rrg,0.5,0.4,0.3,0,0.8033333333333333,0.81620413,0.5083333333333334,0.5347062,1.5699371888497746,1.5341955,,,,
path_weight,N/A,rrg,0.6000000000000001,0.4,0.3,0,0.84,0.85504854,0.6,0.6307909,1.3063347066686044,1.1595416,,,,
path_weight,N/A,rrg,0.7000000000000001,0.4,0.3,0,0.8933333333333333,0.88806903,0.7333333333333333,0.7264797,1.0181711846867272,0.811149,,,,
path_weight,N/A,rrg,0.8,0.4,0.3,0,0.93,0.92545146,0.8250000000000002,0.817009,0.805326349127355,0.5490878,,,,
path_weight,N/A,rrg,0.9,0.4,0.3,0,0.9733333333333334,0.9618258,0.9333333333333335,0.9064908,0.29008906793231876,0.2287028,,,,
path_weight,N/A,rrg,1.0,0.4,0.3,0,1.0,0.9998999,1.0,0.9997498,2.8311258304929924e-06,0.007713698,,,,
path_weight,N/A,rrg,0.0,0.5,0.3,0,0.5333333333333333,0.5000508,0.0,0.0,2.3787246596597127,2.4374468,,,,
path_weight,N/A,rrg,0.1,0.5,0.3,0,0.5533333333333333,0.5532473,0.04285714285714289,0.09641603,2.2416454865430335,2.1523376,,,,
path_weight,N/A,rrg,0.2,0.5,0.3,0,0.6033333333333334,0.6071394,0.15000000000000013,0.19612294,2.0228089288387583,1.8814582,,,,
path_weight,N/A,rrg,0.30000000000000004,0.5,0.3,0,0.6466666666666666,0.6600256,0.24285714285714274,0.29921728,1.7883938390960603,1.6420373,,,,
path_weight,N/A,rrg,0.4,0.5,0.3,0,0.7433333333333333,0.7128955,0.4499999999999999,0.40887645,1.3807647889913095,1.3742048,,,,
path_weight,N/A,rrg,0.5,0.5,0.3,0,0.78,0.76217216,0.5285714285714286,0.5031887,1.1154340399764917,1.1247288,,,,
path_weight,N/A,rrg,0.6000000000000001,0.5,0.3,0,0.84,0.8105712,0.657142857142857,0.6099453,0.9216013488483306,0.85693514,,,,
path_weight,N/A,rrg,0.7000000000000001,0.5,0.3,0,0.87,0.86152387,0.7214285714285714,0.7100878,0.671700486995242,0.6814679,,,,
path_weight,N/A,rrg,0.8,0.5,0.3,0,0.9133333333333333,0.9088748,0.8142857142857143,0.811509,0.48521404940810614,0.41489145,,,,
path_weight,N/A,rrg,0.9,0.5,0.3,0,0.97,0.95345294,0.9357142857142856,0.903249,0.23281079807395866,0.18767184,,,,
path_weight,N/A,rrg,1.0,0.5,0.3,0,1.0,0.99988675,1.0,0.9997573,1.7804385011260916e-06,0.0076860716,,,,
path_weight,N/A,rrg,0.0,0.3,0.3,1,0.7333333333333333,0.7000066,0.0,0.0,5.4999342704698355,4.6622105,,,,
