method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,powerlaw,0.0,0.05,0.3,0,0.95,0.9501674,0.0,0.0,14.85500358087024,11.6261015,157.93333333333334,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.05,0.3,0,0.9433333333333334,0.94499755,-0.13333333333333186,-0.103744745,2.579368909613635,3.289521,96.8,0.25,0.06666666666666667,0.10526315789473685
random,N/A,powerlaw,0.2,0.05,0.3,0,0.9433333333333334,0.9563134,-0.13333333333333186,0.12333204,1.8513440679972397,3.172673,69.06666666666666,0.375,0.2,0.26086956521739135
random,N/A,powerlaw,0.30000000000000004,0.05,0.3,0,0.96,0.9608177,0.2,0.21372116,1.9119260715640902,1.962052,49.06666666666667,0.6666666666666666,0.4,0.5
random,N/A,powerlaw,0.4,0.05,0.3,0,0.9766666666666667,0.9759042,0.5333333333333341,0.5164655,1.368934603347168,1.4698102,19.933333333333334,0.7222222222222222,0.8666666666666667,0.7878787878787877
random,N/A,powerlaw,0.5,0.05,0.3,0,0.97,0.983349,0.4,0.66586167,1.4451350469588997,1.1362852,17.666666666666668,0.75,0.6,0.6666666666666665
random,N/A,powerlaw,0.6000000000000001,0.05,0.3,0,0.9633333333333334,0.9835037,0.26666666666666816,0.6689656,1.2739595001159536,0.9185807,34.06666666666667,0.6666666666666666,0.5333333333333333,0.5925925925925926
random,N/A,powerlaw,0.7000000000000001,0.05,0.3,0,0.9833333333333333,0.986744,0.666666666666666,0.73398906,0.5436759155995683,0.79722506,9.933333333333334,0.7777777777777778,0.9333333333333333,0.8484848484848485
random,N/A,powerlaw,0.8,0.05,0.3,0,0.99,0.990187,0.8,0.80308044,0.46019816620771875,0.57437485,14.533333333333333,0.9285714285714286,0.8666666666666667,0.896551724137931
random,N/A,powerlaw,0.9,0.05,0.3,0,0.9966666666666667,0.99544024,0.9333333333333341,0.9084985,0.13478668000009933,0.3301337,8.0,0.9375,1.0,0.967741935483871
random,N/A,powerlaw,1.0,0.05,0.3,0,1.0,0.998849,1.0,0.9769021,0.04663696117678661,0.16405453,8.0,1.0,1.0,1.0
random,N/A,powerlaw,0.0,0.1,0.3,0,0.89,0.90010643,0.0,0.0,6.782536085543037,7.822884,147.54545454545453,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.1,0.3,0,0.8966666666666666,0.8997522,0.06060606060606,-0.0035460782,1.8646949928643597,2.8286128,102.72727272727273,0.6666666666666666,0.12121212121212122,0.20512820512820512
random,N/A,powerlaw,0.2,0.1,0.3,0,0.9066666666666666,0.91445404,0.151515151515151,0.143629,1.8835991780125254,2.6251616,81.18181818181819,0.7272727272727273,0.24242424242424243,0.36363636363636365
random,N/A,powerlaw,0.30000000000000004,0.1,0.3,0,0.9166666666666666,0.91856647,0.242424242424242,0.18479703,1.456481847000036,2.1624067,61.63636363636363,0.7222222222222222,0.3939393939393939,0.5098039215686274
random,N/A,powerlaw,0.4,0.1,0.3,0,0.92,0.93843627,0.272727272727273,0.38370678,1.38471930065635,1.5492687,61.63636363636363,0.7368421052631579,0.42424242424242425,0.5384615384615385
