method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,powerlaw,0.0,0.05,0.3,0,0.915,0.94999987,0.0,0.0,18.4703312700423,11.311197,112.6470588235294,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.05,0.3,0,0.93,0.9507927,0.17647058823529435,0.015855987,2.881381236626826,2.6962233,48.529411764705884,0.8,0.23529411764705882,0.3636363636363636
random,N/A,powerlaw,0.2,0.05,0.3,0,0.92,0.95790815,0.05882352941176478,0.15816528,3.0089110758173505,2.0232553,60.470588235294116,0.6,0.17647058823529413,0.2727272727272727
random,N/A,powerlaw,0.30000000000000004,0.05,0.3,0,0.95,0.9603383,0.4117647058823522,0.20676798,2.038018058385755,2.035282,49.8235294117647,1.0,0.4117647058823529,0.5833333333333334
random,N/A,powerlaw,0.4,0.05,0.3,0,0.95,0.96771485,0.4117647058823522,0.35429862,1.9602573825701415,1.5409045,21.647058823529413,0.8181818181818182,0.5294117647058824,0.6428571428571428
random,N/A,powerlaw,0.5,0.05,0.3,0,0.945,0.97452426,0.35294117647058737,0.49048653,1.3324146428251071,1.1137875,27.294117647058822,0.75,0.5294117647058824,0.6206896551724139
random,N/A,powerlaw,0.6000000000000001,0.05,0.3,0,0.945,0.9818573,0.35294117647058737,0.63714695,0.9187667790073246,0.79565734,21.705882352941178,0.8,0.47058823529411764,0.5925925925925927
random,N/A,powerlaw,0.7000000000000001,0.05,0.3,0,0.985,0.9871159,0.8235294117647056,0.74231905,0.7203846104121535,0.69341,12.058823529411764,1.0,0.8235294117647058,0.9032258064516129
random,N/A,powerlaw,0.8,0.05,0.3,0,0.98,0.9899786,0.7647058823529409,0.79957277,0.6424250283551628,0.5099684,12.705882352941176,1.0,0.7647058823529411,0.8666666666666666
random,N/A,powerlaw,0.9,0.05,0.3,0,0.98,0.991449,0.7647058823529409,0.82898045,0.4914370690573289,0.35321987,10.411764705882353,0.9333333333333333,0.8235294117647058,0.8749999999999999
random,N/A,powerlaw,1.0,0.05,0.3,0,1.0,0.9990741,1.0,0.9814821,0.20303651205534914,0.14320007,9.0,1.0,1.0,1.0
random,N/A,powerlaw,0.0,0.1,0.3,0,0.91,0.90000033,0.0,0.0,9.896709733990798,10.283935,101.11111111111111,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.1,0.3,0,0.915,0.8943851,0.05555555555555562,-0.05615253,2.7090620520608257,3.8152251,78.72222222222223,0.6666666666666666,0.1111111111111111,0.1904761904761905
random,N/A,powerlaw,0.2,0.1,0.3,0,0.92,0.9141728,0.11111111111111124,0.14172542,1.6531559100579631,2.1657128,74.44444444444444,0.6666666666666666,0.2222222222222222,0.3333333333333333
random,N/A,powerlaw,0.30000000000000004,0.1,0.3,0,0.955,0.92255104,0.4999999999999994,0.22550778,1.323281636851147,1.9376788,35.833333333333336,0.9090909090909091,0.5555555555555556,0.6896551724137931
random,N/A,powerlaw,0.4,0.1,0.3,0,0.925,0.95181936,0.16666666666666688,0.518192,1.554460211103637,1.4306903,36.94444444444444,0.6666666666666666,0.3333333333333333,0.4444444444444444
random,N/A,powerlaw,0.5,0.1,0.3,0,0.945,0.9566868,0.3888888888888881,0.5668665,0.9993421226269049,1.0074619,19.38888888888889,0.7058823529411765,0.6666666666666666,0.6857142857142857
random,N/A,powerlaw,0.6000000000000001,0.1,0.3,0,0.955,0.96610314,0.4999999999999994,0.66103023,0.9214839265038219,0.7886894,19.88888888888889,0.8461538461538461,0.6111111111111112,0.7096774193548387
random,N/A,powerlaw,0.7000000000000001,0.1,0.3,0,0.975,0.9765289,0.7222222222222219,0.76528805,0.5169191039898362,0.5864442,12.61111111111111,0.8823529411764706,0.8333333333333334,0.8571428571428571
random,N/A,powerlaw,0.8,0.1,0.3,0,0.97,0.9813066,0.6666666666666663,0.8130655,0.7027925617468882,0.55114263,13.333333333333334,0.9285714285714286,0.7222222222222222,0.8125000000000001
random,N/A,powerlaw,0.9,0.1,0.3,0,0.985,0.9930063,0.8333333333333331,0.93006265,0.3076230018927951,0.28480208,10.277777777777779,1.0,0.8333333333333334,0.9090909090909091
random,N/A,powerlaw,1.0,0.1,0.3,0,1.0,0.99860466,1.0,0.9860465,0.14137898546471933,0.15385601,9.5,1.0,1.0,1.0
random,N/A,powerlaw,0.0,0.2,0.3,0,0.77,0.80117357,0.0,0.0,4.848426616634869,6.9794254,101.67391304347827,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.2,0.3,0,0.765,0.8146898,-0.02173913043478263,0.06798013,2.035762522193494,3.3364937,90.08695652173913,0.42857142857142855,0.06521739130434782,0.11320754716981131
random,N/A,powerlaw,0.2,0.2,0.3,0,0.815,0.8341982,0.19565217391304318,0.16609769,1.5453443999581884,2.1266048,71.02173913043478,0.8461538461538461,0.2391304347826087,0.3728813559322034
random,N/A,powerlaw,0.30000000000000004,0.2,0.3,0,0.815,0.85674286,0.19565217391304318,0.27948645,1.5725347455976928,1.9056389,57.21739130434783,0.7368421052631579,0.30434782608695654,0.43076923076923074
random,N/A,powerlaw,0.4,0.2,0.3,0,0.855,0.8825829,0.3695652173913042,0.40944925,1.3630128066369536,1.3894219,45.630434782608695,0.84,0.45652173913043476,0.5915492957746479
random,N/A,powerlaw,0.5,0.2,0.3,0,0.845,0.89654374,0.32608695652173897,0.47966546,1.0480051555944145,1.4360849,42.891304347826086,0.7777777777777778,0.45652173913043476,0.5753424657534246
random,N/A,powerlaw,0.6000000000000001,0.2,0.3,0,0.895,0.9171742,0.5434782608695653,0.5834267,0.8259933659283427,0.96002716,34.52173913043478,0.8571428571428571,0.6521739130434783,0.7407407407407407
random,N/A,powerlaw,0.7000000000000001,0.2,0.3,0,0.935,0.9450424,0.7173913043478263,0.72358996,0.5833013327973137,0.69640505,28.782608695652176,0.9024390243902439,0.8043478260869565,0.8505747126436782
random,N/A,powerlaw,0.8,0.2,0.3,0,0.97,0.9634277,0.8695652173913042,0.8160593,0.4907451918502676,0.5900957,24.82608695652174,0.9545454545454546,0.9130434782608695,0.9333333333333332
random,N/A,powerlaw,0.9,0.2,0.3,0,0.97,0.9767955,0.8695652173913042,0.8832927,0.27979508987233065,0.45661396,24.695652173913043,0.9761904761904762,0.8913043478260869,0.9318181818181818
random,N/A,powerlaw,1.0,0.2,0.3,0,1.0,0.9942722,1.0,0.9711918,0.11439176795880059,0.2458148,23.5,1.0,1.0,1.0
random,N/A,powerlaw,0.0,0.05,0.3,1,0.985,0.9499994,0.0,0.0,9.126586911416188,10.769836,50.0,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.05,0.3,1,0.98,0.95714766,-0.3333333333333333,0.14296357,2.5538551888295125,3.971869,119.33333333333333,0.0,0.0,0.0
random,N/A,powerlaw,0.2,0.05,0.3,1,0.98,0.9642108,-0.3333333333333333,0.28422487,2.8732305828483438,2.634215,64.33333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
random,N/A,powerlaw,0.30000000000000004,0.05,0.3,1,0.985,0.9645247,0.0,0.29050234,1.6465855542467716,2.3118675,18.0,0.5,0.6666666666666666,0.5714285714285715
random,N/A,powerlaw,0.4,0.05,0.3,1,0.98,0.97686136,-0.3333333333333333,0.53723276,1.2663527663205634,1.6139832,35.666666666666664,0.0,0.0,0.0
random,N/A,powerlaw,0.5,0.05,0.3,1,0.98,0.9712363,-0.3333333333333333,0.42473277,1.2313782244547524,1.7243717,12.666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
random,N/A,powerlaw,0.6000000000000001,0.05,0.3,1,1.0,0.9742984,1.0,0.4859746,0.9191052890099836,1.3179007,2.0,1.0,1.0,1.0
random,N/A,powerlaw,0.7000000000000001,0.05,0.3,1,0.985,0.98640686,0.0,0.72814053,0.6349845065291042,0.74575835,2.0,0.5,1.0,0.6666666666666666
random,N/A,powerlaw,0.8,0.05,0.3,1,0.995,0.99197996,0.6666666666666666,0.8396011,0.47603365637417283,0.5852204,2.0,0.75,1.0,0.8571428571428571
random,N/A,powerlaw,0.9,0.05,0.3,1,1.0,0.99516493,1.0,0.9032998,0.21718626105031758,0.39427686,2.0,1.0,1.0,1.0
random,N/A,powerlaw,1.0,0.05,0.3,1,1.0,0.99834776,1.0,0.9669556,0.04153476373565634,0.21642949,2.0,1.0,1.0,1.0
random,N/A,powerlaw,0.0,0.1,0.3,1,0.885,0.9000874,0.0,0.0,6.640009083770635,7.715062,105.17391304347827,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.1,0.3,1,0.88,0.8971961,-0.04347826086956526,-0.028938318,2.5620330023758195,3.6037366,77.34782608695652,0.4,0.08695652173913043,0.14285714285714285
random,N/A,powerlaw,0.2,0.1,0.3,1,0.905,0.91689974,0.17391304347826103,0.16827033,1.8827719047558,2.8506804,64.30434782608695,0.8333333333333334,0.21739130434782608,0.3448275862068966
random,N/A,powerlaw,0.30000000000000004,0.1,0.3,1,0.905,0.9187217,0.17391304347826103,0.18650563,1.9728953765021613,2.2704825,53.65217391304348,0.7,0.30434782608695654,0.42424242424242425
random,N/A,powerlaw,0.4,0.1,0.3,1,0.925,0.93367875,0.34782608695652206,0.3362072,1.5917347649771214,1.8756812,37.65217391304348,0.7857142857142857,0.4782608695652174,0.5945945945945946
random,N/A,powerlaw,0.5,0.1,0.3,1,0.955,0.95607996,0.6086956521739126,0.5604153,1.4141476016392756,1.2680774,20.91304347826087,0.9375,0.6521739130434783,0.7692307692307693
random,N/A,powerlaw,0.6000000000000001,0.1,0.3,1,0.955,0.9617734,0.6086956521739126,0.6173995,0.8110012573778599,0.83364713,17.695652173913043,0.85,0.7391304347826086,0.7906976744186046
random,N/A,powerlaw,0.7000000000000001,0.1,0.3,1,0.97,0.9702083,0.7391304347826084,0.7018222,0.8034081695685787,0.889367,16.608695652173914,0.9047619047619048,0.8260869565217391,0.8636363636363636
