method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,powerlaw,0.0,0.05,0.3,0,0.95,0.9497758,0.0,0.0,5.965844711145487,7.088874,198.93333333333334,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.05,0.3,0,0.9533333333333334,0.95185953,0.06666666666666815,0.041488353,2.7179922532386187,3.8774886,140.0,0.6666666666666666,0.13333333333333333,0.2222222222222222
random,N/A,powerlaw,0.2,0.05,0.3,0,0.9566666666666667,0.9489845,0.13333333333333408,-0.015755583,2.258108129989551,3.0113065,90.13333333333334,0.75,0.2,0.31578947368421056
random,N/A,powerlaw,0.30000000000000004,0.05,0.3,0,0.96,0.96747345,0.2,0.3523727,1.7991580378839718,2.2672377,54.0,0.7142857142857143,0.3333333333333333,0.4545454545454545
random,N/A,powerlaw,0.4,0.05,0.3,0,0.97,0.9701394,0.4,0.40545344,1.389829849806655,1.6916813,34.266666666666666,0.8,0.5333333333333333,0.64
random,N/A,powerlaw,0.5,0.05,0.3,0,0.97,0.975454,0.4,0.51127076,1.6837419885332443,1.2836082,33.4,0.8,0.5333333333333333,0.64
random,N/A,powerlaw,0.6000000000000001,0.05,0.3,0,0.97,0.983211,0.4,0.66571844,1.6035994643667613,1.0997185,27.6,0.75,0.6,0.6666666666666665
random,N/A,powerlaw,0.7000000000000001,0.05,0.3,0,0.9833333333333333,0.9840642,0.666666666666666,0.6827071,1.0113630286204662,0.7440007,12.266666666666667,0.8571428571428571,0.8,0.8275862068965518
random,N/A,powerlaw,0.8,0.05,0.3,0,0.9833333333333333,0.9915913,0.666666666666666,0.83257616,0.48241190097277825,0.58816314,11.8,0.8125,0.8666666666666667,0.8387096774193549
random,N/A,powerlaw,0.9,0.05,0.3,0,0.9933333333333333,0.9933224,0.8666666666666659,0.8670436,0.2170636759249307,0.42295292,8.6,1.0,0.8666666666666667,0.9285714285714286
random,N/A,powerlaw,1.0,0.05,0.3,0,1.0,0.99881023,1.0,0.97631085,0.13720776443313984,0.1816854,8.0,1.0,1.0,1.0
random,N/A,powerlaw,0.0,0.1,0.3,0,0.9166666666666666,0.90011513,0.0,0.0,5.668861384767642,8.055827,142.36,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.1,0.3,0,0.9266666666666666,0.9087831,0.12000000000000005,0.08677937,3.568287013165894,5.0173235,106.52,0.8,0.16,0.26666666666666666
random,N/A,powerlaw,0.2,0.1,0.3,0,0.9166666666666666,0.91451555,0.0,0.14417021,2.332401782358887,3.1445298,75.24,0.5,0.2,0.28571428571428575
random,N/A,powerlaw,0.30000000000000004,0.1,0.3,0,0.93,0.9274658,0.16000000000000095,0.2738219,2.019747288529105,2.2187257,74.56,0.6428571428571429,0.36,0.4615384615384615
random,N/A,powerlaw,0.4,0.1,0.3,0,0.9433333333333334,0.94116473,0.32000000000000056,0.41096917,1.5105896296167294,1.7841388,36.04,0.6818181818181818,0.6,0.6382978723404256
random,N/A,powerlaw,0.5,0.1,0.3,0,0.95,0.94840056,0.39999999999999974,0.4834108,1.3442055858652198,1.5507084,41.04,0.7777777777777778,0.56,0.6511627906976745
random,N/A,powerlaw,0.6000000000000001,0.1,0.3,0,0.9633333333333334,0.96653837,0.5600000000000007,0.664998,1.2400159411352278,1.1373272,24.88,0.8181818181818182,0.72,0.7659574468085107
random,N/A,powerlaw,0.7000000000000001,0.1,0.3,0,0.95,0.97081625,0.39999999999999974,0.70782614,1.149752801731616,0.82842165,21.6,0.6923076923076923,0.72,0.7058823529411765
random,N/A,powerlaw,0.8,0.1,0.3,0,0.9666666666666667,0.97722596,0.6000000000000003,0.7719971,0.8049923722033465,0.714445,18.52,0.8260869565217391,0.76,0.7916666666666667
random,N/A,powerlaw,0.9,0.1,0.3,0,0.9933333333333333,0.99311036,0.9199999999999995,0.9310242,0.34900567475963057,0.40656546,13.4,0.96,0.96,0.96
random,N/A,powerlaw,1.0,0.1,0.3,0,1.0,0.9957395,1.0,0.9573461,0.0971234321687046,0.2268274,13.0,1.0,1.0,1.0
random,N/A,powerlaw,0.0,0.2,0.3,0,0.81,0.8011807,0.0,0.0,4.376369395346078,6.5152464,143.17543859649123,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.2,0.3,0,0.83,0.81444806,0.10526315789473638,0.06673064,2.5922955710682247,3.9280338,112.0701754385965,0.7142857142857143,0.17543859649122806,0.2816901408450704
random,N/A,powerlaw,0.2,0.2,0.3,0,0.8366666666666667,0.83668196,0.14035087719298223,0.17856036,2.028470231482802,2.9985511,89.12280701754386,0.7222222222222222,0.22807017543859648,0.3466666666666667
random,N/A,powerlaw,0.30000000000000004,0.2,0.3,0,0.85,0.8580373,0.21052631578947334,0.28597113,1.9036492607720246,2.4083734,88.47368421052632,0.6875,0.38596491228070173,0.49438202247191015
random,N/A,powerlaw,0.4,0.2,0.3,0,0.9033333333333333,0.87963235,0.4912280701754384,0.39458767,1.3424089762376428,1.6889426,57.526315789473685,0.868421052631579,0.5789473684210527,0.6947368421052632
random,N/A,powerlaw,0.5,0.2,0.3,0,0.8833333333333333,0.9008409,0.3859649122807014,0.50126004,1.4248607871819858,1.4894131,59.0,0.8055555555555556,0.5087719298245614,0.6236559139784946
random,N/A,powerlaw,0.6000000000000001,0.2,0.3,0,0.8933333333333333,0.9245443,0.43859649122806993,0.62048084,1.0114047197918774,1.0927396,45.59649122807018,0.8048780487804879,0.5789473684210527,0.6734693877551021
random,N/A,powerlaw,0.7000000000000001,0.2,0.3,0,0.9466666666666667,0.9443912,0.719298245614035,0.7203047,0.93594222590149,0.8938737,37.64912280701754,0.9555555555555556,0.7543859649122807,0.8431372549019609
random,N/A,powerlaw,0.8,0.2,0.3,0,0.9566666666666667,0.9619219,0.7719298245614035,0.8084787,0.7043916118460559,0.6180126,33.12280701754386,0.9230769230769231,0.8421052631578947,0.8807339449541285
random,N/A,powerlaw,0.9,0.2,0.3,0,0.9933333333333333,0.9800601,0.9649122807017542,0.89970845,0.525961756602326,0.42491928,29.859649122807017,1.0,0.9649122807017544,0.9821428571428572
random,N/A,powerlaw,1.0,0.2,0.3,0,0.9966666666666667,0.9987944,0.9824561403508774,0.99393606,0.3036871752335441,0.17794763,29.017543859649123,1.0,0.9824561403508771,0.9911504424778761
random,N/A,powerlaw,0.0,0.3,0.3,0,0.7366666666666667,0.7007353,0.0,0.0,2.679146965471914,4.9160814,138.7594936708861,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.3,0.3,0,0.7633333333333333,0.7226363,0.10126582278480994,0.07318273,1.9318911580120153,3.223377,112.0,0.6818181818181818,0.189873417721519,0.29702970297029707
random,N/A,powerlaw,0.2,0.3,0.3,0,0.79,0.75860125,0.2025316455696203,0.1933605,1.4854619765345365,2.2916715,104.48101265822785,0.7222222222222222,0.3291139240506329,0.4521739130434782
random,N/A,powerlaw,0.30000000000000004,0.3,0.3,0,0.7933333333333333,0.79388595,0.21518987341772144,0.31126514,1.2123316074104578,1.5926969,83.37974683544304,0.7073170731707317,0.3670886075949367,0.48333333333333334
random,N/A,powerlaw,0.4,0.3,0.3,0,0.8333333333333334,0.8285664,0.3670886075949368,0.42715058,0.9689628907354924,1.388589,75.25316455696202,0.7959183673469388,0.4936708860759494,0.609375
random,N/A,powerlaw,0.5,0.3,0.3,0,0.8733333333333333,0.8592811,0.5189873417721517,0.5297846,0.7774716798086763,1.0938109,57.063291139240505,0.847457627118644,0.6329113924050633,0.7246376811594203
random,N/A,powerlaw,0.6000000000000001,0.3,0.3,0,0.8933333333333333,0.89071167,0.5949367088607593,0.6348105,0.6140504025615057,0.80793405,53.45569620253165,0.8507462686567164,0.7215189873417721,0.7808219178082193
random,N/A,powerlaw,0.7000000000000001,0.3,0.3,0,0.9066666666666666,0.92002755,0.6455696202531643,0.7327702,0.42925512983836606,0.61193216,48.46835443037975,0.8923076923076924,0.7341772151898734,0.8055555555555556
random,N/A,powerlaw,0.8,0.3,0.3,0,0.9533333333333334,0.9453725,0.8227848101265823,0.817461,0.4005756325368845,0.4887668,43.164556962025316,0.9452054794520548,0.8734177215189873,0.9078947368421053
random,N/A,powerlaw,0.9,0.3,0.3,0,0.9766666666666667,0.97334474,0.9113924050632912,0.9109309,0.32143640859957484,0.29357997,40.936708860759495,0.95,0.9620253164556962,0.9559748427672956
random,N/A,powerlaw,1.0,0.3,0.3,0,1.0,0.99924797,1.0,0.99748707,0.1363661057420672,0.13250022,40.0,1.0,1.0,1.0
random,N/A,powerlaw,0.0,0.4,0.3,0,0.6,0.6021495,0.0,0.0,2.2105333135082166,4.19985,153.95833333333334,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.4,0.3,0,0.6333333333333333,0.64661354,0.08333333333333331,0.1117607,1.7393485938695425,2.9550273,130.41666666666666,0.6785714285714286,0.15833333333333333,0.25675675675675674
random,N/A,powerlaw,0.2,0.4,0.3,0,0.7166666666666667,0.68466675,0.29166666666666674,0.20740771,1.477531501714939,2.3715816,107.95833333333333,0.8571428571428571,0.35,0.4970414201183432
random,N/A,powerlaw,0.30000000000000004,0.4,0.3,0,0.7266666666666667,0.72502756,0.31666666666666676,0.30885488,1.2022512053716077,1.8741351,100.59166666666667,0.8518518518518519,0.38333333333333336,0.5287356321839081
random,N/A,powerlaw,0.4,0.4,0.3,0,0.77,0.7706407,0.4250000000000001,0.42350376,1.0685971192736545,1.5145193,86.58333333333333,0.8923076923076924,0.48333333333333334,0.6270270270270271
random,N/A,powerlaw,0.5,0.4,0.3,0,0.83,0.8134269,0.575,0.5310473,0.9570735636122077,1.2286236,78.325,0.8876404494382022,0.6583333333333333,0.7559808612440191
random,N/A,powerlaw,0.6000000000000001,0.4,0.3,0,0.8733333333333333,0.85591656,0.6833333333333332,0.6378453,0.8035920584691629,0.9458264,69.41666666666667,0.9270833333333334,0.7416666666666667,0.8240740740740741
random,N/A,powerlaw,0.7000000000000001,0.4,0.3,0,0.88,0.89110684,0.7000000000000001,0.7262963,0.5910237691212217,0.72427857,67.23333333333333,0.92,0.7666666666666667,0.8363636363636363
random,N/A,powerlaw,0.8,0.4,0.3,0,0.91,0.9311856,0.7750000000000001,0.82703453,0.42877937495783747,0.552352,63.4,0.9603960396039604,0.8083333333333333,0.8778280542986425
random,N/A,powerlaw,0.9,0.4,0.3,0,0.95,0.9622384,0.8749999999999999,0.90508586,0.38542959017851786,0.3361173,61.45,0.981651376146789,0.8916666666666667,0.9344978165938865
random,N/A,powerlaw,1.0,0.4,0.3,0,1.0,0.99905336,1.0,0.9976206,0.2026382432869152,0.13126469,60.5,1.0,1.0,1.0
random,N/A,powerlaw,0.0,0.05,0.3,1,0.9366666666666666,0.9498883,0.0,0.0,9.517895523835834,7.7131634,126.78947368421052,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.05,0.3,1,0.94,0.9473265,0.05263157894736787,-0.051121935,2.3013951995305697,3.0653276,125.21052631578948,0.6,0.15789473684210525,0.25
random,N/A,powerlaw,0.2,0.05,0.3,1,0.9433333333333334,0.9499347,0.10526315789473749,0.0009265702,1.7666437478255883,2.4413083,94.0,0.6,0.3157894736842105,0.41379310344827586
random,N/A,powerlaw,0.30000000000000004,0.05,0.3,1,0.9533333333333334,0.9651483,0.26315789473684287,0.30452046,1.561239931686989,1.721906,57.473684210526315,0.6923076923076923,0.47368421052631576,0.5625
random,N/A,powerlaw,0.4,0.05,0.3,1,0.9633333333333334,0.9593572,0.4210526315789482,0.1889561,1.222112198054918,1.6835488,37.0,0.75,0.631578947368421,0.6857142857142857
random,N/A,powerlaw,0.5,0.05,0.3,1,0.97,0.96752256,0.526315789473684,0.35189924,0.9955102794736991,1.2864075,18.31578947368421,0.75,0.7894736842105263,0.7692307692307692
random,N/A,powerlaw,0.6000000000000001,0.05,0.3,1,0.97,0.9731995,0.526315789473684,0.46518463,0.7973638861765117,0.8949242,18.94736842105263,0.75,0.7894736842105263,0.7692307692307692
random,N/A,powerlaw,0.7000000000000001,0.05,0.3,1,0.9666666666666667,0.9777445,0.47368421052631604,0.55588263,0.6185168634126206,0.7450932,18.789473684210527,0.7368421052631579,0.7368421052631579,0.7368421052631579
random,N/A,powerlaw,0.8,0.05,0.3,1,0.98,0.98678285,0.6842105263157893,0.7362463,0.5697015747002301,0.4864078,15.947368421052632,0.8421052631578947,0.8421052631578947,0.8421052631578947
random,N/A,powerlaw,0.9,0.05,0.3,1,0.9833333333333333,0.99031156,0.7368421052631572,0.8066632,0.36710266830446886,0.31656396,11.736842105263158,0.85,0.8947368421052632,0.8717948717948718
random,N/A,powerlaw,1.0,0.05,0.3,1,1.0,0.9981374,1.0,0.9628313,0.06573617205115641,0.17409395,10.0,1.0,1.0,1.0
random,N/A,powerlaw,0.0,0.1,0.3,1,0.86,0.9001707,0.0,0.0,6.026906271300215,6.811625,164.21428571428572,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.1,0.3,1,0.88,0.90465605,0.14285714285714296,0.044930376,2.3997778194722583,3.2766573,125.92857142857143,0.875,0.16666666666666666,0.27999999999999997
random,N/A,powerlaw,0.2,0.1,0.3,1,0.8733333333333333,0.9089229,0.09523809523809505,0.08767191,1.8754213659124093,2.5421488,84.76190476190476,0.6428571428571429,0.21428571428571427,0.32142857142857145
random,N/A,powerlaw,0.30000000000000004,0.1,0.3,1,0.8966666666666666,0.9278786,0.2619047619047616,0.27755308,1.465662203289991,1.9279886,80.21428571428571,0.8235294117647058,0.3333333333333333,0.4745762711864407
random,N/A,powerlaw,0.4,0.1,0.3,1,0.91,0.9368322,0.35714285714285743,0.3672419,1.3235097357449574,1.5059217,54.857142857142854,0.8571428571428571,0.42857142857142855,0.5714285714285714
random,N/A,powerlaw,0.5,0.1,0.3,1,0.9166666666666666,0.94550985,0.40476190476190455,0.45416686,0.8778688936669463,1.2699589,49.095238095238095,0.8148148148148148,0.5238095238095238,0.6376811594202898
random,N/A,powerlaw,0.6000000000000001,0.1,0.3,1,0.9466666666666667,0.9586629,0.619047619047619,0.5859225,1.0026823153203444,0.94394857,34.785714285714285,0.9333333333333333,0.6666666666666666,0.7777777777777778
random,N/A,powerlaw,0.7000000000000001,0.1,0.3,1,0.95,0.9694323,0.6428571428571426,0.69380033,0.7799447161963448,0.75582486,32.23809523809524,0.9090909090909091,0.7142857142857143,0.8
random,N/A,powerlaw,0.8,0.1,0.3,1,0.9733333333333334,0.9781628,0.8095238095238099,0.7812549,0.3624160372344846,0.49644944,24.238095238095237,0.9473684210526315,0.8571428571428571,0.9
random,N/A,powerlaw,0.9,0.1,0.3,1,0.9766666666666667,0.9907552,0.8333333333333335,0.90739393,0.32950538909180965,0.29436457,22.761904761904763,0.972972972972973,0.8571428571428571,0.9113924050632912
random,N/A,powerlaw,1.0,0.1,0.3,1,1.0,0.9989984,1.0,0.9899669,0.09400464603456672,0.115357526,21.5,1.0,1.0,1.0
random,N/A,powerlaw,0.0,0.2,0.3,1,0.7933333333333333,0.800396,0.0,0.0,3.9472964983702625,6.23588,148.1290322580645,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.2,0.3,1,0.8066666666666666,0.806424,0.06451612903225794,0.030199783,1.9814335874086266,3.1135926,113.35483870967742,0.6428571428571429,0.14516129032258066,0.2368421052631579
random,N/A,powerlaw,0.2,0.2,0.3,1,0.85,0.83964175,0.27419354838709664,0.19661795,1.632342201262027,2.211648,94.37096774193549,0.8695652173913043,0.3225806451612903,0.47058823529411764
random,N/A,powerlaw,0.30000000000000004,0.2,0.3,1,0.8233333333333334,0.8654326,0.14516129032258077,0.32582816,1.362194807258325,2.0266848,94.66129032258064,0.6551724137931034,0.3064516129032258,0.41758241758241765
random,N/A,powerlaw,0.4,0.2,0.3,1,0.8733333333333333,0.87931347,0.3870967741935482,0.3953701,1.1943311047501863,1.6307551,62.29032258064516,0.8157894736842105,0.5,0.62
