method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
path_weight,N/A,rrg,0.0,0.05,0.3,0,0.95,0.95000243,0.0,0.0,10.812961617315922,14.239043,,,,
path_weight,N/A,rrg,0.1,0.05,0.3,0,0.96,0.9536321,0.2,0.17740497,9.698099882617074,10.7740755,,,,
path_weight,N/A,rrg,0.2,0.05,0.3,0,0.97,0.97162247,0.4,0.4134141,8.622634232003511,9.40992,,,,
path_weight,N/A,rrg,0.30000000000000004,0.05,0.3,0,0.97,0.95741445,0.4,0.31956238,4.202478452784977,6.792812,,,,
path_weight,N/A,rrg,0.4,0.05,0.3,0,0.98,0.9752855,0.6,0.54829973,3.5554368578523308,4.9097404,,,,
path_weight,N/A,rrg,0.5,0.05,0.3,0,0.99,0.98076844,0.8,0.6753145,1.5203821348481645,4.107548,,,,
path_weight,N/A,rrg,0.6000000000000001,0.05,0.3,0,1.0,0.99515474,1.0,0.91165495,0.9510906123528816,2.1895878,,,,
path_weight,N/A,rrg,0.7000000000000001,0.05,0.3,0,1.0,0.9979092,1.0,0.95986134,0.6279506218851248,1.4181623,,,,
path_weight,N/A,rrg,0.8,0.05,0.3,0,1.0,0.99930376,1.0,0.9862653,0.33550891566730867,0.6809537,,,,
path_weight,N/A,rrg,0.9,0.05,0.3,0,1.0,0.9999385,1.0,0.9987709,0.1582231229409714,0.2519638,,,,
path_weight,N/A,rrg,1.0,0.05,0.3,0,1.0,0.9999614,1.0,0.9992271,6.094223719206039e-05,0.033881668,,,,
path_weight,N/A,rrg,0.0,0.1,0.3,0,0.9,0.9000016,0.0,0.0,9.565720863095194,10.7081995,,,,
path_weight,N/A,rrg,0.1,0.1,0.3,0,0.91,0.9038925,0.10000000000000012,0.09424398,8.245718082655792,8.085697,,,,
path_weight,N/A,rrg,0.2,0.1,0.3,0,0.95,0.9151755,0.49999999999999944,0.3708361,6.7137073706601225,5.9935718,,,,
path_weight,N/A,rrg,0.30000000000000004,0.1,0.3,0,0.95,0.92680573,0.49999999999999944,0.40585276,6.7533680986650415,5.3362813,,,,
path_weight,N/A,rrg,0.4,0.1,0.3,0,0.96,0.9474408,0.5999999999999995,0.53303033,5.182648679575484,4.463584,,,,
path_weight,N/A,rrg,0.5,0.1,0.3,0,0.97,0.9573234,0.6999999999999996,0.6258325,4.622724159401555,3.1328754,,,,
path_weight,N/A,rrg,0.6000000000000001,0.1,0.3,0,0.98,0.9707244,0.7999999999999998,0.73207784,3.7332198028223695,2.3610253,,,,
path_weight,N/A,rrg,0.7000000000000001,0.1,0.3,0,0.98,0.97844803,0.7999999999999998,0.7877437,3.5613317987482946,1.7056754,,,,
path_weight,N/A,rrg,0.8,0.1,0.3,0,1.0,0.98849076,1.0,0.89677155,1.7354361951984658,1.0304439,,,,
path_weight,N/A,rrg,0.9,0.1,0.3,0,1.0,0.9974799,1.0,0.97541124,0.10906927366038359,0.3356973,,,,
path_weight,N/A,rrg,1.0,0.1,0.3,0,1.0,0.9999494,1.0,0.9994938,2.675351219850757e-05,0.03764824,,,,
path_weight,N/A,rrg,0.0,0.2,0.3,0,0.82,0.80000967,0.0,0.0,5.38775208945581,6.836265,,,,
path_weight,N/A,rrg,0.1,0.2,0.3,0,0.84,0.8195714,0.11111111111111117,0.09977562,4.671196975523936,5.5739155,,,,
path_weight,N/A,rrg,0.2,0.2,0.3,0,0.85,0.85841006,0.16666666666666677,0.17483042,4.168056837336394,5.243263,,,,
path_weight,N/A,rrg,0.30000000000000004,0.2,0.3,0,0.86,0.8684998,0.22222222222222235,0.23322427,3.4416414267281703,4.262333,,,,
path_weight,N/A,rrg,0.4,0.2,0.3,0,0.86,0.8924083,0.22222222222222235,0.33376676,2.7206097891136913,3.5504522,,,,
path_weight,N/A,rrg,0.5,0.2,0.3,0,0.89,0.91037005,0.3888888888888891,0.4615169,1.9439519199364446,2.4925675,,,,
path_weight,N/A,rrg,0.6000000000000001,0.2,0.3,0,0.94,0.93543845,0.6666666666666664,0.6501205,1.4028911750739659,1.8383536,,,,
