method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,rrg,0.0,0.1,0.3,0,0.88,0.900001,0.0,0.0,25.708967160872074,15.715275,155.27777777777777,0.0,0.0,0.0
random,N/A,rrg,0.1,0.1,0.3,0,0.86,0.88039196,-0.16666666666666682,-0.19609228,16.357979001145015,14.549482,114.58333333333333,0.2,0.05555555555555555,0.08695652173913045
random,N/A,rrg,0.2,0.1,0.3,0,0.8833333333333333,0.8926225,0.027777777777777495,-0.073785916,12.648003407113686,11.685996,93.47222222222223,0.5294117647058824,0.25,0.33962264150943394
random,N/A,rrg,0.30000000000000004,0.1,0.3,0,0.9066666666666666,0.9103998,0.22222222222222182,0.10398908,11.404373083299514,9.407361,68.11111111111111,0.6666666666666666,0.4444444444444444,0.5333333333333333
random,N/A,rrg,0.4,0.1,0.3,0,0.8766666666666667,0.9191273,-0.027777777777777495,0.19126485,9.976966579626424,7.5929346,56.25,0.48717948717948717,0.5277777777777778,0.5066666666666667
random,N/A,rrg,0.5,0.1,0.3,0,0.9066666666666666,0.93112785,0.22222222222222182,0.31127164,7.587461202730818,6.3461833,35.25,0.6176470588235294,0.5833333333333334,0.6
random,N/A,rrg,0.6000000000000001,0.1,0.3,0,0.9033333333333333,0.94048077,0.1944444444444443,0.4048018,6.39481951524981,4.4145103,37.361111111111114,0.5945945945945946,0.6111111111111112,0.6027397260273972
random,N/A,rrg,0.7000000000000001,0.1,0.3,0,0.9433333333333334,0.9509149,0.527777777777778,0.50914437,5.294746821124199,4.213913,32.69444444444444,0.7878787878787878,0.7222222222222222,0.7536231884057971
random,N/A,rrg,0.8,0.1,0.3,0,0.96,0.96388745,0.6666666666666664,0.63887095,3.288867793850031,2.844172,23.5,0.7857142857142857,0.9166666666666666,0.8461538461538461
random,N/A,rrg,0.9,0.1,0.3,0,0.9733333333333334,0.97247195,0.7777777777777782,0.7247168,2.5434142560778157,2.2365866,22.916666666666668,0.868421052631579,0.9166666666666666,0.8918918918918918
random,N/A,rrg,1.0,0.1,0.3,0,0.9966666666666667,0.9799125,0.9722222222222225,0.7991232,1.5247090441387539,1.6136993,18.61111111111111,0.972972972972973,1.0,0.9863013698630138
random,N/A,rrg,0.0,0.2,0.3,0,0.76,0.80001426,0.0,0.0,24.046312313127327,20.224518,149.18055555555554,0.0,0.0,0.0
random,N/A,rrg,0.1,0.2,0.3,0,0.7666666666666667,0.8070864,0.027777777777777957,0.035363276,17.51479683040877,15.745703,117.34722222222223,0.5625,0.125,0.20454545454545456
random,N/A,rrg,0.2,0.2,0.3,0,0.8033333333333333,0.8278519,0.18055555555555558,0.1391981,14.02462658583227,12.949861,105.23611111111111,0.76,0.2638888888888889,0.3917525773195877
random,N/A,rrg,0.30000000000000004,0.2,0.3,0,0.8233333333333334,0.8550527,0.263888888888889,0.27521187,10.826597153125068,9.811719,78.38888888888889,0.7317073170731707,0.4166666666666667,0.5309734513274336
random,N/A,rrg,0.4,0.2,0.3,0,0.8533333333333334,0.8722418,0.3888888888888891,0.36116344,10.027166932983397,8.447607,72.70833333333333,0.78,0.5416666666666666,0.6393442622950819
random,N/A,rrg,0.5,0.2,0.3,0,0.8633333333333333,0.88817424,0.43055555555555536,0.4408313,5.950119616499961,6.3404365,65.45833333333333,0.7540983606557377,0.6388888888888888,0.6917293233082706
random,N/A,rrg,0.6000000000000001,0.2,0.3,0,0.9,0.9139177,0.5833333333333334,0.5695579,5.943253820727103,4.3932757,50.138888888888886,0.8181818181818182,0.75,0.7826086956521738
random,N/A,rrg,0.7000000000000001,0.2,0.3,0,0.9233333333333333,0.932027,0.6805555555555556,0.66011065,4.184781804560531,3.5892916,43.43055555555556,0.8356164383561644,0.8472222222222222,0.8413793103448277
random,N/A,rrg,0.8,0.2,0.3,0,0.9366666666666666,0.9566728,0.736111111111111,0.7833485,3.2164468661012577,2.5891397,39.916666666666664,0.8354430379746836,0.9166666666666666,0.8741721854304636
random,N/A,rrg,0.9,0.2,0.3,0,0.9566666666666667,0.9659965,0.8194444444444444,0.8299704,1.9990590064211238,2.0262403,37.583333333333336,0.8831168831168831,0.9444444444444444,0.912751677852349
random,N/A,rrg,1.0,0.2,0.3,0,0.99,0.981817,0.9583333333333333,0.90907854,1.5546477591818522,1.4841914,36.666666666666664,0.96,1.0,0.9795918367346939
random,N/A,rrg,0.0,0.3,0.3,0,0.7533333333333333,0.7000266,0.0,0.0,15.570589485453032,20.462397,144.35135135135135,0.0,0.0,0.0
random,N/A,rrg,0.1,0.3,0.3,0,0.7633333333333333,0.72781503,0.04054054054054057,0.09263641,12.910959326968081,16.464603,114.66216216216216,0.5652173913043478,0.17567567567567569,0.2680412371134021
random,N/A,rrg,0.2,0.3,0.3,0,0.77,0.7606198,0.06756756756756777,0.20199539,11.942135295795783,12.987026,112.98648648648648,0.5757575757575758,0.25675675675675674,0.3551401869158879
random,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.7866666666666666,0.8067195,0.1351351351351351,0.35567454,10.401735312167938,10.010006,96.04054054054055,0.6086956521739131,0.3783783783783784,0.4666666666666667
random,N/A,rrg,0.4,0.3,0.3,0,0.83,0.8209127,0.31081081081081074,0.4029895,9.07051475486399,8.845994,76.4054054054054,0.7090909090909091,0.527027027027027,0.6046511627906976
random,N/A,rrg,0.5,0.3,0.3,0,0.8133333333333334,0.85422,0.24324324324324342,0.51402354,6.317270700150301,6.693074,72.08108108108108,0.6323529411764706,0.581081081081081,0.6056338028169013
random,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.8566666666666667,0.8756249,0.4189189189189191,0.5853796,5.884604245157123,5.8834333,55.5,0.6962025316455697,0.7432432432432432,0.7189542483660132
random,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.9,0.9090932,0.5945945945945947,0.6969505,3.71231773096858,4.0104175,47.148648648648646,0.7682926829268293,0.8513513513513513,0.8076923076923077
random,N/A,rrg,0.8,0.3,0.3,0,0.91,0.9423046,0.6351351351351353,0.807665,3.078224160743274,2.450904,44.4054054054054,0.7701149425287356,0.9054054054054054,0.8322981366459626
random,N/A,rrg,0.9,0.3,0.3,0,0.95,0.9527833,0.7972972972972971,0.842597,2.298352349782405,1.9818522,39.75675675675676,0.8831168831168831,0.918918918918919,0.9006622516556292
random,N/A,rrg,1.0,0.3,0.3,0,0.9833333333333333,0.97333294,0.9324324324324322,0.91110194,1.6300700549802343,1.3936944,37.63513513513514,0.9367088607594937,1.0,0.9673202614379084
random,N/A,rrg,0.0,0.1,0.3,1,0.8966666666666666,0.9000011,0.0,0.0,25.95070188741118,15.668291,141.83870967741936,0.0,0.0,0.0
random,N/A,rrg,0.1,0.1,0.3,1,0.8733333333333333,0.88890547,-0.22580645161290294,-0.11095766,16.85899057403986,13.589324,117.09677419354838,0.3157894736842105,0.1935483870967742,0.24000000000000002
random,N/A,rrg,0.2,0.1,0.3,1,0.87,0.9004586,-0.25806451612903164,0.0045747072,15.16378814189282,10.0823555,79.58064516129032,0.35714285714285715,0.3225806451612903,0.3389830508474576
random,N/A,rrg,0.30000000000000004,0.1,0.3,1,0.8866666666666667,0.9080875,-0.09677419354838605,0.08086473,11.241963020094454,9.195785,66.87096774193549,0.45454545454545453,0.4838709677419355,0.46874999999999994
random,N/A,rrg,0.4,0.1,0.3,1,0.8766666666666667,0.9198043,-0.1935483870967732,0.19803385,11.326453798575416,7.208732,68.51612903225806,0.40625,0.41935483870967744,0.4126984126984127
random,N/A,rrg,0.5,0.1,0.3,1,0.9133333333333333,0.94550484,0.16129032258064557,0.4550424,8.404818978140671,5.4828653,42.774193548387096,0.5757575757575758,0.6129032258064516,0.59375
