method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
entropy,N/A,rrg,0.0,0.3,0.3,0,0.75,0.7000528,0.0,0.0,16.91379984676561,20.609262,59.52,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,0,0.78,0.72418725,0.1200000000000001,0.08046235,13.47480147536013,16.601215,52.56,1.0,0.12,0.21428571428571425
entropy,N/A,rrg,0.2,0.3,0.3,0,0.8,0.7475156,0.20000000000000018,0.15823725,10.775880448029667,12.67066,40.92,1.0,0.2,0.33333333333333337
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.83,0.7784549,0.31999999999999984,0.26138633,6.907176080436207,8.574737,32.04,1.0,0.32,0.48484848484848486
entropy,N/A,rrg,0.4,0.3,0.3,0,0.83,0.80524546,0.31999999999999984,0.35070392,6.211474699565206,6.754203,28.6,0.9,0.36,0.5142857142857143
entropy,N/A,rrg,0.5,0.3,0.3,0,0.88,0.834892,0.52,0.44954303,5.429570297161633,5.170782,22.68,0.9333333333333333,0.56,0.7000000000000001
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.91,0.86504966,0.6400000000000001,0.5500864,3.8904046051148735,4.0160036,19.24,0.9444444444444444,0.68,0.7906976744186047
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.93,0.89548224,0.7200000000000002,0.6515461,3.463556701605844,3.322274,16.72,0.95,0.76,0.8444444444444444
entropy,N/A,rrg,0.8,0.3,0.3,0,0.95,0.9259903,0.7999999999999998,0.7532575,3.0441617191740566,2.522846,13.68,0.9545454545454546,0.84,0.8936170212765958
entropy,N/A,rrg,0.9,0.3,0.3,0,0.98,0.9562757,0.9199999999999999,0.8542267,2.398308173243293,1.9411418,13.4,0.96,0.96,0.96
entropy,N/A,rrg,1.0,0.3,0.3,0,0.99,0.98626626,0.96,0.9542128,0.9905108499675247,1.4770273,13.0,0.9615384615384616,1.0,0.9803921568627451
entropy,N/A,rrg,0.0,0.3,0.3,1,0.74,0.7000266,0.0,0.0,15.483915223995977,20.266626,55.61538461538461,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,1,0.79,0.7258516,0.19230769230769248,0.086091034,10.890841636543957,15.690369,44.23076923076923,1.0,0.19230769230769232,0.32258064516129037
entropy,N/A,rrg,0.2,0.3,0.3,1,0.82,0.7500122,0.30769230769230754,0.16663358,6.924604014552557,11.183268,35.19230769230769,1.0,0.3076923076923077,0.47058823529411764
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,1,0.83,0.78129303,0.34615384615384603,0.2709122,5.6998516446627185,8.3514,25.692307692307693,0.9090909090909091,0.38461538461538464,0.5405405405405405
entropy,N/A,rrg,0.4,0.3,0.3,1,0.86,0.80325544,0.4615384615384615,0.3441267,4.645017388880143,6.217697,25.615384615384617,1.0,0.46153846153846156,0.631578947368421
entropy,N/A,rrg,0.5,0.3,0.3,1,0.87,0.8293608,0.5,0.43115222,3.893279835057355,4.8909917,22.846153846153847,1.0,0.5,0.6666666666666666
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,1,0.9,0.85930324,0.6153846153846155,0.53096926,2.5961521480623877,3.6820495,17.23076923076923,1.0,0.6153846153846154,0.761904761904762
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,1,0.94,0.8892874,0.769230769230769,0.63092536,2.14730163800326,3.101761,15.692307692307692,1.0,0.7692307692307693,0.8695652173913044
entropy,N/A,rrg,0.8,0.3,0.3,1,0.95,0.9192802,0.8076923076923075,0.73091006,1.7596116795288328,2.2193055,15.461538461538462,1.0,0.8076923076923077,0.8936170212765957
entropy,N/A,rrg,0.9,0.3,0.3,1,0.98,0.949268,0.923076923076923,0.8308783,1.5061288209279775,1.7489718,13.884615384615385,1.0,0.9230769230769231,0.9600000000000001
entropy,N/A,rrg,1.0,0.3,0.3,1,1.0,0.97925454,1.0,0.93084234,1.0385688986579251,1.272286,13.5,1.0,1.0,1.0
entropy,N/A,rrg,0.0,0.3,0.3,2,0.74,0.7000528,0.0,0.0,15.942331403183879,20.683626,52.07692307692308,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,2,0.78,0.72501945,0.15384615384615397,0.083236836,12.24959482592967,15.897721,51.30769230769231,1.0,0.15384615384615385,0.2666666666666667
entropy,N/A,rrg,0.2,0.3,0.3,2,0.79,0.7475156,0.19230769230769248,0.15823725,10.273374444890653,13.291146,45.46153846153846,1.0,0.19230769230769232,0.32258064516129037
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,2,0.83,0.7744377,0.34615384615384603,0.24799341,6.459343287479478,9.084629,33.96153846153846,1.0,0.34615384615384615,0.5142857142857142
entropy,N/A,rrg,0.4,0.3,0.3,2,0.87,0.8060672,0.5,0.35344365,3.967160520279927,6.6854143,25.884615384615383,1.0,0.5,0.6666666666666666
entropy,N/A,rrg,0.5,0.3,0.3,2,0.94,0.8330623,0.769230769230769,0.44344303,2.6058713953255057,5.257162,19.346153846153847,1.0,0.7692307692307693,0.8695652173913044
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,2,0.98,0.86339325,0.923076923076923,0.544564,1.9225946617070242,4.1338887,15.653846153846153,1.0,0.9230769230769231,0.9600000000000001
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,2,1.0,0.89401823,1.0,0.6466653,1.402603890153555,3.295218,13.5,1.0,1.0,1.0
entropy,N/A,rrg,0.8,0.3,0.3,2,1.0,0.92363435,1.0,0.74540305,1.1540937641884763,2.794205,13.5,1.0,1.0,1.0
entropy,N/A,rrg,0.9,0.3,0.3,2,1.0,0.9536275,1.0,0.8453979,1.0536502140619033,2.19911,13.5,1.0,1.0,1.0
