method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
entropy,N/A,rrg,0.0,0.3,0.3,0,0.69,0.7000529,0.0,0.0,16.396331341713335,20.605852,153.03225806451613,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,0,0.7233333333333334,0.7260685,0.10752688172043043,0.0867339,14.266366200507825,18.07312,130.63440860215053,0.9166666666666666,0.11827956989247312,0.20952380952380953
entropy,N/A,rrg,0.2,0.3,0.3,0,0.7466666666666667,0.7556227,0.18279569892473144,0.18526524,12.36635892453817,15.274983,112.75268817204301,0.9047619047619048,0.20430107526881722,0.33333333333333337
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.7733333333333333,0.78417045,0.26881720430107536,0.28044125,11.230360538498799,13.208127,92.21505376344086,0.9310344827586207,0.2903225806451613,0.4426229508196722
entropy,N/A,rrg,0.4,0.3,0.3,0,0.82,0.81200767,0.4193548387096774,0.37324834,8.978454709604746,11.163257,78.06451612903226,1.0,0.41935483870967744,0.5909090909090909
entropy,N/A,rrg,0.5,0.3,0.3,0,0.84,0.83959067,0.4838709677419355,0.4652079,7.3838060599992374,9.1023245,70.40860215053763,0.9787234042553191,0.4946236559139785,0.6571428571428571
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.8633333333333333,0.8683016,0.5591397849462365,0.5609278,6.128116097225287,7.2654295,64.55913978494624,0.9333333333333333,0.6021505376344086,0.7320261437908496
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.8866666666666667,0.89821464,0.6344086021505378,0.6606556,5.1060392921024365,5.7544546,59.40860215053763,0.9154929577464789,0.6989247311827957,0.7926829268292684
entropy,N/A,rrg,0.8,0.3,0.3,0,0.9166666666666666,0.9224943,0.7311827956989246,0.74160206,3.324089702251102,4.1561494,53.333333333333336,0.9358974358974359,0.7849462365591398,0.8538011695906432
entropy,N/A,rrg,0.9,0.3,0.3,0,0.9433333333333334,0.948931,0.817204301075269,0.82973987,2.6976650745986825,2.963466,49.44086021505376,0.9523809523809523,0.8602150537634409,0.903954802259887
entropy,N/A,rrg,1.0,0.3,0.3,0,0.9866666666666667,0.97773784,0.956989247311828,0.9257797,1.2550411618564763,1.722677,47.043010752688176,0.9587628865979382,1.0,0.9789473684210526
entropy,N/A,rrg,0.0,0.3,0.3,1,0.6666666666666666,0.7000266,0.0,0.0,17.92606068630071,20.28349,160.78,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,1,0.6966666666666667,0.72842056,0.09000000000000007,0.094655,15.036282535851745,17.17176,141.23,0.7647058823529411,0.13,0.22222222222222224
entropy,N/A,rrg,0.2,0.3,0.3,1,0.73,0.7599197,0.19000000000000003,0.19966145,12.392316148210563,14.358617,118.7,0.8518518518518519,0.23,0.36220472440944884
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,1,0.78,0.7858086,0.34000000000000014,0.2859655,11.22523504244015,12.955888,105.63,0.9047619047619048,0.38,0.5352112676056339
entropy,N/A,rrg,0.4,0.3,0.3,1,0.8166666666666667,0.8170563,0.45,0.39013365,8.835880929975483,10.128322,89.85,0.9090909090909091,0.5,0.6451612903225806
entropy,N/A,rrg,0.5,0.3,0.3,1,0.83,0.84710115,0.48999999999999994,0.490292,7.751410143577214,8.740129,76.37,0.8769230769230769,0.57,0.6909090909090909
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,1,0.8733333333333333,0.8729434,0.6199999999999999,0.5764405,5.595478419630114,6.3259206,65.12,0.9078947368421053,0.69,0.7840909090909091
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,1,0.8933333333333333,0.90299916,0.6799999999999999,0.6766352,5.023833018833508,4.6747785,61.48,0.9047619047619048,0.76,0.8260869565217391
entropy,N/A,rrg,0.8,0.3,0.3,1,0.9466666666666667,0.9329014,0.84,0.77631813,3.7387142516796135,3.3027282,54.95,0.9468085106382979,0.89,0.9175257731958764
entropy,N/A,rrg,0.9,0.3,0.3,1,0.9633333333333334,0.9583026,0.8900000000000001,0.8609964,2.7142513234717827,2.1505022,52.4,0.9494949494949495,0.94,0.9447236180904524
entropy,N/A,rrg,1.0,0.3,0.3,1,0.98,0.9843697,0.94,0.9478944,1.2921337355566926,1.4664284,50.61,0.9433962264150944,1.0,0.970873786407767
entropy,N/A,rrg,0.0,0.3,0.3,2,0.7233333333333334,0.700053,0.0,0.0,15.928755117222563,20.387064,155.93975903614458,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,2,0.7466666666666667,0.7262568,0.08433734939759031,0.08736146,13.769298633970614,17.6608,136.6265060240964,0.7692307692307693,0.12048192771084337,0.20833333333333334
entropy,N/A,rrg,0.2,0.3,0.3,2,0.8,0.7580012,0.27710843373493976,0.19319488,11.867085504425809,15.272176,102.72289156626506,0.96,0.2891566265060241,0.44444444444444436
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,2,0.8266666666666667,0.788038,0.37349397590361433,0.29333526,10.646446095814941,13.0703535,89.34939759036145,0.9696969696969697,0.3855421686746988,0.5517241379310345
entropy,N/A,rrg,0.4,0.3,0.3,2,0.85,0.8142474,0.45783132530120463,0.3807154,9.385878313097411,11.4552555,78.60240963855422,0.975,0.46987951807228917,0.6341463414634146
entropy,N/A,rrg,0.5,0.3,0.3,2,0.87,0.84277904,0.5301204819277108,0.47583756,7.962634373181703,9.580913,67.49397590361446,1.0,0.5301204819277109,0.6929133858267718
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,2,0.8966666666666666,0.8729307,0.6265060240963852,0.5763609,6.606657459924977,7.674537,60.16867469879518,1.0,0.6265060240963856,0.7703703703703704
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,2,0.92,0.9018376,0.710843373493976,0.67273414,5.072028639731296,5.6353865,51.1566265060241,0.9836065573770492,0.7228915662650602,0.8333333333333334
entropy,N/A,rrg,0.8,0.3,0.3,2,0.94,0.9311983,0.7831325301204817,0.77062047,4.585131479191983,4.646987,46.24096385542169,0.9850746268656716,0.7951807228915663,0.88
entropy,N/A,rrg,0.9,0.3,0.3,2,0.9766666666666667,0.9553381,0.9156626506024097,0.8511008,2.9461128066500444,3.4268782,42.91566265060241,1.0,0.9156626506024096,0.9559748427672956
