method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
entropy,N/A,rrg,0.0,0.05,0.3,0,0.9533333333333334,0.949999,0.0,0.0,19.27474479693634,10.040557,135.92857142857142,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.05,0.3,0,0.9633333333333334,0.9545286,0.21428571428571463,0.090591244,15.863780150806578,8.86507,111.07142857142857,0.8,0.2857142857142857,0.4210526315789473
entropy,N/A,rrg,0.2,0.05,0.3,0,0.9733333333333334,0.95712686,0.42857142857142927,0.1425547,12.960978416231939,7.6993475,82.07142857142857,0.875,0.5,0.6363636363636364
entropy,N/A,rrg,0.30000000000000004,0.05,0.3,0,0.9766666666666667,0.95663613,0.5,0.1327404,10.138907459653215,7.019833,61.714285714285715,0.8888888888888888,0.5714285714285714,0.6956521739130435
entropy,N/A,rrg,0.4,0.05,0.3,0,0.99,0.9615568,0.7857142857142854,0.23115161,6.714356954279974,5.8521795,13.285714285714286,0.9230769230769231,0.8571428571428571,0.888888888888889
entropy,N/A,rrg,0.5,0.05,0.3,0,0.99,0.9645682,0.7857142857142854,0.2913785,4.3871032037681035,4.9691114,10.857142857142858,0.9230769230769231,0.8571428571428571,0.888888888888889
entropy,N/A,rrg,0.6000000000000001,0.05,0.3,0,0.9933333333333333,0.9720898,0.8571428571428561,0.441808,3.308597614809848,3.7533097,13.142857142857142,0.9285714285714286,0.9285714285714286,0.9285714285714286
entropy,N/A,rrg,0.7000000000000001,0.05,0.3,0,0.9966666666666667,0.9792423,0.9285714285714293,0.584855,2.175797830066436,2.625102,7.5,0.9333333333333333,1.0,0.9655172413793104
entropy,N/A,rrg,0.8,0.05,0.3,0,0.9966666666666667,0.98405355,0.9285714285714293,0.6810776,1.6236325286150552,1.6125029,7.5,0.9333333333333333,1.0,0.9655172413793104
entropy,N/A,rrg,0.9,0.05,0.3,0,0.9966666666666667,0.9836741,0.9285714285714293,0.67348886,1.311251512423321,1.4736476,7.5,0.9333333333333333,1.0,0.9655172413793104
entropy,N/A,rrg,1.0,0.05,0.3,0,0.9966666666666667,0.9832075,0.9285714285714293,0.6641574,1.2412618730306266,1.621476,7.5,0.9333333333333333,1.0,0.9655172413793104
entropy,N/A,rrg,0.0,0.2,0.3,0,0.8033333333333333,0.80001426,0.0,0.0,22.068295866398977,20.230488,165.79661016949152,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.2,0.3,0,0.83,0.8183966,0.1355932203389828,0.0919184,19.58821578812227,17.675053,140.84745762711864,1.0,0.13559322033898305,0.23880597014925373
