method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
entropy,N/A,rrg,0.0,0.4,0.3,0,0.57,0.6000774,0.0,0.0,12.930140949082075,18.813402,154.10077519379846,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.4,0.3,0,0.6133333333333333,0.63934094,0.10077519379844961,0.09817786,11.193729363447723,16.283094,141.68217054263565,0.9333333333333333,0.10852713178294573,0.19444444444444445
entropy,N/A,rrg,0.2,0.4,0.3,0,0.65,0.68387944,0.1860465116279071,0.20954566,10.233578811459926,14.151374,122.71317829457364,0.9615384615384616,0.1937984496124031,0.3225806451612903
entropy,N/A,rrg,0.30000000000000004,0.4,0.3,0,0.7033333333333334,0.7200264,0.3100775193798451,0.29993048,9.012911992929427,12.384847,111.72093023255815,1.0,0.31007751937984496,0.47337278106508873
entropy,N/A,rrg,0.4,0.4,0.3,0,0.7433333333333333,0.7552424,0.40310077519379844,0.3879876,7.716536897068421,10.482835,97.07751937984496,0.9814814814814815,0.4108527131782946,0.5792349726775957
entropy,N/A,rrg,0.5,0.4,0.3,0,0.7933333333333333,0.79154307,0.5193798449612403,0.47875682,6.645685353644601,8.905241,88.31007751937985,1.0,0.5193798449612403,0.6836734693877551
entropy,N/A,rrg,0.6000000000000001,0.4,0.3,0,0.8333333333333334,0.82899076,0.6124031007751939,0.57239413,5.707583492320001,7.482591,80.71317829457364,0.9876543209876543,0.6201550387596899,0.7619047619047619
entropy,N/A,rrg,0.7000000000000001,0.4,0.3,0,0.87,0.8687649,0.6976744186046512,0.6718487,4.532377092604778,5.4060817,74.03100775193798,0.9787234042553191,0.7131782945736435,0.8251121076233184
entropy,N/A,rrg,0.8,0.4,0.3,0,0.92,0.9088268,0.8139534883720931,0.77202296,3.494122322194015,4.035766,69.32558139534883,0.972972972972973,0.8372093023255814,0.9
entropy,N/A,rrg,0.9,0.4,0.3,0,0.9666666666666667,0.94694173,0.9224806201550387,0.86732864,2.454059191050325,2.5949838,66.2248062015504,0.983739837398374,0.937984496124031,0.9603174603174603
entropy,N/A,rrg,1.0,0.4,0.3,0,0.9933333333333333,0.98187065,0.9844961240310076,0.95466787,1.3928957629354728,1.4547633,65.03100775193798,0.9847328244274809,1.0,0.9923076923076923
entropy,N/A,rrg,0.0,0.4,0.3,1,0.58,0.6000774,0.0,0.0,12.977332305039544,18.836435,143.03174603174602,0.0,0.0,0.0
