method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
entropy,N/A,rrg,0.0,0.3,0.3,0,0.73,0.7000528,0.0,0.0,15.763541867080235,20.715954,44.03703703703704,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,0,0.73,0.7407903,0.0,0.1358156,12.793117953379106,16.506933,42.629629629629626,0.5,0.1111111111111111,0.1818181818181818
entropy,N/A,rrg,0.2,0.3,0.3,0,0.74,0.77541083,0.03703703703703707,0.25123766,11.269212916850101,14.063789,37.333333333333336,0.5555555555555556,0.18518518518518517,0.2777777777777778
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.76,0.7995199,0.1111111111111112,0.33161536,9.923167586675497,12.911851,30.333333333333332,0.6363636363636364,0.25925925925925924,0.368421052631579
entropy,N/A,rrg,0.4,0.3,0.3,0,0.79,0.81852883,0.2222222222222224,0.39498964,9.688539829902057,11.377061,27.185185185185187,0.75,0.3333333333333333,0.46153846153846156
entropy,N/A,rrg,0.5,0.3,0.3,0,0.84,0.8496891,0.40740740740740733,0.49887556,7.338328481281726,8.292271,23.62962962962963,0.8235294117647058,0.5185185185185185,0.6363636363636364
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.87,0.8716814,0.5185185185185185,0.572196,5.8001407843221795,6.8758564,20.77777777777778,0.85,0.6296296296296297,0.723404255319149
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.9,0.8983282,0.6296296296296298,0.6610343,5.030026442593464,5.708076,19.37037037037037,0.8695652173913043,0.7407407407407407,0.7999999999999999
entropy,N/A,rrg,0.8,0.3,0.3,0,0.94,0.9196989,0.7777777777777776,0.7322825,3.444002830498683,4.5935063,16.0,0.92,0.8518518518518519,0.8846153846153846
entropy,N/A,rrg,0.9,0.3,0.3,0,0.96,0.944788,0.8518518518518517,0.8159275,2.6382590298697703,3.0466938,14.703703703703704,0.96,0.8888888888888888,0.923076923076923
