method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
entropy,N/A,rrg,0.0,0.3,0.3,0,0.68,0.7000266,0.0,0.0,18.03801087399157,20.35068,39.53125,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,0,0.67,0.72545344,-0.031250000000000035,0.08476372,13.498646202319364,15.615357,50.4375,0.42857142857142855,0.09375,0.15384615384615383
entropy,N/A,rrg,0.2,0.3,0.3,0,0.71,0.7470744,0.09374999999999975,0.15684007,11.349597115754113,13.599714,41.21875,0.6666666666666666,0.1875,0.29268292682926833
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.75,0.78866696,0.2187499999999999,0.29549414,8.90781559888293,10.473912,33.59375,0.7692307692307693,0.3125,0.4444444444444445
entropy,N/A,rrg,0.4,0.3,0.3,0,0.79,0.80919516,0.34375,0.36392754,7.619009363108664,9.259398,28.3125,0.8666666666666667,0.40625,0.5531914893617021
entropy,N/A,rrg,0.5,0.3,0.3,0,0.83,0.83427984,0.4687499999999998,0.4475505,5.48721720600947,7.0968494,25.90625,1.0,0.46875,0.6382978723404256
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.84,0.8609864,0.49999999999999983,0.5365803,4.019971555140776,5.040163,22.46875,0.9444444444444444,0.53125,0.6799999999999999
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.87,0.8917327,0.5937499999999999,0.639077,3.487367816801574,3.969882,20.40625,0.9523809523809523,0.625,0.7547169811320755
entropy,N/A,rrg,0.8,0.3,0.3,0,0.91,0.9193167,0.71875,0.7310319,2.989911375152126,3.2125955,18.6875,0.96,0.75,0.8421052631578947
entropy,N/A,rrg,0.9,0.3,0.3,0,0.94,0.94979364,0.8124999999999998,0.83263063,2.723166040375928,2.7483947,17.5625,0.9642857142857143,0.84375,0.8999999999999999
entropy,N/A,rrg,1.0,0.3,0.3,0,0.99,0.9785811,0.96875,0.9285973,2.1164249196244915,2.0174308,17.0625,0.9696969696969697,1.0,0.9846153846153847
entropy,N/A,rrg,0.0,0.3,0.3,1,0.69,0.7000528,0.0,0.0,17.581874918492446,20.719917,54.32258064516129,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,1,0.71,0.71960634,0.0645161290322581,0.06518995,14.041981247763303,17.34472,41.483870967741936,0.6666666666666666,0.12903225806451613,0.2162162162162162
entropy,N/A,rrg,0.2,0.3,0.3,1,0.77,0.7522496,0.2580645161290324,0.17401996,10.300980382906445,13.144004,36.74193548387097,0.8333333333333334,0.3225806451612903,0.4651162790697674
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,1,0.79,0.78308713,0.32258064516129054,0.27682984,7.716225060866504,9.530977,32.064516129032256,0.8125,0.41935483870967744,0.5531914893617021
entropy,N/A,rrg,0.4,0.3,0.3,1,0.82,0.8081583,0.4193548387096774,0.36041504,6.813024403054831,7.9705963,26.451612903225808,0.9333333333333333,0.45161290322580644,0.608695652173913
entropy,N/A,rrg,0.5,0.3,0.3,1,0.83,0.83291334,0.45161290322580644,0.44294643,4.628810569922242,5.5842605,23.129032258064516,0.8888888888888888,0.5161290322580645,0.6530612244897959
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,1,0.89,0.8633725,0.6451612903225807,0.54449487,3.8665021508884143,4.621267,22.516129032258064,0.9545454545454546,0.6774193548387096,0.7924528301886793
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,1,0.92,0.8912647,0.7419354838709679,0.63748515,3.1437953011678093,3.565596,20.193548387096776,0.96,0.7741935483870968,0.8571428571428571
entropy,N/A,rrg,0.8,0.3,0.3,1,0.97,0.91960007,0.9032258064516129,0.7319531,2.733981966266802,3.0144875,17.0,0.9666666666666667,0.9354838709677419,0.9508196721311476
entropy,N/A,rrg,0.9,0.3,0.3,1,0.98,0.95036066,0.9354838709677419,0.8345064,2.385173462570921,2.4020312,16.419354838709676,0.967741935483871,0.967741935483871,0.967741935483871
entropy,N/A,rrg,1.0,0.3,0.3,1,0.99,0.97813505,0.967741935483871,0.927104,1.872249793755549,1.8282787,16.06451612903226,0.96875,1.0,0.9841269841269841
entropy,N/A,rrg,0.0,0.3,0.3,2,0.76,0.7000528,0.0,0.0,15.680715185072597,20.753813,48.291666666666664,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,2,0.75,0.72734904,-0.041666666666666706,0.0910035,13.196083772453308,15.534459,55.958333333333336,0.42857142857142855,0.125,0.19354838709677416
entropy,N/A,rrg,0.2,0.3,0.3,2,0.77,0.7601173,0.041666666666666706,0.20025022,13.464557986339008,12.785187,45.291666666666664,0.5555555555555556,0.20833333333333334,0.30303030303030304
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,2,0.8,0.7856519,0.16666666666666682,0.28538063,10.46992134462471,10.2719,35.375,0.6666666666666666,0.3333333333333333,0.4444444444444444
entropy,N/A,rrg,0.4,0.3,0.3,2,0.82,0.81039405,0.24999999999999978,0.3678689,8.249942709286676,8.747886,26.916666666666668,0.6666666666666666,0.5,0.5714285714285715
