method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
entropy,N/A,rrg,0.0,0.2,0.3,0,0.76,0.8000142,0.0,0.0,25.349319946370812,20.114372,46.041666666666664,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.2,0.3,0,0.76,0.8238539,0.0,0.119207025,22.911773382882778,17.029219,46.416666666666664,0.5,0.08333333333333333,0.14285714285714285
entropy,N/A,rrg,0.2,0.2,0.3,0,0.77,0.8424562,0.041666666666666706,0.21222518,20.22403052275331,14.475089,39.083333333333336,0.5714285714285714,0.16666666666666666,0.25806451612903225
entropy,N/A,rrg,0.30000000000000004,0.2,0.3,0,0.79,0.86069244,0.1250000000000001,0.30341277,17.41171484104742,12.258008,32.25,0.6666666666666666,0.25,0.36363636363636365
entropy,N/A,rrg,0.4,0.2,0.3,0,0.82,0.8768918,0.24999999999999978,0.38441527,13.994835913555814,10.1930275,26.0,0.75,0.375,0.5
entropy,N/A,rrg,0.5,0.2,0.3,0,0.84,0.8890248,0.3333333333333332,0.44508457,10.981556631961453,8.087045,22.958333333333332,0.7222222222222222,0.5416666666666666,0.619047619047619
entropy,N/A,rrg,0.6000000000000001,0.2,0.3,0,0.86,0.90789706,0.4166666666666666,0.53945255,7.4848268376124585,6.2436194,19.75,0.75,0.625,0.6818181818181818
entropy,N/A,rrg,0.7000000000000001,0.2,0.3,0,0.87,0.92744356,0.4583333333333333,0.6371921,5.790769230103673,4.5842433,17.541666666666668,0.7391304347826086,0.7083333333333334,0.723404255319149
entropy,N/A,rrg,0.8,0.2,0.3,0,0.9,0.9455853,0.5833333333333334,0.72790724,4.708023686433123,3.483258,15.25,0.7692307692307693,0.8333333333333334,0.8
entropy,N/A,rrg,0.9,0.2,0.3,0,0.92,0.964256,0.6666666666666669,0.82126725,3.971765004294602,2.766082,13.375,0.7857142857142857,0.9166666666666666,0.8461538461538461
entropy,N/A,rrg,1.0,0.2,0.3,0,0.94,0.9770917,0.7499999999999998,0.88545054,2.3389195986947646,1.6915159,12.5,0.8,1.0,0.888888888888889
entropy,N/A,rrg,0.0,0.3,0.3,0,0.76,0.7000528,0.0,0.0,14.935509744455732,20.516901,49.875,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,0,0.77,0.7317413,0.041666666666666706,0.10564697,13.824506907416588,17.776169,49.083333333333336,1.0,0.041666666666666664,0.07999999999999999
entropy,N/A,rrg,0.2,0.3,0.3,0,0.82,0.75520575,0.24999999999999978,0.18387553,10.908659055331256,15.476044,37.791666666666664,1.0,0.25,0.4
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.86,0.7839499,0.4166666666666666,0.27970627,9.048981949624654,13.519936,32.083333333333336,1.0,0.4166666666666667,0.5882352941176471
entropy,N/A,rrg,0.4,0.3,0.3,0,0.88,0.81243867,0.5,0.3746855,7.916776307557216,11.782584,26.125,1.0,0.5,0.6666666666666666
entropy,N/A,rrg,0.5,0.3,0.3,0,0.9,0.8408399,0.5833333333333334,0.46937302,7.027323203302843,10.23128,22.75,1.0,0.5833333333333334,0.7368421052631579
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.91,0.8670594,0.6250000000000001,0.5567867,6.0617096688252765,8.5205765,18.75,1.0,0.625,0.7692307692307693
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.93,0.89768183,0.7083333333333335,0.6588794,5.221440647949699,6.502928,16.375,1.0,0.7083333333333334,0.8292682926829268
entropy,N/A,rrg,0.8,0.3,0.3,0,0.96,0.92335624,0.8333333333333331,0.74447584,3.988670100513594,5.0379567,14.208333333333334,1.0,0.8333333333333334,0.9090909090909091
entropy,N/A,rrg,0.9,0.3,0.3,0,0.98,0.95041627,0.9166666666666666,0.8346918,3.1164613952067066,3.4203901,12.875,1.0,0.9166666666666666,0.9565217391304348
entropy,N/A,rrg,1.0,0.3,0.3,0,0.99,0.97794706,0.9583333333333333,0.92647725,1.7806808555018026,2.029598,12.5,0.96,1.0,0.9795918367346939
entropy,N/A,rrg,0.0,0.2,0.3,1,0.77,0.8000142,0.0,0.0,24.682676127198942,20.38707,56.30434782608695,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.2,0.3,1,0.82,0.8248923,0.2173913043478258,0.12439925,19.870978352238836,16.61653,40.608695652173914,1.0,0.21739130434782608,0.3571428571428571
