method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
entropy,N/A,rrg,0.0,0.3,0.3,0,0.62,0.7000528,0.0,0.0,20.05290482931203,20.742115,48.8421052631579,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,0,0.63,0.7225453,0.026315789473684233,0.07498829,16.166440699083108,17.082539,47.39473684210526,1.0,0.02631578947368421,0.05128205128205127
entropy,N/A,rrg,0.2,0.3,0.3,0,0.66,0.7467,0.10526315789473693,0.15551801,12.113344741450767,13.2119665,42.8421052631579,1.0,0.10526315789473684,0.1904761904761905
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.7,0.7646368,0.2105263157894736,0.21531795,7.9916826991661765,8.867541,39.473684210526315,1.0,0.21052631578947367,0.34782608695652173
entropy,N/A,rrg,0.4,0.3,0.3,0,0.76,0.79338866,0.368421052631579,0.31117433,5.429421082767706,6.4215083,34.94736842105263,1.0,0.3684210526315789,0.5384615384615384
entropy,N/A,rrg,0.5,0.3,0.3,0,0.8,0.81607145,0.47368421052631593,0.38679692,3.6049631448761636,4.5649114,30.55263157894737,1.0,0.47368421052631576,0.6428571428571429
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.83,0.8440907,0.5526315789473684,0.48021084,3.0029408116436054,3.4320962,26.68421052631579,1.0,0.5526315789473685,0.711864406779661
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.87,0.87077516,0.6578947368421053,0.5691747,2.5653803175718775,2.6721084,24.789473684210527,1.0,0.6578947368421053,0.7936507936507937
entropy,N/A,rrg,0.8,0.3,0.3,0,0.91,0.90075946,0.7631578947368421,0.66914,2.077469183229614,2.154527,22.289473684210527,1.0,0.7631578947368421,0.8656716417910448
entropy,N/A,rrg,0.9,0.3,0.3,0,0.96,0.93074644,0.894736842105263,0.76911414,1.7645744665740473,1.7514197,20.44736842105263,1.0,0.8947368421052632,0.9444444444444444
entropy,N/A,rrg,1.0,0.3,0.3,0,1.0,0.96073073,1.0,0.8690794,1.0875877678812405,1.4596068,19.5,1.0,1.0,1.0
entropy,N/A,rrg,0.0,0.3,0.3,1,0.62,0.7000528,0.0,0.0,19.608473948417185,20.661123,46.0,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,1,0.66,0.7250194,0.10526315789473693,0.08323664,13.958689455032973,15.279406,41.55263157894737,1.0,0.10526315789473684,0.1904761904761905
entropy,N/A,rrg,0.2,0.3,0.3,1,0.7,0.7500123,0.2105263157894736,0.16656092,8.911557028088414,10.930493,36.55263157894737,1.0,0.21052631578947367,0.34782608695652173
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,1,0.7,0.7752696,0.2105263157894736,0.2507669,5.972646701957709,7.9112043,35.21052631578947,0.9,0.23684210526315788,0.375
entropy,N/A,rrg,0.4,0.3,0.3,1,0.72,0.8032549,0.26315789473684204,0.34406757,4.3127220481863375,5.6106067,33.421052631578945,0.8571428571428571,0.3157894736842105,0.46153846153846156
entropy,N/A,rrg,0.5,0.3,0.3,1,0.74,0.83170104,0.3157894736842105,0.43890473,3.5116646045271382,4.422952,30.973684210526315,0.8333333333333334,0.39473684210526316,0.5357142857142857
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,1,0.79,0.85786647,0.4473684210526317,0.5261382,2.989196127808087,3.6837988,28.13157894736842,0.84,0.5526315789473685,0.6666666666666667
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,1,0.84,0.8878493,0.5789473684210525,0.62609845,2.7615506823484246,3.1189084,24.394736842105264,0.8666666666666667,0.6842105263157895,0.7647058823529413
entropy,N/A,rrg,0.8,0.3,0.3,1,0.89,0.917832,0.7105263157894737,0.7260585,2.1805625431189637,2.4210825,22.0,0.8857142857142857,0.8157894736842105,0.8493150684931505
entropy,N/A,rrg,0.9,0.3,0.3,1,0.92,0.9478188,0.7894736842105264,0.8260321,2.046741780729729,1.9871354,20.44736842105263,0.8947368421052632,0.8947368421052632,0.8947368421052632
entropy,N/A,rrg,1.0,0.3,0.3,1,0.96,0.9778031,0.894736842105263,0.9259973,1.75283605430186,1.6045357,19.5,0.9047619047619048,1.0,0.9500000000000001
entropy,N/A,rrg,0.0,0.3,0.3,2,0.73,0.7000528,0.0,0.0,17.349247517470932,20.661304,44.592592592592595,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,2,0.74,0.7225453,0.03703703703703707,0.07498829,14.69165665310625,17.051693,45.074074074074076,1.0,0.037037037037037035,0.07142857142857142
