method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
entropy,N/A,rrg,0.0,0.3,0.3,0,0.72,0.7000266,0.0,0.0,16.718403813131104,20.474886,53.07142857142857,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,0,0.74,0.7252834,0.07142857142857148,0.084196836,13.031017369644228,16.055225,48.357142857142854,1.0,0.07142857142857142,0.13333333333333333
entropy,N/A,rrg,0.2,0.3,0.3,0,0.78,0.7506929,0.21428571428571447,0.16890274,8.698921563498223,11.64912,35.857142857142854,1.0,0.21428571428571427,0.35294117647058826
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.81,0.7736528,0.3214285714285717,0.24544248,5.819913925730888,8.650427,32.785714285714285,1.0,0.32142857142857145,0.4864864864864865
entropy,N/A,rrg,0.4,0.3,0.3,0,0.82,0.7977163,0.35714285714285704,0.32566133,5.234059274380686,7.188091,32.82142857142857,1.0,0.35714285714285715,0.5263157894736842
entropy,N/A,rrg,0.5,0.3,0.3,0,0.86,0.82271266,0.5,0.40898985,4.021946094538676,5.4683366,25.5,1.0,0.5,0.6666666666666666
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.92,0.8507782,0.7142857142857144,0.50255,3.3687061854681537,4.546993,20.321428571428573,1.0,0.7142857142857143,0.8333333333333333
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.95,0.88035583,0.8214285714285713,0.6011508,2.8318527814211363,3.3358526,17.857142857142858,1.0,0.8214285714285714,0.9019607843137255
entropy,N/A,rrg,0.8,0.3,0.3,0,0.97,0.9103413,0.8928571428571428,0.70111126,2.0330506746127672,2.5416558,15.607142857142858,1.0,0.8928571428571429,0.9433962264150945
entropy,N/A,rrg,0.9,0.3,0.3,0,0.98,0.94372934,0.9285714285714285,0.8124145,1.2758603211939654,1.9170269,14.785714285714286,1.0,0.9285714285714286,0.962962962962963
entropy,N/A,rrg,1.0,0.3,0.3,0,1.0,0.97026736,1.0,0.9008824,1.0023393168065855,1.4669995,14.5,1.0,1.0,1.0
entropy,N/A,rrg,0.0,0.3,0.3,1,0.78,0.70002663,0.0,0.0,13.150649866520896,20.272493,47.27272727272727,0.0,0.0,0.0
