method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,powerlaw,0.0,0.05,0.3,0,0.96,0.94966555,0.0,0.0,8.83003779035472,9.050183,52.25,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.05,0.3,0,0.96,0.9481404,0.0,-0.03030059,3.049141591481084,4.9292974,68.0,0.0,0.0,0.0
random,N/A,powerlaw,0.2,0.05,0.3,0,0.95,0.9581819,-0.25,0.16919567,2.4918154112762285,3.4630468,39.25,0.0,0.0,0.0
random,N/A,powerlaw,0.30000000000000004,0.05,0.3,0,0.97,0.96634275,0.25,0.33132774,3.098918797571351,3.1738338,23.0,1.0,0.25,0.4
random,N/A,powerlaw,0.4,0.05,0.3,0,0.95,0.97331864,-0.25,0.4699185,2.5522038793358375,2.1534295,24.5,0.0,0.0,0.0
random,N/A,powerlaw,0.5,0.05,0.3,0,0.96,0.9757564,0.0,0.51834995,2.249916694406532,2.1901393,29.75,0.0,0.0,0.0
random,N/A,powerlaw,0.6000000000000001,0.05,0.3,0,0.96,0.9855676,0.0,0.71327055,1.5474795710723583,1.2642406,13.25,0.5,0.25,0.3333333333333333
random,N/A,powerlaw,0.7000000000000001,0.05,0.3,0,0.98,0.986226,0.5,0.7263509,0.6334885803152406,1.1236169,3.75,0.75,0.75,0.75
random,N/A,powerlaw,0.8,0.05,0.3,0,0.99,0.9855677,0.75,0.71327174,0.6670801445549127,1.0495871,6.25,1.0,0.75,0.8571428571428571
random,N/A,powerlaw,0.9,0.05,0.3,0,1.0,0.9930704,1.0,0.86232936,0.6153613308904662,0.70945203,2.5,1.0,1.0,1.0
random,N/A,powerlaw,1.0,0.05,0.3,0,1.0,0.9966397,1.0,0.9332411,0.3500000872094154,0.4805832,2.5,1.0,1.0,1.0
random,N/A,powerlaw,0.0,0.1,0.3,0,0.91,0.90000033,0.0,0.0,9.51638874743823,10.911926,52.22222222222222,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.1,0.3,0,0.9,0.8976681,-0.11111111111111124,-0.023322184,2.0647309184229674,4.0484676,50.0,0.3333333333333333,0.1111111111111111,0.16666666666666666
random,N/A,powerlaw,0.2,0.1,0.3,0,0.91,0.90736014,0.0,0.07359827,2.531205925702789,3.293139,35.22222222222222,0.5,0.2222222222222222,0.30769230769230765
random,N/A,powerlaw,0.30000000000000004,0.1,0.3,0,0.9,0.9107107,-0.11111111111111124,0.107103944,1.8575551554121679,2.9812186,29.666666666666668,0.4,0.2222222222222222,0.2857142857142857
random,N/A,powerlaw,0.4,0.1,0.3,0,0.91,0.95192045,0.0,0.5192029,1.7090682258059513,1.6334305,21.333333333333332,0.5,0.2222222222222222,0.30769230769230765
random,N/A,powerlaw,0.5,0.1,0.3,0,0.91,0.9444041,0.0,0.4440394,1.0007282560446908,1.4503456,9.222222222222221,0.5,0.5555555555555556,0.5263157894736842
random,N/A,powerlaw,0.6000000000000001,0.1,0.3,0,0.95,0.96714187,0.44444444444444375,0.6714176,0.7713984453652905,1.2702049,10.11111111111111,0.75,0.6666666666666666,0.7058823529411765
random,N/A,powerlaw,0.7000000000000001,0.1,0.3,0,0.95,0.97065336,0.44444444444444375,0.7065326,0.8163979223283979,0.92543393,7.444444444444445,0.7,0.7777777777777778,0.7368421052631577
