method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,rrg,0.0,0.05,0.3,0,0.94,0.95000243,0.0,0.0,13.567582360113775,14.239043,,,,
random,N/A,rrg,0.1,0.05,0.3,0,0.94,0.95147973,0.0,0.0,12.141588488597309,10.605753,,,,
random,N/A,rrg,0.2,0.05,0.3,0,0.96,0.9604348,0.3333333333333333,0.3357656,4.397396831222573,5.2520704,,,,
random,N/A,rrg,0.30000000000000004,0.05,0.3,0,0.94,0.9617504,0.0,0.21290657,3.3969931408565075,3.598186,,,,
random,N/A,rrg,0.4,0.05,0.3,0,0.99,0.9904199,0.8333333333333334,0.83563375,1.0981819853558918,2.2519572,,,,
random,N/A,rrg,0.5,0.05,0.3,0,0.99,0.9797048,0.8333333333333334,0.68146175,1.5636026345342118,1.9242154,,,,
random,N/A,rrg,0.6000000000000001,0.05,0.3,0,0.99,0.98530716,0.8333333333333334,0.7639076,0.6989897043005057,1.0800829,,,,
random,N/A,rrg,0.7000000000000001,0.05,0.3,0,0.99,0.9975131,0.8333333333333334,0.9524395,0.6159273320305994,0.7550695,,,,
random,N/A,rrg,0.8,0.05,0.3,0,1.0,0.9989286,1.0,0.98237365,0.41501109498374034,0.46689603,,,,
random,N/A,rrg,0.9,0.05,0.3,0,1.0,0.9907077,1.0,0.84833974,0.07434731381228177,0.14111026,,,,
random,N/A,rrg,1.0,0.05,0.3,0,1.0,0.9999877,1.0,0.9997954,1.6846611907671347e-05,0.023233864,,,,
random,N/A,rrg,0.0,0.05,0.3,1,0.95,0.95000243,0.0,0.0,13.465365696753178,14.239043,,,,
random,N/A,rrg,0.1,0.05,0.3,1,0.97,0.9660984,0.4,0.37104577,9.245818484761367,8.28683,,,,
random,N/A,rrg,0.2,0.05,0.3,1,0.97,0.96684515,0.4,0.27650797,4.416093740989008,5.6883864,,,,
random,N/A,rrg,0.30000000000000004,0.05,0.3,1,0.97,0.97962385,0.4,0.47715244,3.8301094201969597,3.0151153,,,,
random,N/A,rrg,0.4,0.05,0.3,1,0.98,0.97621137,0.6,0.5577384,3.3564347175281966,2.7698739,,,,
random,N/A,rrg,0.5,0.05,0.3,1,0.99,0.9829325,0.8,0.67585886,2.6134673038563765,2.109265,,,,
random,N/A,rrg,0.6000000000000001,0.05,0.3,1,0.98,0.98264104,0.6,0.58480114,1.014029150797853,1.1682456,,,,
random,N/A,rrg,0.7000000000000001,0.05,0.3,1,0.99,0.995912,0.8,0.90645826,0.8750233685906406,0.790746,,,,
random,N/A,rrg,0.8,0.05,0.3,1,0.99,0.997639,0.8,0.9442636,0.37318541948355355,0.4435709,,,,
random,N/A,rrg,0.9,0.05,0.3,1,1.0,0.9992971,1.0,0.98613405,0.3050427629179328,0.26171046,,,,
random,N/A,rrg,1.0,0.05,0.3,1,1.0,0.9999868,1.0,0.99973655,5.43237717013942e-06,0.017959978,,,,
random,N/A,rrg,0.0,0.05,0.3,2,0.96,0.95000243,0.0,0.0,12.847089768255865,14.239043,,,,
random,N/A,rrg,0.1,0.05,0.3,2,0.96,0.95034814,0.0,0.0,6.456744912719509,9.36185,,,,
random,N/A,rrg,0.2,0.05,0.3,2,0.97,0.94961685,0.25,0.059395816,3.303965375022965,5.1172175,,,,
random,N/A,rrg,0.30000000000000004,0.05,0.3,2,0.96,0.9640298,0.0,0.2550338,3.6901086375071634,4.069487,,,,
random,N/A,rrg,0.4,0.05,0.3,2,0.99,0.9838751,0.75,0.6554886,1.4843666546312908,2.128119,,,,
random,N/A,rrg,0.5,0.05,0.3,2,0.96,0.9783725,0.0,0.5099747,0.9723276190710789,1.4850997,,,,
random,N/A,rrg,0.6000000000000001,0.05,0.3,2,0.98,0.9922598,0.5,0.81585693,0.5953465193973879,1.0633165,,,,
random,N/A,rrg,0.7000000000000001,0.05,0.3,2,1.0,0.99810195,1.0,0.95468783,0.5889539529190215,1.0499283,,,,
random,N/A,rrg,0.8,0.05,0.3,2,1.0,0.995882,1.0,0.90055317,0.16251978740124748,0.44546154,,,,
random,N/A,rrg,0.9,0.05,0.3,2,1.0,0.9981464,1.0,0.95390564,0.13170413750637702,0.19569372,,,,
random,N/A,rrg,1.0,0.05,0.3,2,1.0,0.99998057,1.0,0.9995141,1.412586985292817e-05,0.02200495,,,,
random,N/A,rrg,0.0,0.05,0.3,3,0.91,0.95000243,0.0,0.0,13.746468640173589,14.239043,,,,
random,N/A,rrg,0.1,0.05,0.3,3,0.94,0.9482672,0.33333333333333254,0.36704266,5.419134581443315,7.247162,,,,
random,N/A,rrg,0.2,0.05,0.3,3,0.95,0.9353338,0.44444444444444375,0.29896,2.7102159228414426,4.791891,,,,
random,N/A,rrg,0.30000000000000004,0.05,0.3,3,0.96,0.9610662,0.555555555555555,0.4864897,1.8480004272972694,3.05902,,,,
random,N/A,rrg,0.4,0.05,0.3,3,0.94,0.9427076,0.33333333333333254,0.3265345,1.8163311325703762,2.3471339,,,,
random,N/A,rrg,0.5,0.05,0.3,3,0.95,0.9823262,0.44444444444444375,0.6863074,1.5385080407566973,1.526543,,,,
random,N/A,rrg,0.6000000000000001,0.05,0.3,3,0.99,0.9823704,0.8888888888888887,0.80619174,0.7565963333209333,1.125095,,,,
random,N/A,rrg,0.7000000000000001,0.05,0.3,3,0.99,0.9930829,0.8888888888888887,0.9204022,0.641725804813843,0.7055909,,,,
random,N/A,rrg,0.8,0.05,0.3,3,0.99,0.9967615,0.8888888888888887,0.960915,0.2445677907111053,0.36475056,,,,
random,N/A,rrg,0.9,0.05,0.3,3,0.99,0.99635714,0.8888888888888887,0.95616525,0.4156141597145131,0.21623906,,,,
random,N/A,rrg,1.0,0.05,0.3,3,1.0,0.9999724,1.0,0.99969333,8.339627380413607e-06,0.022816224,,,,
random,N/A,rrg,0.0,0.05,0.3,4,0.91,0.95000243,0.0,0.0,13.847168274725592,14.239043,,,,
random,N/A,rrg,0.1,0.05,0.3,4,0.92,0.9476796,0.11111111111111124,0.16046092,7.534775891119541,8.343878,,,,
random,N/A,rrg,0.2,0.05,0.3,4,0.95,0.9670366,0.44444444444444375,0.54821914,4.043519305255479,4.6817837,,,,
random,N/A,rrg,0.30000000000000004,0.05,0.3,4,0.96,0.97183466,0.555555555555555,0.6396684,2.8250745959987182,3.3411887,,,,
random,N/A,rrg,0.4,0.05,0.3,4,0.97,0.97059023,0.6666666666666663,0.6710615,2.1979555584826507,2.4290736,,,,
random,N/A,rrg,0.5,0.05,0.3,4,0.99,0.9739606,0.8888888888888887,0.7250456,1.6651935723296865,1.588344,,,,
random,N/A,rrg,0.6000000000000001,0.05,0.3,4,0.95,0.9803673,0.44444444444444375,0.7041462,1.3689203906808063,0.9678658,,,,
random,N/A,rrg,0.7000000000000001,0.05,0.3,4,1.0,0.9871994,1.0,0.8666701,0.6409191186199199,0.71708333,,,,
random,N/A,rrg,0.8,0.05,0.3,4,0.98,0.98754525,0.7777777777777775,0.8645769,0.8414428227849783,0.4967515,,,,
random,N/A,rrg,0.9,0.05,0.3,4,0.99,0.99946856,0.8888888888888887,0.9933935,0.17500415661650734,0.20770593,,,,
random,N/A,rrg,1.0,0.05,0.3,4,1.0,0.99989533,1.0,0.99883586,0.0001320930365414841,0.049490176,,,,
random,N/A,rrg,0.0,0.05,0.3,5,0.94,0.95000243,0.0,0.0,12.999326058233892,14.239043,,,,
random,N/A,rrg,0.1,0.05,0.3,5,0.95,0.94865227,0.16666666666666666,0.1178197,7.536839836035124,8.176862,,,,
random,N/A,rrg,0.2,0.05,0.3,5,0.93,0.9445322,-0.16666666666666483,0.18134753,4.805533886140957,5.332542,,,,
random,N/A,rrg,0.30000000000000004,0.05,0.3,5,0.95,0.941195,0.16666666666666666,0.031497933,2.7009380246125096,3.6574838,,,,
random,N/A,rrg,0.4,0.05,0.3,5,0.99,0.9891562,0.8333333333333334,0.82176614,2.3008941869629673,2.323192,,,,
random,N/A,rrg,0.5,0.05,0.3,5,0.96,0.96279716,0.3333333333333333,0.33835587,2.573981328735746,1.5987288,,,,
random,N/A,rrg,0.6000000000000001,0.05,0.3,5,0.96,0.9762315,0.3333333333333333,0.6314642,1.191533427189499,0.89639753,,,,
random,N/A,rrg,0.7000000000000001,0.05,0.3,5,0.97,0.97779363,0.5,0.64149076,0.9099189153922395,0.74812716,,,,
random,N/A,rrg,0.8,0.05,0.3,5,1.0,0.9985265,1.0,0.97588974,0.4352721356241126,0.480354,,,,
random,N/A,rrg,0.9,0.05,0.3,5,1.0,0.99834,1.0,0.97307354,0.07177851009750441,0.17334503,,,,
random,N/A,rrg,1.0,0.05,0.3,5,1.0,0.99998015,1.0,0.9996692,3.990091243348925e-05,0.03427696,,,,
random,N/A,rrg,0.0,0.05,0.3,6,0.95,0.95000243,0.0,0.0,12.091976433600102,14.239043,,,,
random,N/A,rrg,0.1,0.05,0.3,6,0.95,0.9465196,0.0,0.0,10.843629367813271,8.479068,,,,
random,N/A,rrg,0.2,0.05,0.3,6,0.96,0.94800186,0.2,0.16129504,6.742688373564396,6.5707293,,,,
random,N/A,rrg,0.30000000000000004,0.05,0.3,6,0.94,0.9503647,-0.2,0.16094495,5.31489843510652,4.4241486,,,,
random,N/A,rrg,0.4,0.05,0.3,6,0.97,0.95666635,0.4,0.19888353,3.552503817537845,3.3126414,,,,
random,N/A,rrg,0.5,0.05,0.3,6,0.98,0.97120994,0.6,0.4760232,2.1852072682074413,1.6511589,,,,
random,N/A,rrg,0.6000000000000001,0.05,0.3,6,1.0,0.9960216,1.0,0.92629296,1.119529743663474,1.1618774,,,,
random,N/A,rrg,0.7000000000000001,0.05,0.3,6,1.0,0.99764425,1.0,0.9548345,0.8374961843869099,0.7535602,,,,
random,N/A,rrg,0.8,0.05,0.3,6,1.0,0.9987806,1.0,0.9761888,0.6157920133653322,0.5718579,,,,
random,N/A,rrg,0.9,0.05,0.3,6,1.0,0.9977073,1.0,0.9554244,0.15420412165187108,0.13492979,,,,
random,N/A,rrg,1.0,0.05,0.3,6,1.0,0.9999749,1.0,0.999498,2.4780288411506347e-05,0.029434979,,,,
random,N/A,rrg,0.0,0.05,0.3,7,0.98,0.95000243,0.0,0.0,28.50446979602686,14.239043,,,,
random,N/A,rrg,0.1,0.05,0.3,7,0.98,0.9776699,0.0,0.0,14.388032896820684,11.552899,,,,
random,N/A,rrg,0.2,0.05,0.3,7,0.99,0.9881392,0.5,0.4574413,4.697268478603565,5.3397737,,,,
random,N/A,rrg,0.30000000000000004,0.05,0.3,7,0.99,0.99619585,0.5,0.72442096,2.7977453427660737,3.2126794,,,,
random,N/A,rrg,0.4,0.05,0.3,7,0.97,0.97902846,-0.5,0.018045826,4.27441165439952,2.2690482,,,,
random,N/A,rrg,0.5,0.05,0.3,7,1.0,0.99693537,1.0,0.85103333,0.7809134264499896,1.6345557,,,,
random,N/A,rrg,0.6000000000000001,0.05,0.3,7,0.99,0.99472535,0.5,0.6546589,1.1436634282638658,1.184102,,,,
random,N/A,rrg,0.7000000000000001,0.05,0.3,7,1.0,0.99988574,1.0,0.9943152,0.41134656071792103,0.6961113,,,,
random,N/A,rrg,0.8,0.05,0.3,7,0.99,0.99768007,0.5,0.8116252,0.1671049641162732,0.3512607,,,,
random,N/A,rrg,0.9,0.05,0.3,7,0.99,0.99815977,0.5,0.84411556,0.08531329422398817,0.19012551,,,,
random,N/A,rrg,1.0,0.05,0.3,7,1.0,0.9999382,1.0,0.9969011,1.991441490765785e-05,0.020040862,,,,
random,N/A,rrg,0.0,0.05,0.3,8,0.96,0.95000243,0.0,0.0,10.135877915228521,14.239043,,,,
random,N/A,rrg,0.1,0.05,0.3,8,0.96,0.9390743,0.0,0.0,8.715213983170154,8.541209,,,,
random,N/A,rrg,0.2,0.05,0.3,8,0.97,0.9495667,0.25,0.0019533231,3.329823898822535,5.6318336,,,,
random,N/A,rrg,0.30000000000000004,0.05,0.3,8,0.98,0.9639513,0.5,0.29808214,2.721806827183173,3.9909098,,,,
random,N/A,rrg,0.4,0.05,0.3,8,0.99,0.96834105,0.75,0.32211974,1.140303185258626,2.8079672,,,,
random,N/A,rrg,0.5,0.05,0.3,8,0.99,0.982476,0.75,0.60327846,0.7174758881398867,1.3360503,,,,
random,N/A,rrg,0.6000000000000001,0.05,0.3,8,1.0,0.9815345,1.0,0.5591184,0.6634589648340085,0.9171996,,,,
random,N/A,rrg,0.7000000000000001,0.05,0.3,8,1.0,0.98960596,1.0,0.7579164,0.24734284036815066,0.84452707,,,,
random,N/A,rrg,0.8,0.05,0.3,8,1.0,0.9990912,1.0,0.97768444,0.20825510165553252,0.29835513,,,,
random,N/A,rrg,0.9,0.05,0.3,8,1.0,0.9995408,1.0,0.9886487,0.1052098805782521,0.2689732,,,,
random,N/A,rrg,1.0,0.05,0.3,8,1.0,0.9999923,1.0,0.9998078,2.9813328133702822e-06,0.013819,,,,
random,N/A,rrg,0.0,0.05,0.3,9,0.91,0.95000243,0.0,0.0,12.950823460425054,14.239043,,,,
random,N/A,rrg,0.1,0.05,0.3,9,0.91,0.9511845,0.0,0.24191152,7.814226923491651,7.67034,,,,
random,N/A,rrg,0.2,0.05,0.3,9,0.94,0.9575991,0.33333333333333254,0.38008896,5.3782292233611315,4.951956,,,,
random,N/A,rrg,0.30000000000000004,0.05,0.3,9,0.91,0.9442158,0.0,0.1879527,5.355087786459284,3.548799,,,,
random,N/A,rrg,0.4,0.05,0.3,9,0.95,0.96640754,0.44444444444444375,0.49788627,4.410317305590168,2.5623465,,,,
random,N/A,rrg,0.5,0.05,0.3,9,0.99,0.9880469,0.8888888888888887,0.86569935,1.6646734379089536,1.8962548,,,,
