method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
entropy,N/A,rrg,0.0,0.3,0.3,0,0.68,0.7000266,0.0,0.0,19.03463857420082,20.35073,54.5,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,0,0.7,0.7446312,0.062499999999999716,0.14869517,15.09855543256468,16.120062,40.625,0.6666666666666666,0.125,0.21052631578947367
entropy,N/A,rrg,0.2,0.3,0.3,0,0.7,0.7718392,0.062499999999999716,0.23939663,13.565334323730019,12.843717,36.875,0.6,0.1875,0.2857142857142857
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.74,0.80383146,0.18749999999999986,0.34604692,12.264014452865668,10.728398,30.75,0.6875,0.34375,0.4583333333333333
entropy,N/A,rrg,0.4,0.3,0.3,0,0.75,0.8396476,0.2187499999999999,0.46544462,10.267798940886285,8.653177,26.125,0.6521739130434783,0.46875,0.5454545454545454
entropy,N/A,rrg,0.5,0.3,0.3,0,0.76,0.8576176,0.24999999999999992,0.52535003,8.327913735255818,7.5061955,25.1875,0.6428571428571429,0.5625,0.6000000000000001
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.81,0.8846185,0.40625000000000006,0.615361,7.484740949903043,6.4732084,22.34375,0.7241379310344828,0.65625,0.6885245901639345
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.86,0.91467863,0.5624999999999999,0.7155703,5.633914183868488,5.000787,19.59375,0.7647058823529411,0.8125,0.787878787878788
entropy,N/A,rrg,0.8,0.3,0.3,0,0.92,0.9506905,0.7500000000000001,0.83562046,3.742941538208784,3.3087475,18.4375,0.8333333333333334,0.9375,0.8823529411764706
entropy,N/A,rrg,0.9,0.3,0.3,0,0.96,0.98491305,0.8749999999999999,0.9497057,2.765736963581005,1.6438478,17.46875,0.8888888888888888,1.0,0.9411764705882353
entropy,N/A,rrg,1.0,0.3,0.3,0,1.0,0.9841838,1.0,0.9472746,1.6197663128246762,1.346209,16.5,1.0,1.0,1.0
entropy,N/A,rrg,0.0,0.3,0.3,1,0.74,0.7000528,0.0,0.0,17.180539963717887,20.899754,43.0,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,1,0.76,0.7316845,0.07692307692307698,0.10545759,13.561454077615709,16.699224,43.65384615384615,0.6666666666666666,0.15384615384615385,0.25
entropy,N/A,rrg,0.2,0.3,0.3,1,0.75,0.75519806,0.03846153846153849,0.1838499,11.188460271155936,13.816845,40.07692307692308,0.5384615384615384,0.2692307692307692,0.3589743589743589
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,1,0.78,0.78343767,0.15384615384615397,0.2779985,9.492451535919031,11.801596,31.73076923076923,0.6,0.46153846153846156,0.5217391304347826
entropy,N/A,rrg,0.4,0.3,0.3,1,0.75,0.83120835,0.03846153846153849,0.43726212,8.850959633373668,9.313645,26.653846153846153,0.5217391304347826,0.46153846153846156,0.4897959183673469
entropy,N/A,rrg,0.5,0.3,0.3,1,0.81,0.86742884,0.26923076923076944,0.5580183,7.075331517651393,6.487044,21.346153846153847,0.6206896551724138,0.6923076923076923,0.6545454545454545
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,1,0.88,0.9118179,0.5384615384615385,0.70600796,5.86158066504747,4.4601364,17.384615384615383,0.7333333333333333,0.8461538461538461,0.7857142857142856
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,1,0.88,0.9462958,0.5384615384615385,0.8209545,5.0841777174441996,3.190558,18.307692307692307,0.71875,0.8846153846153846,0.7931034482758621
entropy,N/A,rrg,0.8,0.3,0.3,1,0.88,0.9821247,0.5384615384615385,0.94040513,3.74557565986695,1.8662055,17.23076923076923,0.7058823529411765,0.9230769230769231,0.8000000000000002
entropy,N/A,rrg,0.9,0.3,0.3,1,0.93,0.9846075,0.730769230769231,0.94868267,2.460764006441201,1.5018038,15.5,0.7878787878787878,1.0,0.8813559322033898
entropy,N/A,rrg,1.0,0.3,0.3,1,0.99,0.975424,0.9615384615384615,0.91806555,1.49448483074886,1.7664628,13.615384615384615,0.9629629629629629,1.0,0.9811320754716981
entropy,N/A,rrg,0.0,0.3,0.3,2,0.72,0.7000528,0.0,0.0,17.672054798106757,20.902515,56.107142857142854,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,2,0.72,0.73003,0.0,0.0999416,14.470092462343148,16.931667,47.5,0.5,0.10714285714285714,0.17647058823529413
entropy,N/A,rrg,0.2,0.3,0.3,2,0.73,0.7582523,0.03571428571428574,0.19403256,13.228837706216932,14.221157,43.107142857142854,0.5333333333333333,0.2857142857142857,0.37209302325581395
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,2,0.75,0.7934837,0.10714285714285723,0.31149107,11.855653795887049,12.553265,36.25,0.5882352941176471,0.35714285714285715,0.4444444444444445
entropy,N/A,rrg,0.4,0.3,0.3,2,0.74,0.83228225,0.07142857142857148,0.44084242,9.568026360418655,10.066998,30.642857142857142,0.5384615384615384,0.5,0.5185185185185186
entropy,N/A,rrg,0.5,0.3,0.3,2,0.77,0.8694099,0.17857142857142871,0.5646231,6.6807696444724085,7.380511,25.392857142857142,0.5862068965517241,0.6071428571428571,0.5964912280701754
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,2,0.81,0.8970027,0.3214285714285717,0.6566152,5.904992910281953,6.2075586,22.178571428571427,0.6551724137931034,0.6785714285714286,0.6666666666666666
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,2,0.84,0.92455864,0.4285714285714285,0.74848455,3.575622571119219,5.023435,18.785714285714285,0.6578947368421053,0.8928571428571429,0.7575757575757577
entropy,N/A,rrg,0.8,0.3,0.3,2,0.87,0.9656799,0.5357142857142857,0.88557947,2.7099511658984046,2.7621744,17.785714285714285,0.6923076923076923,0.9642857142857143,0.8059701492537313
entropy,N/A,rrg,0.9,0.3,0.3,2,0.94,0.97333026,0.7857142857142856,0.9110852,1.995682160720797,2.3115118,16.642857142857142,0.8235294117647058,1.0,0.9032258064516129
entropy,N/A,rrg,1.0,0.3,0.3,2,0.97,0.97651917,0.8928571428571428,0.9217168,1.4763384880476784,1.7784935,14.678571428571429,0.9032258064516129,1.0,0.9491525423728813
entropy,N/A,rrg,0.0,0.3,0.3,3,0.71,0.7000528,0.0,0.0,16.487847493117414,20.76493,46.0,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,3,0.71,0.73999566,0.0,0.1331663,13.356545382881189,15.996446,33.0,0.5,0.1724137931034483,0.25641025641025644
entropy,N/A,rrg,0.2,0.3,0.3,3,0.75,0.7732778,0.13793103448275873,0.24412636,11.064015914646127,13.439062,36.13793103448276,0.6428571428571429,0.3103448275862069,0.4186046511627907
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,3,0.72,0.7959682,0.03448275862068968,0.3197742,9.139889340474546,11.284982,31.137931034482758,0.5217391304347826,0.41379310344827586,0.4615384615384615
entropy,N/A,rrg,0.4,0.3,0.3,3,0.77,0.8356193,0.2068965517241381,0.45196778,8.652528696101355,9.390796,27.586206896551722,0.6153846153846154,0.5517241379310345,0.5818181818181819
entropy,N/A,rrg,0.5,0.3,0.3,3,0.81,0.8741412,0.3448275862068968,0.5803969,7.417988120670551,7.441571,22.79310344827586,0.6666666666666666,0.6896551724137931,0.6779661016949153
