method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
entropy,N/A,rrg,0.0,0.1,0.3,0,0.8933333333333333,0.900001,0.0,0.0,25.953195867205345,15.68297,126.78125,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.1,0.3,0,0.9066666666666666,0.8869908,0.12499999999999974,-0.13010332,18.70241242231589,15.5582485,114.34375,0.8333333333333334,0.15625,0.2631578947368421
entropy,N/A,rrg,0.2,0.1,0.3,0,0.9133333333333333,0.89428914,0.18750000000000014,-0.0571191,14.499297615530613,13.006855,84.46875,0.7142857142857143,0.3125,0.43478260869565216
entropy,N/A,rrg,0.30000000000000004,0.1,0.3,0,0.9033333333333333,0.903316,0.09375000000000007,0.033150643,11.758691131987005,10.414737,62.28125,0.5555555555555556,0.46875,0.5084745762711864
entropy,N/A,rrg,0.4,0.1,0.3,0,0.9,0.91609764,0.06250000000000039,0.16096811,9.82900909432132,8.618121,49.03125,0.5277777777777778,0.59375,0.5588235294117648
entropy,N/A,rrg,0.5,0.1,0.3,0,0.8866666666666667,0.92988575,-0.06249999999999935,0.2988505,7.656687596096873,6.835304,38.5625,0.4772727272727273,0.65625,0.5526315789473685
entropy,N/A,rrg,0.6000000000000001,0.1,0.3,0,0.8966666666666666,0.9455837,0.031249999999999674,0.45583162,7.188379232427142,4.7341285,30.78125,0.5098039215686274,0.8125,0.6265060240963856
entropy,N/A,rrg,0.7000000000000001,0.1,0.3,0,0.91,0.96146005,0.15625000000000044,0.6145967,5.714817974934567,3.5594585,23.25,0.5471698113207547,0.90625,0.6823529411764705
entropy,N/A,rrg,0.8,0.1,0.3,0,0.93,0.9706253,0.3437500000000006,0.7062499,5.012718563622519,2.4846075,21.0625,0.6122448979591837,0.9375,0.7407407407407408
entropy,N/A,rrg,0.9,0.1,0.3,0,0.9566666666666667,0.977666,0.5937500000000001,0.776658,3.901729249329495,1.575638,18.53125,0.7209302325581395,0.96875,0.8266666666666667
entropy,N/A,rrg,1.0,0.1,0.3,0,0.9933333333333333,0.9793756,0.9374999999999996,0.793754,1.763202856555891,1.7832259,16.84375,0.9411764705882353,1.0,0.9696969696969697
entropy,N/A,rrg,0.0,0.2,0.3,0,0.81,0.8000143,0.0,0.0,21.60192719326203,20.308975,141.01754385964912,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.2,0.3,0,0.84,0.8075418,0.15789473684210487,0.037640046,17.291556783880417,18.173054,110.49122807017544,0.9090909090909091,0.17543859649122806,0.2941176470588235
entropy,N/A,rrg,0.2,0.2,0.3,0,0.8366666666666667,0.825486,0.14035087719298223,0.12736756,14.364808471776456,15.396229,87.01754385964912,0.7,0.24561403508771928,0.3636363636363636
entropy,N/A,rrg,0.30000000000000004,0.2,0.3,0,0.8866666666666667,0.8388151,0.40350877192982465,0.19401777,11.57713330332013,13.314092,63.87719298245614,0.7948717948717948,0.543859649122807,0.6458333333333333
entropy,N/A,rrg,0.4,0.2,0.3,0,0.88,0.86099535,0.3684210526315788,0.304927,10.521368395570684,11.279852,52.14035087719298,0.7333333333333333,0.5789473684210527,0.6470588235294117
entropy,N/A,rrg,0.5,0.2,0.3,0,0.8733333333333333,0.8910816,0.3333333333333329,0.45536888,9.135026539711637,8.439968,48.578947368421055,0.6727272727272727,0.6491228070175439,0.6607142857142858
entropy,N/A,rrg,0.6000000000000001,0.2,0.3,0,0.9,0.91333884,0.47368421052631576,0.5666632,8.16542713998501,6.4259434,40.19298245614035,0.7288135593220338,0.7543859649122807,0.7413793103448276
entropy,N/A,rrg,0.7000000000000001,0.2,0.3,0,0.9166666666666666,0.9388246,0.5614035087719295,0.6941011,6.991716674315412,5.1176333,34.771929824561404,0.75,0.8421052631578947,0.7933884297520661
entropy,N/A,rrg,0.8,0.2,0.3,0,0.9366666666666666,0.95818746,0.6666666666666665,0.79092234,5.785790034620859,3.198485,33.87719298245614,0.8064516129032258,0.8771929824561403,0.8403361344537815
entropy,N/A,rrg,0.9,0.2,0.3,0,0.95,0.9766341,0.7368421052631576,0.8831621,4.1205748915098726,1.6346673,31.92982456140351,0.828125,0.9298245614035088,0.8760330578512396
entropy,N/A,rrg,1.0,0.2,0.3,0,0.98,0.979275,0.894736842105263,0.89636755,1.8136247871760112,1.5484765,29.140350877192983,0.9047619047619048,1.0,0.9500000000000001
entropy,N/A,rrg,0.0,0.3,0.3,0,0.6866666666666666,0.7000529,0.0,0.0,18.52099529714302,20.712723,154.09574468085106,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,0,0.74,0.7303679,0.17021276595744683,0.10106777,17.37417609597438,19.351723,136.04255319148936,1.0,0.1702127659574468,0.2909090909090909
entropy,N/A,rrg,0.2,0.3,0.3,0,0.7633333333333333,0.75227183,0.24468085106382975,0.17409375,13.955036094661125,17.140352,111.20212765957447,0.7804878048780488,0.3404255319148936,0.47407407407407404
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.7733333333333333,0.77500135,0.2765957446808511,0.24987218,10.983897286334528,15.223974,90.92553191489361,0.7096774193548387,0.46808510638297873,0.5641025641025641
entropy,N/A,rrg,0.4,0.3,0.3,0,0.8066666666666666,0.814237,0.38297872340425526,0.38068074,10.029937438587377,12.7308855,81.06382978723404,0.7432432432432432,0.5851063829787234,0.6547619047619048
entropy,N/A,rrg,0.5,0.3,0.3,0,0.8333333333333334,0.8530844,0.4680851063829789,0.5101949,9.005713437274599,9.72184,71.15957446808511,0.7682926829268293,0.6702127659574468,0.7159090909090909
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.8333333333333334,0.88526446,0.4680851063829789,0.6174807,7.842030034850529,7.6547403,63.37234042553192,0.7391304347826086,0.723404255319149,0.7311827956989247
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.8733333333333333,0.9214135,0.5957446808510637,0.7379987,6.616651898882555,5.860446,55.287234042553195,0.7641509433962265,0.8617021276595744,0.8099999999999999
entropy,N/A,rrg,0.8,0.3,0.3,0,0.9133333333333333,0.94896954,0.723404255319149,0.8298685,4.747741045588992,3.8334563,50.840425531914896,0.8148148148148148,0.9361702127659575,0.8712871287128713
entropy,N/A,rrg,0.9,0.3,0.3,0,0.9466666666666667,0.964987,0.8297872340425532,0.88326937,3.2872366033035525,2.582439,49.212765957446805,0.8679245283018868,0.9787234042553191,0.9199999999999999
entropy,N/A,rrg,1.0,0.3,0.3,0,0.9833333333333333,0.98009545,0.9468085106382977,0.93363976,1.5932283055617131,1.6655548,47.6063829787234,0.9494949494949495,1.0,0.9740932642487047
entropy,N/A,rrg,0.0,0.4,0.3,0,0.56,0.60007733,0.0,0.0,12.690161291251282,18.828917,145.68939393939394,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.4,0.3,0,0.63,0.63884133,0.159090909090909,0.09692874,11.88436840683967,17.898476,124.79545454545455,0.8387096774193549,0.19696969696969696,0.31901840490797545
entropy,N/A,rrg,0.2,0.4,0.3,0,0.6866666666666666,0.6785946,0.28787878787878773,0.1963311,10.478444876455926,16.461046,109.75757575757575,0.8275862068965517,0.36363636363636365,0.5052631578947369
entropy,N/A,rrg,0.30000000000000004,0.4,0.3,0,0.7466666666666667,0.7205743,0.42424242424242425,0.30130073,9.2429853759069,14.921306,95.26515151515152,0.8111111111111111,0.553030303030303,0.6576576576576576
entropy,N/A,rrg,0.4,0.4,0.3,0,0.77,0.77067375,0.47727272727272724,0.42657351,7.866830948414954,12.576852,88.14393939393939,0.7837837837837838,0.6590909090909091,0.7160493827160493
entropy,N/A,rrg,0.5,0.4,0.3,0,0.7866666666666666,0.80920255,0.515151515151515,0.5229142,6.668670670149557,10.64092,83.21212121212122,0.7786885245901639,0.7196969696969697,0.7480314960629921
entropy,N/A,rrg,0.6000000000000001,0.4,0.3,0,0.8333333333333334,0.85349566,0.6212121212121212,0.6336683,5.501715645155216,8.967113,77.14393939393939,0.7971014492753623,0.8333333333333334,0.8148148148148148
entropy,N/A,rrg,0.7000000000000001,0.4,0.3,0,0.8766666666666667,0.89154524,0.7196969696969697,0.72881067,5.136090659516741,7.1688304,72.02272727272727,0.8275862068965517,0.9090909090909091,0.8664259927797834
entropy,N/A,rrg,0.8,0.4,0.3,0,0.8966666666666666,0.9285294,0.765151515151515,0.8212889,4.237183317341137,4.789802,71.28030303030303,0.8482758620689655,0.9318181818181818,0.8880866425992779
entropy,N/A,rrg,0.9,0.4,0.3,0,0.94,0.95417875,0.8636363636363635,0.88542473,2.7562600467015375,3.0824342,67.17424242424242,0.8904109589041096,0.9848484848484849,0.935251798561151
entropy,N/A,rrg,1.0,0.4,0.3,0,0.9866666666666667,0.9798128,0.9696969696969697,0.94952226,1.8577710779933037,1.6124094,66.61363636363636,0.9705882352941176,1.0,0.9850746268656716
entropy,N/A,rrg,0.0,0.1,0.3,1,0.8966666666666666,0.900001,0.0,0.0,24.820344825733955,15.660249,116.41935483870968,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.1,0.3,1,0.9166666666666666,0.88863665,0.19354838709677427,-0.11364453,18.850707524287714,15.425337,122.03225806451613,0.875,0.22580645161290322,0.358974358974359
entropy,N/A,rrg,0.2,0.1,0.3,1,0.9166666666666666,0.9001567,0.19354838709677427,0.0015568887,16.81267742060085,12.927145,76.61290322580645,0.65,0.41935483870967744,0.5098039215686274
entropy,N/A,rrg,0.30000000000000004,0.1,0.3,1,0.9233333333333333,0.9048115,0.2580645161290327,0.048105597,13.451928252583338,10.964235,55.193548387096776,0.6818181818181818,0.4838709677419355,0.5660377358490567
entropy,N/A,rrg,0.4,0.1,0.3,1,0.9366666666666666,0.91007966,0.38709677419354854,0.100787684,9.865951176312825,9.164807,33.54838709677419,0.6875,0.7096774193548387,0.6984126984126984
entropy,N/A,rrg,0.5,0.1,0.3,1,0.92,0.9361263,0.22580645161290402,0.3612566,10.048691170727631,5.996159,31.677419354838708,0.5813953488372093,0.8064516129032258,0.6756756756756758
entropy,N/A,rrg,0.6000000000000001,0.1,0.3,1,0.9333333333333333,0.9469161,0.3548387096774198,0.4691558,7.515722649041114,4.470606,18.967741935483872,0.6122448979591837,0.967741935483871,0.75
