method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
entropy,N/A,rrg,0.0,0.3,0.3,0,0.6566666666666666,0.7000529,0.0,0.0,19.12386771361151,20.639524,140.3106796116505,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,0,0.7,0.7250087,0.1262135922330097,0.08320071,17.37871133831963,19.19319,128.3398058252427,0.9333333333333333,0.13592233009708737,0.23728813559322035
entropy,N/A,rrg,0.2,0.3,0.3,0,0.7433333333333333,0.74488854,0.2524271844660194,0.14947845,14.509770143591115,17.37674,104.64077669902913,0.8611111111111112,0.30097087378640774,0.4460431654676259
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.76,0.77331674,0.3009708737864079,0.24425583,12.593892865204937,15.133704,91.2621359223301,0.7627118644067796,0.4368932038834951,0.5555555555555555
entropy,N/A,rrg,0.4,0.3,0.3,0,0.77,0.81094193,0.3300970873786409,0.36969528,10.99023759223622,12.806412,79.09708737864078,0.7361111111111112,0.5145631067961165,0.6057142857142858
entropy,N/A,rrg,0.5,0.3,0.3,0,0.8133333333333334,0.8441479,0.4563106796116506,0.48040143,9.218827542551729,10.572533,72.2621359223301,0.7764705882352941,0.6407766990291263,0.7021276595744681
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.8333333333333334,0.87404406,0.5145631067961167,0.5800728,7.874415994115358,8.6209,66.01941747572816,0.7623762376237624,0.7475728155339806,0.7549019607843138
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.87,0.9079724,0.6213592233009709,0.6931872,7.013951007434612,6.334746,59.786407766990294,0.8018867924528302,0.8252427184466019,0.8133971291866029
entropy,N/A,rrg,0.8,0.3,0.3,0,0.9233333333333333,0.9351621,0.7766990291262137,0.78383565,5.260626697121463,4.3160863,55.25242718446602,0.8703703703703703,0.912621359223301,0.8909952606635072
entropy,N/A,rrg,0.9,0.3,0.3,0,0.95,0.96045643,0.8543689320388348,0.86816484,3.2082786513239188,2.604166,53.16504854368932,0.8928571428571429,0.970873786407767,0.930232558139535
entropy,N/A,rrg,1.0,0.3,0.3,0,0.9866666666666667,0.9800248,0.9611650485436894,0.9334043,1.3212733522625664,1.4723346,52.13592233009709,0.9626168224299065,1.0,0.9809523809523809
entropy,N/A,rrg,0.0,0.3,0.3,1,0.66,0.7000529,0.0,0.0,18.256726127341306,20.509586,152.22549019607843,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,1,0.6966666666666667,0.72347933,0.10784313725490186,0.07810182,15.882166032821802,19.034557,115.26470588235294,0.8235294117647058,0.13725490196078433,0.23529411764705885
entropy,N/A,rrg,0.2,0.3,0.3,1,0.74,0.7464664,0.23529411764705874,0.1547389,13.45660516237736,17.123857,98.74509803921569,0.9,0.2647058823529412,0.40909090909090906
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,1,0.7866666666666666,0.7788158,0.372549019607843,0.26258928,12.120950156348147,15.219339,86.03921568627452,0.8958333333333334,0.4215686274509804,0.5733333333333334
entropy,N/A,rrg,0.4,0.3,0.3,1,0.8,0.81161755,0.41176470588235303,0.37194774,10.338959022069352,12.539422,78.0,0.7916666666666666,0.5588235294117647,0.6551724137931034
entropy,N/A,rrg,0.5,0.3,0.3,1,0.85,0.8521566,0.5588235294117646,0.50710166,8.979981073378156,10.283195,67.0,0.8352941176470589,0.696078431372549,0.7593582887700535
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,1,0.8666666666666667,0.883597,0.607843137254902,0.6119216,8.002392597202626,8.098974,62.294117647058826,0.8229166666666666,0.7745098039215687,0.797979797979798
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,1,0.8766666666666667,0.91178966,0.6372549019607844,0.70591366,6.292328500682202,6.061541,58.35294117647059,0.8095238095238095,0.8333333333333334,0.8212560386473431
entropy,N/A,rrg,0.8,0.3,0.3,1,0.9033333333333333,0.9362668,0.7156862745098038,0.78751844,5.265487876417296,4.534331,54.950980392156865,0.8411214953271028,0.8823529411764706,0.861244019138756
entropy,N/A,rrg,0.9,0.3,0.3,1,0.9433333333333334,0.9634797,0.8333333333333334,0.87824416,3.8534278729497413,2.8383186,53.1764705882353,0.8899082568807339,0.9509803921568627,0.9194312796208531
entropy,N/A,rrg,1.0,0.3,0.3,1,0.9833333333333333,0.9818294,0.9509803921568626,0.93942064,1.4314352595853763,1.7187872,51.61764705882353,0.9532710280373832,1.0,0.9760765550239235
entropy,N/A,rrg,0.0,0.3,0.3,2,0.6966666666666667,0.7000266,0.0,0.0,17.215305788538323,20.330538,156.12087912087912,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,2,0.72,0.7284138,0.07692307692307687,0.09463254,15.301289074427762,18.427197,115.02197802197803,0.6842105263157895,0.14285714285714285,0.23636363636363633
entropy,N/A,rrg,0.2,0.3,0.3,2,0.7566666666666667,0.75490725,0.19780219780219796,0.1829518,12.784883171741017,16.470293,91.86813186813187,0.7647058823529411,0.2857142857142857,0.41600000000000004
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,2,0.79,0.7830409,0.3076923076923078,0.27673888,10.595107156118667,14.2507515,76.7032967032967,0.78,0.42857142857142855,0.5531914893617021
entropy,N/A,rrg,0.4,0.3,0.3,2,0.82,0.8155582,0.4065934065934064,0.38513952,8.631280781160973,12.389224,66.03296703296704,0.7681159420289855,0.5824175824175825,0.6625
entropy,N/A,rrg,0.5,0.3,0.3,2,0.86,0.8489645,0.5384615384615384,0.49650377,8.143216948512247,10.476519,61.05494505494506,0.8181818181818182,0.6923076923076923,0.7500000000000001
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,2,0.8966666666666666,0.8797363,0.6593406593406592,0.5990855,5.9805147547110975,8.422955,53.40659340659341,0.8333333333333334,0.8241758241758241,0.8287292817679559
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,2,0.9066666666666666,0.9148362,0.6923076923076922,0.7160956,5.35887792570154,6.274288,51.54945054945055,0.8315789473684211,0.8681318681318682,0.849462365591398
entropy,N/A,rrg,0.8,0.3,0.3,2,0.9266666666666666,0.94003844,0.7582417582417582,0.80011046,5.0172811121741,4.7772946,49.20879120879121,0.8709677419354839,0.8901098901098901,0.8804347826086956
entropy,N/A,rrg,0.9,0.3,0.3,2,0.95,0.96391803,0.835164835164835,0.8797161,3.4001076753446586,2.637752,47.46153846153846,0.8958333333333334,0.945054945054945,0.9197860962566845
entropy,N/A,rrg,1.0,0.3,0.3,2,0.9933333333333333,0.9824644,0.9780219780219779,0.94154274,1.282664825466152,1.3665824,46.065934065934066,0.978494623655914,1.0,0.9891304347826088
