method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
entropy,N/A,rrg,0.0,0.1,0.3,0,0.8866666666666667,0.900001,0.0,0.0,27.3582802562134,15.720251,148.2058823529412,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.1,0.3,0,0.8966666666666666,0.90305585,0.08823529411764619,0.030548874,21.51745424989135,13.981164,121.88235294117646,1.0,0.08823529411764706,0.1621621621621622
entropy,N/A,rrg,0.2,0.1,0.3,0,0.9133333333333333,0.90638745,0.2352941176470585,0.06386522,14.181572594060148,12.151841,108.55882352941177,1.0,0.23529411764705882,0.38095238095238093
entropy,N/A,rrg,0.30000000000000004,0.1,0.3,0,0.92,0.91290396,0.2941176470588236,0.12903103,8.850227248567128,9.797868,87.05882352941177,0.9166666666666666,0.3235294117647059,0.4782608695652174
entropy,N/A,rrg,0.4,0.1,0.3,0,0.94,0.92172086,0.470588235294117,0.21720088,6.375241069199071,7.501061,65.1470588235294,0.9444444444444444,0.5,0.6538461538461539
entropy,N/A,rrg,0.5,0.1,0.3,0,0.9433333333333334,0.9281831,0.5,0.2818237,4.607710390919416,6.116043,48.470588235294116,0.9047619047619048,0.5588235294117647,0.6909090909090908
entropy,N/A,rrg,0.6000000000000001,0.1,0.3,0,0.9566666666666667,0.939421,0.6176470588235292,0.394204,3.7941010477561727,4.9214687,43.85294117647059,0.9565217391304348,0.6470588235294118,0.7719298245614036
entropy,N/A,rrg,0.7000000000000001,0.1,0.3,0,0.9666666666666667,0.9506838,0.7058823529411764,0.50683284,3.321348493687449,4.1609683,29.058823529411764,0.9615384615384616,0.7352941176470589,0.8333333333333333
entropy,N/A,rrg,0.8,0.1,0.3,0,0.9666666666666667,0.961154,0.7058823529411764,0.611536,2.5712052339816553,3.2506692,25.941176470588236,0.9615384615384616,0.7352941176470589,0.8333333333333333
entropy,N/A,rrg,0.9,0.1,0.3,0,0.9866666666666667,0.971539,0.8823529411764708,0.7153874,2.0116037225129313,2.64254,19.91176470588235,0.96875,0.9117647058823529,0.9393939393939394
entropy,N/A,rrg,1.0,0.1,0.3,0,0.9966666666666667,0.9816552,0.970588235294118,0.81655,1.5990728004085275,2.0764706,17.529411764705884,0.9714285714285714,1.0,0.9855072463768115
entropy,N/A,rrg,0.0,0.2,0.3,0,0.82,0.8000143,0.0,0.0,20.17014840737849,20.216028,161.5185185185185,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.2,0.3,0,0.8366666666666667,0.81306654,0.09259259259259285,0.0652658,16.52071643023548,17.072334,128.35185185185185,1.0,0.09259259259259259,0.1694915254237288
entropy,N/A,rrg,0.2,0.2,0.3,0,0.8566666666666667,0.82639617,0.20370370370370403,0.1319187,11.533334688073582,13.563968,105.12962962962963,1.0,0.2037037037037037,0.3384615384615384
entropy,N/A,rrg,0.30000000000000004,0.2,0.3,0,0.88,0.8430483,0.33333333333333354,0.2151852,7.883814846130804,10.30124,82.70370370370371,1.0,0.3333333333333333,0.5
entropy,N/A,rrg,0.4,0.2,0.3,0,0.89,0.8584815,0.3888888888888891,0.29235697,5.570143985182144,7.3501644,73.72222222222223,0.9565217391304348,0.4074074074074074,0.5714285714285714
entropy,N/A,rrg,0.5,0.2,0.3,0,0.8966666666666666,0.8768621,0.42592592592592576,0.38426647,4.649774407624482,5.7830753,69.96296296296296,0.9259259259259259,0.46296296296296297,0.617283950617284
entropy,N/A,rrg,0.6000000000000001,0.2,0.3,0,0.9166666666666666,0.8992255,0.537037037037037,0.4960913,3.7349107423483088,4.473747,56.425925925925924,0.967741935483871,0.5555555555555556,0.7058823529411765
entropy,N/A,rrg,0.7000000000000001,0.2,0.3,0,0.9466666666666667,0.9193763,0.7037037037037037,0.5968527,2.772615196602564,3.5562394,34.666666666666664,0.9523809523809523,0.7407407407407407,0.8333333333333334
entropy,N/A,rrg,0.8,0.2,0.3,0,0.9633333333333334,0.9398101,0.7962962962962966,0.69902897,2.277003199314617,2.8285954,31.77777777777778,0.9574468085106383,0.8333333333333334,0.8910891089108911
entropy,N/A,rrg,0.9,0.2,0.3,0,0.9833333333333333,0.9603627,0.9074074074074071,0.8017992,1.687057672498323,2.1486192,28.425925925925927,0.9622641509433962,0.9444444444444444,0.9532710280373832
entropy,N/A,rrg,1.0,0.2,0.3,0,0.9933333333333333,0.9802833,0.9629629629629627,0.90140957,1.210462073984863,1.5473391,27.555555555555557,0.9642857142857143,1.0,0.9818181818181818
entropy,N/A,rrg,0.0,0.3,0.3,0,0.73,0.7000529,0.0,0.0,16.474722854550837,20.492289,145.30864197530863,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,0,0.75,0.723355,0.07407407407407414,0.0776873,13.642530449657489,17.345318,127.72839506172839,1.0,0.07407407407407407,0.13793103448275862
entropy,N/A,rrg,0.2,0.3,0.3,0,0.7833333333333333,0.7477931,0.19753086419753088,0.15916194,9.337510076395455,13.2224,118.23456790123457,1.0,0.19753086419753085,0.32989690721649484
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.8066666666666666,0.7741636,0.2839506172839506,0.24707921,6.798808616899145,10.104777,94.8641975308642,1.0,0.2839506172839506,0.4423076923076923
entropy,N/A,rrg,0.4,0.3,0.3,0,0.83,0.8012785,0.37037037037037024,0.33747804,4.998191561953825,6.8751936,78.85185185185185,0.96875,0.38271604938271603,0.5486725663716814
entropy,N/A,rrg,0.5,0.3,0.3,0,0.86,0.8282383,0.48148148148148145,0.42736003,4.274958031282902,5.273983,71.50617283950618,0.975609756097561,0.49382716049382713,0.6557377049180327
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.89,0.8596707,0.5925925925925927,0.5321531,3.673844881745813,4.2797723,56.81481481481482,0.98,0.6049382716049383,0.7480916030534351
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.91,0.8915967,0.6666666666666669,0.6385918,3.0437893371423868,3.4145305,51.46913580246913,0.9821428571428571,0.6790123456790124,0.8029197080291971
entropy,N/A,rrg,0.8,0.3,0.3,0,0.9566666666666667,0.9216923,0.8395061728395061,0.7389283,2.368355211408033,2.7113051,45.46913580246913,0.9857142857142858,0.8518518518518519,0.9139072847682119
entropy,N/A,rrg,0.9,0.3,0.3,0,0.97,0.94923043,0.8888888888888888,0.83073825,1.9854441077732645,2.2325306,43.23456790123457,0.9864864864864865,0.9012345679012346,0.9419354838709678
entropy,N/A,rrg,1.0,0.3,0.3,0,0.9966666666666667,0.9790742,0.9876543209876545,0.93023497,1.6853365956185509,1.8042461,41.04938271604938,0.9878048780487805,1.0,0.9938650306748467
entropy,N/A,rrg,0.0,0.4,0.3,0,0.6033333333333334,0.6000774,0.0,0.0,13.491488992625518,19.089546,145.50420168067228,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.4,0.3,0,0.6533333333333333,0.63589185,0.12605042016806708,0.08955349,10.687790131506937,15.248107,131.3781512605042,1.0,0.12605042016806722,0.22388059701492538
entropy,N/A,rrg,0.2,0.4,0.3,0,0.7,0.6714091,0.2436974789915964,0.17836371,7.675110003231507,11.220427,122.77310924369748,1.0,0.24369747899159663,0.3918918918918919
entropy,N/A,rrg,0.30000000000000004,0.4,0.3,0,0.7366666666666667,0.7099996,0.3361344537815126,0.27485874,4.686337551086413,6.767967,105.94117647058823,0.9347826086956522,0.36134453781512604,0.5212121212121212
entropy,N/A,rrg,0.4,0.4,0.3,0,0.7833333333333333,0.74951315,0.4537815126050419,0.3736617,3.607010429614144,5.088064,92.92436974789916,0.95,0.4789915966386555,0.6368715083798883
entropy,N/A,rrg,0.5,0.4,0.3,0,0.8166666666666667,0.79143447,0.53781512605042,0.47848526,3.157252589581971,4.066061,83.17647058823529,0.9571428571428572,0.5630252100840336,0.7089947089947091
