method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
sequential,ov,rrg,0.1,0.3,0.3,0,0.9230769230769231,0.72307813,0.5000000000000003,0.07691926,4.102039949378311,6.691215,6.25,1.0,0.5,0.6666666666666666
sequential,ov,rrg,0.3,0.3,0.3,0,1.0,0.7886998,1.0,0.29566002,2.3220481076150086,5.15498,2.5,1.0,1.0,1.0
sequential,ov,rrg,0.6,0.3,0.3,0,1.0,0.8573408,1.0,0.5244653,1.402559527718205,3.4710088,2.5,1.0,1.0,1.0
sequential,ov,rrg,1.0,0.3,0.3,0,1.0,0.96481353,1.0,0.88271075,0.42028483920421,0.4458184,2.5,1.0,1.0,1.0
sequential,mov,rrg,0.1,0.3,0.3,0,0.8461538461538461,0.7317118,0.0,0.105698414,4.897022508043175,6.737236,7.0,0.0,0.0,0.0
sequential,mov,rrg,0.3,0.3,0.3,0,0.8076923076923077,0.8196888,-0.24999999999999983,0.39895755,4.620004695114327,4.4224305,8.0,0.3333333333333333,0.25,0.28571428571428575
sequential,mov,rrg,0.6,0.3,0.3,0,0.9230769230769231,0.9096062,0.5000000000000003,0.6986848,2.700620131236233,2.2526722,3.25,0.6666666666666666,1.0,0.8
sequential,mov,rrg,1.0,0.3,0.3,0,1.0,0.96481353,1.0,0.88271075,0.42028483920421,0.4458184,2.5,1.0,1.0,1.0
sequential,c_mov,rrg,0.1,0.3,0.3,0,0.9230769230769231,0.73461586,0.5000000000000003,0.115378685,4.076516549540226,6.424715,5.75,1.0,0.5,0.6666666666666666
sequential,c_mov,rrg,0.3,0.3,0.3,0,0.8846153846153846,0.787033,0.24999999999999983,0.29010403,4.309065159128213,4.7557125,2.5,0.5714285714285714,1.0,0.7272727272727273
sequential,c_mov,rrg,0.6,0.3,0.3,0,0.9230769230769231,0.9186272,0.5000000000000003,0.72875506,2.679346752164155,1.9781953,2.5,0.6666666666666666,1.0,0.8
sequential,c_mov,rrg,1.0,0.3,0.3,0,1.0,0.96481353,1.0,0.88271075,0.42028483920421,0.4458184,2.5,1.0,1.0,1.0
sequential,ov,rrg,0.1,0.3,0.3,1,0.8461538461538461,0.7346153,0.33333333333333315,0.1153769,4.037203152360959,6.364894,12.166666666666666,1.0,0.3333333333333333,0.5
sequential,ov,rrg,0.3,0.3,0.3,1,0.8846153846153846,0.76116574,0.4999999999999998,0.20387903,2.2759381522069293,5.029835,6.666666666666667,0.8,0.6666666666666666,0.7272727272727272
sequential,ov,rrg,0.6,0.3,0.3,1,1.0,0.8299881,1.0,0.43328893,1.866819307156844,3.520228,3.5,1.0,1.0,1.0
sequential,ov,rrg,1.0,0.3,0.3,1,0.9615384615384616,0.9656711,0.8333333333333334,0.88556945,0.9504927847715108,0.22987162,3.5,0.8571428571428571,1.0,0.923076923076923
sequential,mov,rrg,0.1,0.3,0.3,1,0.8076923076923077,0.7272295,0.16666666666666657,0.09075719,4.745274930214408,6.667997,14.666666666666666,1.0,0.16666666666666666,0.2857142857142857
sequential,mov,rrg,0.3,0.3,0.3,1,0.7307692307692307,0.8195334,-0.16666666666666707,0.3984396,4.240102245361561,4.123524,11.333333333333334,0.4,0.3333333333333333,0.3636363636363636
sequential,mov,rrg,0.6,0.3,0.3,1,0.8461538461538461,0.9137347,0.33333333333333315,0.71244645,1.9425793848241377,1.8298289,5.833333333333333,0.625,0.8333333333333334,0.7142857142857143
sequential,mov,rrg,1.0,0.3,0.3,1,0.9615384615384616,0.9656711,0.8333333333333334,0.88556945,0.9504927847715108,0.22987162,3.5,0.8571428571428571,1.0,0.923076923076923
sequential,c_mov,rrg,0.1,0.3,0.3,1,0.8461538461538461,0.7030393,0.33333333333333315,0.010122544,4.155914275789076,6.8635716,7.666666666666667,0.75,0.5,0.6
sequential,c_mov,rrg,0.3,0.3,0.3,1,0.8461538461538461,0.7886394,0.33333333333333315,0.29545876,1.6679228586390429,4.553774,6.833333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
sequential,c_mov,rrg,0.6,0.3,0.3,1,0.8076923076923077,0.9108709,0.16666666666666657,0.7029005,2.5661854700251094,1.7358723,5.833333333333333,0.5714285714285714,0.6666666666666666,0.6153846153846153
sequential,c_mov,rrg,1.0,0.3,0.3,1,0.9615384615384616,0.9656711,0.8333333333333334,0.88556945,0.9504927847715108,0.22987162,3.5,0.8571428571428571,1.0,0.923076923076923
sequential,ov,rrg,0.1,0.3,0.3,2,0.9230769230769231,0.7310101,0.333333333333334,0.103359304,4.909697535897834,6.6417975,13.333333333333334,1.0,0.3333333333333333,0.5
sequential,ov,rrg,0.3,0.3,0.3,2,0.9230769230769231,0.8018247,0.333333333333334,0.33941,3.5156601413451862,5.068617,8.0,1.0,0.3333333333333333,0.5
sequential,ov,rrg,0.6,0.3,0.3,2,1.0,0.87032163,1.0,0.5677351,1.5754685589650572,2.9398727,2.0,1.0,1.0,1.0
sequential,ov,rrg,1.0,0.3,0.3,2,1.0,0.98128897,1.0,0.93762934,0.3482329201485668,0.6441078,2.0,1.0,1.0,1.0
sequential,mov,rrg,0.1,0.3,0.3,2,0.8461538461538461,0.74357927,-0.33333333333333304,0.14525697,6.919624200900623,6.3408284,14.666666666666666,0.0,0.0,0.0
sequential,mov,rrg,0.3,0.3,0.3,2,0.8846153846153846,0.81968725,0.0,0.3989524,5.108164652453069,4.647607,7.666666666666667,0.5,0.3333333333333333,0.4
sequential,mov,rrg,0.6,0.3,0.3,2,0.9230769230769231,0.9044533,0.333333333333334,0.68150824,3.2848417714325526,2.3806024,2.6666666666666665,0.6666666666666666,0.6666666666666666,0.6666666666666666
sequential,mov,rrg,1.0,0.3,0.3,2,1.0,0.98128897,1.0,0.93762934,0.3482329201485668,0.6441078,2.0,1.0,1.0,1.0
sequential,c_mov,rrg,0.1,0.3,0.3,2,0.8461538461538461,0.74253744,-0.33333333333333304,0.14178416,6.910279116542103,6.3225937,5.0,0.0,0.0,0.0
sequential,c_mov,rrg,0.3,0.3,0.3,2,0.8461538461538461,0.8025853,-0.33333333333333304,0.3419454,4.666158711484842,4.5371785,3.3333333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333
sequential,c_mov,rrg,0.6,0.3,0.3,2,0.9230769230769231,0.8971599,0.333333333333334,0.65719664,2.7229232373363144,2.4457211,2.3333333333333335,0.6,1.0,0.7499999999999999
sequential,c_mov,rrg,1.0,0.3,0.3,2,1.0,0.98128897,1.0,0.93762934,0.3482329201485668,0.6441078,2.0,1.0,1.0,1.0
