method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,rrg,0.0,0.05,0.3,0,0.95,0.949999,0.0,0.0,22.972614298032173,10.0270605,159.86666666666667,0.0,0.0,0.0
random,N/A,rrg,0.1,0.05,0.3,0,0.9366666666666666,0.9386653,-0.26666666666666594,-0.22666943,16.579156493709633,10.318617,140.8,0.16666666666666666,0.06666666666666667,0.09523809523809522
random,N/A,rrg,0.2,0.05,0.3,0,0.9366666666666666,0.9404955,-0.26666666666666594,-0.19006577,12.670526839418756,8.658561,75.6,0.375,0.4,0.38709677419354843
random,N/A,rrg,0.30000000000000004,0.05,0.3,0,0.9233333333333333,0.9525954,-0.5333333333333319,0.051927693,11.871194598066541,6.5430307,76.33333333333333,0.2777777777777778,0.3333333333333333,0.303030303030303
random,N/A,rrg,0.4,0.05,0.3,0,0.92,0.95500183,-0.5999999999999978,0.100055076,8.372644453433082,5.003892,41.13333333333333,0.3333333333333333,0.6,0.42857142857142855
random,N/A,rrg,0.5,0.05,0.3,0,0.9066666666666666,0.9625434,-0.8666666666666659,0.2508839,8.896481651669749,4.2103276,37.46666666666667,0.30303030303030304,0.6666666666666666,0.41666666666666663
random,N/A,rrg,0.6000000000000001,0.05,0.3,0,0.9366666666666666,0.9739627,-0.26666666666666594,0.47926515,7.110592561701844,2.9807618,18.933333333333334,0.42857142857142855,0.8,0.5581395348837209
random,N/A,rrg,0.7000000000000001,0.05,0.3,0,0.9466666666666667,0.97587025,-0.06666666666666593,0.5174149,6.695776719096879,2.780613,17.8,0.48,0.8,0.6
random,N/A,rrg,0.8,0.05,0.3,0,0.9733333333333334,0.98221743,0.4666666666666682,0.6443559,3.783778114816558,2.544299,11.933333333333334,0.6842105263157895,0.8666666666666667,0.7647058823529413
random,N/A,rrg,0.9,0.05,0.3,0,0.9833333333333333,0.9801708,0.666666666666666,0.60342383,2.500091715522917,2.0601332,8.066666666666666,0.75,1.0,0.8571428571428571
random,N/A,rrg,1.0,0.05,0.3,0,1.0,0.98381746,1.0,0.6763558,1.5574546065389894,1.8644295,8.0,1.0,1.0,1.0
random,N/A,rrg,0.0,0.2,0.3,0,0.7766666666666666,0.8000143,0.0,0.0,23.202742998819346,20.383932,138.50746268656715,0.0,0.0,0.0
random,N/A,rrg,0.1,0.2,0.3,0,0.7966666666666666,0.81564736,0.08955223880597021,0.07817083,18.531650594242954,16.734846,130.50746268656715,0.6875,0.16417910447761194,0.26506024096385544
random,N/A,rrg,0.2,0.2,0.3,0,0.77,0.8319407,-0.029850746268656404,0.1596434,13.996565046951016,13.661283,110.08955223880596,0.4642857142857143,0.19402985074626866,0.2736842105263158
random,N/A,rrg,0.30000000000000004,0.2,0.3,0,0.79,0.84586966,0.059701492537313806,0.22929314,12.949967542429803,11.318057,98.01492537313433,0.5625,0.26865671641791045,0.3636363636363636
random,N/A,rrg,0.4,0.2,0.3,0,0.83,0.8782812,0.23880597014925373,0.3913623,10.633747400975729,8.692674,71.3731343283582,0.6666666666666666,0.47761194029850745,0.5565217391304348
random,N/A,rrg,0.5,0.2,0.3,0,0.84,0.8857448,0.28358208955223885,0.42868316,9.147061329875044,7.481299,62.28358208955224,0.6862745098039216,0.5223880597014925,0.5932203389830508
random,N/A,rrg,0.6000000000000001,0.2,0.3,0,0.89,0.90212196,0.5074626865671643,0.51057476,6.092970724810677,6.1539297,49.35820895522388,0.7931034482758621,0.6865671641791045,0.736
random,N/A,rrg,0.7000000000000001,0.2,0.3,0,0.93,0.936716,0.6865671641791048,0.68355745,5.010643707376778,4.014131,40.43283582089552,0.8108108108108109,0.8955223880597015,0.851063829787234
random,N/A,rrg,0.8,0.2,0.3,0,0.92,0.9446204,0.6417910447761197,0.723082,3.7863700898108066,3.316986,40.44776119402985,0.8307692307692308,0.8059701492537313,0.8181818181818182
random,N/A,rrg,0.9,0.2,0.3,0,0.9466666666666667,0.965142,0.7611940298507462,0.8256976,2.3479118067317035,2.450872,36.52238805970149,0.8493150684931506,0.9253731343283582,0.8857142857142857
random,N/A,rrg,1.0,0.2,0.3,0,0.98,0.97484833,0.9104477611940298,0.87423265,1.7725401807730956,2.0033374,34.53731343283582,0.9178082191780822,1.0,0.9571428571428571
