method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,rrg,0.0,0.1,0.3,0,0.8833333333333333,0.900001,0.0,0.0,25.684754524292416,15.701713,155.4857142857143,0.0,0.0,0.0
random,N/A,rrg,0.1,0.1,0.3,0,0.8733333333333333,0.89648914,-0.08571428571428577,-0.035118807,19.11906802782363,13.098312,128.42857142857142,0.4,0.17142857142857143,0.24000000000000002
random,N/A,rrg,0.2,0.1,0.3,0,0.8866666666666667,0.8975513,0.028571428571429223,-0.024497155,14.498228202122666,12.193775,101.0,0.5454545454545454,0.17142857142857143,0.26086956521739124
random,N/A,rrg,0.30000000000000004,0.1,0.3,0,0.85,0.9164073,-0.2857142857142856,0.1640646,13.292663097806523,8.283164,88.0,0.32142857142857145,0.2571428571428571,0.2857142857142857
random,N/A,rrg,0.4,0.1,0.3,0,0.89,0.92416555,0.057142857142857495,0.24164796,9.556322137655235,6.9170465,62.05714285714286,0.5333333333333333,0.45714285714285713,0.4923076923076923
random,N/A,rrg,0.5,0.1,0.3,0,0.89,0.9429576,0.057142857142857495,0.42957017,10.003723051273994,5.3499994,55.05714285714286,0.5294117647058824,0.5142857142857142,0.5217391304347826
random,N/A,rrg,0.6000000000000001,0.1,0.3,0,0.92,0.9512274,0.3142857142857148,0.51226944,7.858909175822753,5.0741863,38.542857142857144,0.6571428571428571,0.6571428571428571,0.6571428571428571
random,N/A,rrg,0.7000000000000001,0.1,0.3,0,0.9166666666666666,0.9633781,0.2857142857142856,0.6337771,5.920944298833918,3.0770266,31.571428571428573,0.6190476190476191,0.7428571428571429,0.6753246753246753
random,N/A,rrg,0.8,0.1,0.3,0,0.9466666666666667,0.95756024,0.5428571428571429,0.57559824,3.5069916656212414,3.2998734,23.714285714285715,0.7567567567567568,0.8,0.7777777777777778
random,N/A,rrg,0.9,0.1,0.3,0,0.9666666666666667,0.9741225,0.7142857142857144,0.7412227,3.5436692787421253,2.1534965,21.0,0.8378378378378378,0.8857142857142857,0.8611111111111112
random,N/A,rrg,1.0,0.1,0.3,0,1.0,0.9811494,1.0,0.8114919,1.552539475515578,1.7465714,18.0,1.0,1.0,1.0
random,N/A,rrg,0.0,0.5,0.3,0,0.4633333333333333,0.5001018,0.0,0.0,8.486226459785195,16.448866,147.7888198757764,0.0,0.0,0.0
random,N/A,rrg,0.1,0.5,0.3,0,0.5,0.56227565,0.06832298136645966,0.12437301,7.371536312346125,14.2469015,136.6024844720497,0.6410256410256411,0.15527950310559005,0.25
random,N/A,rrg,0.2,0.5,0.3,0,0.5666666666666667,0.6174879,0.19254658385093168,0.23482002,5.9322703948251245,10.867794,120.74534161490683,0.7123287671232876,0.32298136645962733,0.4444444444444445
random,N/A,rrg,0.30000000000000004,0.5,0.3,0,0.6366666666666667,0.67610526,0.3229813664596275,0.3520786,5.316855953877944,9.531934,111.81987577639751,0.8023255813953488,0.42857142857142855,0.5587044534412956
