method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,rrg,0.0,0.3,0.3,0,0.7133333333333334,0.7000529,0.0,0.0,16.944865527728293,20.549932,145.93023255813952,0.0,0.0,0.0
random,N/A,rrg,0.1,0.3,0.3,0,0.7333333333333333,0.72515273,0.0697674418604648,0.08368081,12.428108088831193,16.446505,124.63953488372093,0.6071428571428571,0.19767441860465115,0.2982456140350877
random,N/A,rrg,0.2,0.3,0.3,0,0.71,0.7457878,-0.011627906976744457,0.1524765,10.751558633282954,13.491253,110.80232558139535,0.4878048780487805,0.23255813953488372,0.31496062992125984
random,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.7633333333333333,0.7907873,0.17441860465116257,0.30250123,8.818934121106139,10.747949,86.70930232558139,0.6363636363636364,0.4069767441860465,0.49645390070921985
random,N/A,rrg,0.4,0.3,0.3,0,0.81,0.8297295,0.3372093023255815,0.43233153,7.211379352920809,7.943714,76.34883720930233,0.7457627118644068,0.5116279069767442,0.6068965517241379
random,N/A,rrg,0.5,0.3,0.3,0,0.8266666666666667,0.8385493,0.3953488372093022,0.4617361,6.108810929839616,7.691237,67.72093023255815,0.717948717948718,0.6511627906976745,0.6829268292682927
random,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.8633333333333333,0.88121337,0.5232558139534882,0.6039747,4.0323792114830095,4.8124967,57.41860465116279,0.7848101265822784,0.7209302325581395,0.7515151515151515
random,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.8766666666666667,0.9059613,0.5697674418604652,0.6864823,4.258070310471203,4.690719,53.406976744186046,0.8266666666666667,0.7209302325581395,0.7701863354037267
random,N/A,rrg,0.8,0.3,0.3,0,0.91,0.9373641,0.6860465116279071,0.79117686,2.6974432503952155,2.9668603,48.30232558139535,0.8554216867469879,0.8255813953488372,0.8402366863905325
random,N/A,rrg,0.9,0.3,0.3,0,0.9533333333333334,0.94789064,0.8372093023255814,0.8262715,2.2850682798585704,2.6386871,44.74418604651163,0.9285714285714286,0.9069767441860465,0.9176470588235294
random,N/A,rrg,1.0,0.3,0.3,0,0.9866666666666667,0.97463757,0.9534883720930233,0.91544366,1.3391242267038115,1.9202518,43.53488372093023,0.9555555555555556,1.0,0.9772727272727273
random,N/A,rrg,0.0,0.3,0.3,1,0.6633333333333333,0.7000266,0.0,0.0,17.39482670110448,20.352278,128.03960396039605,0.0,0.0,0.0
random,N/A,rrg,0.1,0.3,0.3,1,0.7033333333333334,0.7320776,0.11881188118811892,0.10684622,14.047383657220006,16.019978,123.93069306930693,0.8333333333333334,0.1485148514851485,0.25210084033613445
random,N/A,rrg,0.2,0.3,0.3,1,0.7266666666666667,0.7544144,0.18811881188118817,0.18130875,10.784470289316003,13.461917,106.00990099009901,0.7317073170731707,0.297029702970297,0.4225352112676056
random,N/A,rrg,0.30000000000000004,0.3,0.3,1,0.7466666666666667,0.7898291,0.24752475247524763,0.2993682,8.636867089373425,10.469878,99.25742574257426,0.7450980392156863,0.37623762376237624,0.5000000000000001
random,N/A,rrg,0.4,0.3,0.3,1,0.7666666666666667,0.8241885,0.3069306930693071,0.41390964,7.485166948603798,8.078887,85.62376237623762,0.746031746031746,0.46534653465346537,0.5731707317073171
random,N/A,rrg,0.5,0.3,0.3,1,0.82,0.84936607,0.4653465346534652,0.49784243,5.669330896211463,6.733082,71.27722772277228,0.7974683544303798,0.6237623762376238,0.7000000000000001
random,N/A,rrg,0.6000000000000001,0.3,0.3,1,0.8466666666666667,0.875408,0.5445544554455446,0.58465654,4.945422373431024,5.4631796,67.48514851485149,0.8666666666666667,0.6435643564356436,0.7386363636363636
random,N/A,rrg,0.7000000000000001,0.3,0.3,1,0.8966666666666666,0.90175885,0.6930693069306929,0.6725005,3.3245810795125457,4.2916636,58.2970297029703,0.8645833333333334,0.8217821782178217,0.8426395939086294
random,N/A,rrg,0.8,0.3,0.3,1,0.9166666666666666,0.9321987,0.7524752475247524,0.7739757,2.7534344079959534,3.0790126,57.277227722772274,0.9042553191489362,0.8415841584158416,0.8717948717948718
