method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
sequential,ov,rrg,0.0,0.3,0.3,0,0.93,0.7000065,0.0,0.0,11.437245072333724,24.057806,52.0,0.0,0.0,0.0
sequential,ov,rrg,0.1,0.3,0.3,0,0.98,0.7155027,0.7142857142857139,0.0516551,7.608367212850494,21.294022,7.0,1.0,0.7142857142857143,0.8333333333333333
sequential,ov,rrg,0.2,0.3,0.3,0,0.97,0.7304502,0.5714285714285707,0.10148129,7.698847589023467,19.160215,12.142857142857142,0.75,0.8571428571428571,0.7999999999999999
sequential,ov,rrg,0.30000000000000004,0.3,0.3,0,0.97,0.7518185,0.5714285714285707,0.17271037,6.741944108437817,17.239605,4.0,0.7,1.0,0.8235294117647058
sequential,ov,rrg,0.4,0.3,0.3,0,0.98,0.7729438,0.7142857142857139,0.24312963,5.380001428314372,15.28739,4.0,0.7777777777777778,1.0,0.8750000000000001
sequential,ov,rrg,0.5,0.3,0.3,0,0.98,0.8085754,0.7142857142857139,0.36190417,5.0735625669587945,13.214439,4.0,0.7777777777777778,1.0,0.8750000000000001
sequential,ov,rrg,0.6000000000000001,0.3,0.3,0,0.99,0.8403253,0.8571428571428569,0.4677395,4.022608104656691,11.014579,4.0,0.875,1.0,0.9333333333333333
sequential,ov,rrg,0.7000000000000001,0.3,0.3,0,0.99,0.8724472,0.8571428571428569,0.5748148,3.5247528983617156,8.759966,4.0,0.875,1.0,0.9333333333333333
sequential,ov,rrg,0.8,0.3,0.3,0,0.99,0.9011964,0.8571428571428569,0.6706476,2.886275098763738,6.685763,4.0,0.875,1.0,0.9333333333333333
sequential,mov,rrg,0.0,0.3,0.3,0,0.93,0.7000065,0.0,0.0,11.437245072333724,24.057806,52.0,0.0,0.0,0.0
sequential,mov,rrg,0.1,0.3,0.3,0,0.9,0.7484041,-0.42857142857142927,0.16132882,8.918903733217467,19.612505,37.57142857142857,0.2,0.14285714285714285,0.16666666666666666
sequential,mov,rrg,0.2,0.3,0.3,0,0.88,0.78173715,-0.7142857142857154,0.27244145,8.330217977568584,16.94546,36.57142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
sequential,mov,rrg,0.30000000000000004,0.3,0.3,0,0.86,0.8146544,-1.0000000000000016,0.38216802,6.7215127692194505,14.175955,30.0,0.1111111111111111,0.14285714285714285,0.125
sequential,mov,rrg,0.4,0.3,0.3,0,0.87,0.84473836,-0.8571428571428585,0.48245004,6.092122353583651,12.026791,19.428571428571427,0.2,0.2857142857142857,0.23529411764705882
sequential,mov,rrg,0.5,0.3,0.3,0,0.87,0.8697569,-0.8571428571428585,0.56584686,5.282055581038301,10.133735,22.428571428571427,0.2,0.2857142857142857,0.23529411764705882
sequential,mov,rrg,0.6000000000000001,0.3,0.3,0,0.88,0.89527947,-0.7142857142857154,0.650924,4.16265756980777,8.189602,16.285714285714285,0.2727272727272727,0.42857142857142855,0.33333333333333326
sequential,mov,rrg,0.7000000000000001,0.3,0.3,0,0.89,0.92157286,-0.5714285714285723,0.7385706,3.5876627360263966,6.207615,13.285714285714286,0.3333333333333333,0.5714285714285714,0.4210526315789474
sequential,mov,rrg,0.8,0.3,0.3,0,0.92,0.9491705,-0.14285714285714307,0.83056456,2.773345358077898,4.4640765,9.0,0.4666666666666667,1.0,0.6363636363636364
sequential,c_mov,rrg,0.0,0.3,0.3,0,0.93,0.7000065,0.0,0.0,11.437245072333724,24.057806,52.0,0.0,0.0,0.0
sequential,c_mov,rrg,0.1,0.3,0.3,0,0.84,0.74265563,-1.2857142857142878,0.14216691,8.74350860135799,18.66463,38.714285714285715,0.09090909090909091,0.14285714285714285,0.1111111111111111
sequential,c_mov,rrg,0.2,0.3,0.3,0,0.84,0.7780402,-1.2857142857142878,0.26011792,6.818086830613602,14.859895,7.142857142857143,0.30434782608695654,1.0,0.4666666666666667
sequential,c_mov,rrg,0.30000000000000004,0.3,0.3,0,0.8,0.8105106,-1.8571428571428585,0.36835495,7.204935123666228,12.049741,8.714285714285714,0.25925925925925924,1.0,0.4117647058823529
sequential,c_mov,rrg,0.4,0.3,0.3,0,0.79,0.8457672,-2.0000000000000018,0.48587954,7.108164984323713,10.202412,10.0,0.25,1.0,0.4
sequential,c_mov,rrg,0.5,0.3,0.3,0,0.78,0.8867763,-2.1428571428571446,0.6225796,8.139852257610192,7.7877245,8.0,0.2413793103448276,1.0,0.3888888888888889
sequential,c_mov,rrg,0.6000000000000001,0.3,0.3,0,0.79,0.92212456,-2.0000000000000018,0.7404096,7.5190356777349185,5.3761153,8.0,0.25,1.0,0.4
sequential,c_mov,rrg,0.7000000000000001,0.3,0.3,0,0.79,0.9485086,-2.0000000000000018,0.82835835,7.034418462578048,3.6682992,9.142857142857142,0.25,1.0,0.4
sequential,c_mov,rrg,0.8,0.3,0.3,0,0.8,0.97783923,-1.8571428571428585,0.92612916,6.183740739133056,2.0788157,9.857142857142858,0.25925925925925924,1.0,0.4117647058823529
sequential,ov,rrg,0.0,0.3,0.3,1,0.84,0.70000654,0.0,0.0,15.800332245368786,24.044983,49.875,0.0,0.0,0.0
sequential,ov,rrg,0.1,0.3,0.3,1,0.94,0.7318992,0.6249999999999998,0.10631118,9.139661809147356,20.119448,25.125,1.0,0.625,0.7692307692307693
sequential,ov,rrg,0.2,0.3,0.3,1,0.99,0.75614583,0.9375,0.18713506,6.674586987683094,18.016697,8.6875,1.0,0.9375,0.967741935483871
sequential,ov,rrg,0.30000000000000004,0.3,0.3,1,1.0,0.7837546,1.0,0.27916622,5.711137948347893,16.045815,8.5,1.0,1.0,1.0
sequential,ov,rrg,0.4,0.3,0.3,1,1.0,0.7965769,1.0,0.32190827,5.398525823937905,14.264814,8.5,1.0,1.0,1.0
sequential,ov,rrg,0.5,0.3,0.3,1,0.99,0.821456,0.9375,0.4048404,4.722246354562034,12.442921,8.5,0.9411764705882353,1.0,0.9696969696969697
sequential,ov,rrg,0.6000000000000001,0.3,0.3,1,1.0,0.8512358,1.0,0.50410855,4.366556645443175,10.5163355,8.5,1.0,1.0,1.0
sequential,ov,rrg,0.7000000000000001,0.3,0.3,1,1.0,0.8839757,1.0,0.6132438,3.1145707028881624,8.175037,8.5,1.0,1.0,1.0
sequential,ov,rrg,0.8,0.3,0.3,1,1.0,0.9138408,1.0,0.71279633,2.8561252534705464,6.217317,8.5,1.0,1.0,1.0
sequential,mov,rrg,0.0,0.3,0.3,1,0.84,0.70000654,0.0,0.0,15.800332245368786,24.044983,49.875,0.0,0.0,0.0
sequential,mov,rrg,0.1,0.3,0.3,1,0.8,0.74451375,-0.24999999999999947,0.1483606,15.34555416236907,19.880922,53.4375,0.0,0.0,0.0
sequential,mov,rrg,0.2,0.3,0.3,1,0.8,0.7812197,-0.24999999999999947,0.2707165,13.071637616893856,16.928745,35.9375,0.16666666666666666,0.0625,0.09090909090909091
sequential,mov,rrg,0.30000000000000004,0.3,0.3,1,0.81,0.8098833,-0.18749999999999944,0.36626384,11.813298585708376,14.653317,29.4375,0.2857142857142857,0.125,0.17391304347826086
sequential,mov,rrg,0.4,0.3,0.3,1,0.83,0.8412509,-0.06250000000000004,0.47082478,9.450881807855655,12.176776,26.3125,0.4444444444444444,0.25,0.32
sequential,mov,rrg,0.5,0.3,0.3,1,0.85,0.86830246,0.06250000000000004,0.5609986,8.307262238549695,10.172215,19.9375,0.5454545454545454,0.375,0.4444444444444444
sequential,mov,rrg,0.6000000000000001,0.3,0.3,1,0.89,0.8995042,0.3125000000000002,0.66500664,5.379710001083634,7.5940294,15.75,0.6666666666666666,0.625,0.6451612903225806
sequential,mov,rrg,0.7000000000000001,0.3,0.3,1,0.89,0.92947006,0.3125000000000002,0.7648951,4.716233273855726,5.4619656,13.375,0.6470588235294118,0.6875,0.6666666666666667
sequential,mov,rrg,0.8,0.3,0.3,1,0.92,0.95792246,0.5000000000000003,0.85973847,3.361189818771771,3.6224988,10.6875,0.6818181818181818,0.9375,0.7894736842105263
sequential,c_mov,rrg,0.0,0.3,0.3,1,0.84,0.70000654,0.0,0.0,15.800332245368786,24.044983,49.875,0.0,0.0,0.0
sequential,c_mov,rrg,0.1,0.3,0.3,1,0.76,0.74091417,-0.49999999999999967,0.13636172,12.54085437890237,18.692879,50.375,0.21428571428571427,0.1875,0.19999999999999998
sequential,c_mov,rrg,0.2,0.3,0.3,1,0.77,0.7851398,-0.4374999999999996,0.2837837,10.934460070779277,14.056792,29.4375,0.36,0.5625,0.43902439024390244
sequential,c_mov,rrg,0.30000000000000004,0.3,0.3,1,0.82,0.8194664,-0.12500000000000008,0.39820823,8.17325148702944,10.851959,14.8125,0.4666666666666667,0.875,0.608695652173913
sequential,c_mov,rrg,0.4,0.3,0.3,1,0.82,0.85490876,-0.12500000000000008,0.516352,7.7493299306080505,8.965526,17.25,0.4666666666666667,0.875,0.608695652173913
sequential,c_mov,rrg,0.5,0.3,0.3,1,0.82,0.8874176,-0.12500000000000008,0.6247172,7.50026912058552,7.2323856,16.8125,0.4666666666666667,0.875,0.608695652173913
sequential,c_mov,rrg,0.6000000000000001,0.3,0.3,1,0.83,0.9202309,-0.06250000000000004,0.7340973,7.074088375354989,5.47071,15.25,0.4827586206896552,0.875,0.6222222222222222
sequential,c_mov,rrg,0.7000000000000001,0.3,0.3,1,0.84,0.9466168,0.0,0.82205224,6.369110572297617,3.9773235,13.25,0.5,0.9375,0.6521739130434783
sequential,c_mov,rrg,0.8,0.3,0.3,1,0.85,0.9725464,0.06250000000000004,0.908486,5.0560546578448875,2.401837,11.6875,0.5161290322580645,1.0,0.6808510638297872
sequential,ov,rrg,0.0,0.3,0.3,2,0.89,0.7000065,0.0,0.0,13.668691514075535,24.050068,59.45454545454545,0.0,0.0,0.0
sequential,ov,rrg,0.1,0.3,0.3,2,0.95,0.7402136,0.545454545454545,0.13402653,8.802019148620742,20.270937,23.90909090909091,1.0,0.5454545454545454,0.7058823529411764
sequential,ov,rrg,0.2,0.3,0.3,2,1.0,0.7689157,1.0,0.2297024,7.589248146728269,17.865124,6.0,1.0,1.0,1.0
sequential,ov,rrg,0.30000000000000004,0.3,0.3,2,0.98,0.7845307,0.818181818181818,0.28175348,7.445247146318099,15.790447,6.0,0.8461538461538461,1.0,0.9166666666666666
sequential,ov,rrg,0.4,0.3,0.3,2,0.98,0.8131721,0.818181818181818,0.3772269,6.113635292799376,13.818368,6.0,0.8461538461538461,1.0,0.9166666666666666
sequential,ov,rrg,0.5,0.3,0.3,2,0.96,0.8476126,0.636363636363636,0.4920311,4.233211622965103,11.492958,6.0,0.7333333333333333,1.0,0.846153846153846
sequential,ov,rrg,0.6000000000000001,0.3,0.3,2,1.0,0.8715022,1.0,0.5716648,3.8964020177584233,9.825512,6.0,1.0,1.0,1.0
sequential,ov,rrg,0.7000000000000001,0.3,0.3,2,1.0,0.8946689,1.0,0.64888865,3.3485005337487492,8.020163,6.0,1.0,1.0,1.0
sequential,ov,rrg,0.8,0.3,0.3,2,1.0,0.92216355,1.0,0.74053955,3.463487727192442,5.797981,6.0,1.0,1.0,1.0
sequential,mov,rrg,0.0,0.3,0.3,2,0.89,0.7000065,0.0,0.0,13.668691514075535,24.050068,59.45454545454545,0.0,0.0,0.0
sequential,mov,rrg,0.1,0.3,0.3,2,0.86,0.7582007,-0.272727272727273,0.19398493,9.799944402083327,19.234968,39.54545454545455,0.0,0.0,0.0
sequential,mov,rrg,0.2,0.3,0.3,2,0.86,0.7915701,-0.272727272727273,0.30521873,8.919279245373728,16.311962,37.90909090909091,0.2,0.09090909090909091,0.12500000000000003
sequential,mov,rrg,0.30000000000000004,0.3,0.3,2,0.87,0.8195681,-0.181818181818182,0.39854732,7.605318558276361,14.283884,32.0,0.3333333333333333,0.18181818181818182,0.23529411764705885
sequential,mov,rrg,0.4,0.3,0.3,2,0.87,0.8477475,-0.181818181818182,0.49248073,7.661074040772635,12.084707,24.363636363636363,0.3333333333333333,0.18181818181818182,0.23529411764705885
