method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean,entropy_neigh_mean,frontier_selected,frontier_rank,frontier_cand_mean
sequential,mov,0.2,0.3,0.0,0,rrg,16,0.1997723,0.19977227,2.9802322e-08,1,0.1997723,0.0,0,2.2179234,2.2179234,2.2179234,0.0,1,0.0
sequential,mov,0.2,0.3,0.0033333333333333335,0,rrg,80,0.20000024,0.19929925,0.0045642434,15,0.20002009,2.9629235e-05,0,2.1938748,2.1971228,2.1939433,2.1318594e-05,21,0.0016257702
sequential,mov,0.2,0.3,0.006666666666666667,0,rrg,88,0.19973312,0.19778118,0.00984637,53,0.19717185,0.0041727433,0,2.2000263,2.2038124,2.2076848,0.0030803334,11,0.0045246803
sequential,mov,0.2,0.3,0.01,0,rrg,31,0.20029956,0.19306901,0.02437511,15,0.19983731,0.00035957637,0,2.1974556,2.2142994,2.20034,0.0004622539,36,0.008236603
sequential,mov,0.2,0.3,0.013333333333333334,0,rrg,51,0.20037125,0.19123523,0.027893184,18,0.20002776,0.0001026278,0,2.1979585,2.2157311,2.2011595,0.00034348667,37,0.009631165
sequential,mov,0.2,0.3,0.016666666666666666,0,rrg,40,0.20016974,0.18498363,0.03680943,25,0.20046318,0.0002708,0,2.1944954,2.2279203,2.1971047,0.00034435093,45,0.014300195
sequential,mov,0.2,0.3,0.02,0,rrg,55,0.20007315,0.18021797,0.040979736,30,0.20035863,0.0004129014,0,2.1925929,2.235071,2.1934946,0.00030000508,51,0.018610239
sequential,mov,0.2,0.3,0.023333333333333334,0,rrg,50,0.19965234,0.17705692,0.038887758,24,0.19503014,0.0058660917,0,2.2208047,2.2550201,2.2315874,0.004910683,41,0.023038473
sequential,mov,0.2,0.3,0.02666666666666667,0,rrg,29,0.19801836,0.17611957,0.03805429,27,0.19577767,0.0026859103,0,2.2224696,2.2665505,2.2338345,0.0032785286,44,0.021782508
sequential,mov,0.2,0.3,0.03,0,rrg,1,0.20484266,0.1725234,0.044889007,3,0.19974512,0.0019032599,0,2.2160435,2.2540257,2.2309773,0.0050975285,38,0.02266561
sequential,mov,0.2,0.3,0.03333333333333333,0,rrg,169,0.19677792,0.17311454,0.04395042,31,0.18636094,0.019577555,0,2.244728,2.2668312,2.2546508,0.01482376,32,0.025314454
sequential,mov,0.2,0.3,0.03666666666666667,0,rrg,71,0.18807395,0.17274222,0.042254686,36,0.1739619,0.032966662,0,2.3016708,2.2647767,2.308446,0.026278302,25,0.02658109
sequential,mov,0.2,0.3,0.04,0,rrg,15,0.18407965,0.17266652,0.044372637,37,0.17315288,0.024981448,0,2.3031046,2.2667038,2.3152409,0.020975685,29,0.026088445
sequential,mov,0.2,0.3,0.043333333333333335,0,rrg,2,0.20055924,0.16286962,0.054255135,23,0.20053785,0.00039610793,0,2.197514,2.2593577,2.202247,0.00035374364,60,0.030380007
sequential,mov,0.2,0.3,0.04666666666666667,0,rrg,136,0.1998951,0.1603051,0.05634649,22,0.20010541,0.00083514646,0,2.2033942,2.26595,2.210962,0.0008568118,59,0.032344796
sequential,mov,0.2,0.3,0.05,0,rrg,10,0.18533492,0.16892646,0.050898846,36,0.17738117,0.021493379,0,2.2937212,2.2581644,2.3022573,0.017218823,38,0.03457936
sequential,mov,0.2,0.3,0.05333333333333334,0,rrg,180,0.20306322,0.17062174,0.04695565,16,0.20315398,0.0059408504,0,2.1976905,2.2626982,2.2044466,0.005461524,50,0.035482947
sequential,mov,0.2,0.3,0.056666666666666664,0,rrg,19,0.21261619,0.17711408,0.048069958,8,0.18945338,0.015606949,0,2.2369092,2.2602515,2.2580407,0.023162803,30,0.029899051
sequential,mov,0.2,0.3,0.06,0,rrg,38,0.2125044,0.16918479,0.05522947,13,0.2009957,0.010208753,0,2.2123742,2.2646863,2.2343693,0.01345475,50,0.037074253
sequential,mov,0.2,0.3,0.06333333333333334,0,rrg,102,0.21182382,0.1626164,0.056779694,11,0.2031486,0.0053687436,0,2.2075953,2.2509596,2.2338536,0.008675218,53,0.040171802
sequential,mov,0.2,0.3,0.06666666666666667,0,rrg,119,0.20105694,0.1596352,0.058795217,20,0.18771695,0.019393489,0,2.2495418,2.2649772,2.2618139,0.016438896,46,0.041557737
sequential,mov,0.2,0.3,0.07,0,rrg,37,0.21281333,0.15936415,0.056138154,11,0.18610434,0.023290372,0,2.2527227,2.2821496,2.2859929,0.030765086,41,0.045380473
sequential,mov,0.2,0.3,0.07333333333333333,0,rrg,34,0.13858949,0.16739461,0.05597582,44,0.12566227,0.089043826,0,2.2026753,2.2615952,1.5317701,0.07945735,9,0.043746866
sequential,mov,0.2,0.3,0.07666666666666666,0,rrg,35,0.18759836,0.16253665,0.0520184,25,0.17680359,0.02638579,0,2.2698236,2.2830539,2.2752142,0.020846954,47,0.045393627
sequential,mov,0.2,0.3,0.08,0,rrg,104,0.15584007,0.17257857,0.04915786,40,0.13538566,0.03864407,0,2.421066,2.2579224,2.4091914,0.04075729,28,0.04232501
sequential,mov,0.2,0.3,0.08333333333333333,0,rrg,79,0.1759016,0.15500428,0.0668342,31,0.16828912,0.06405998,0,2.2816422,2.2468302,2.241607,0.05763152,18,0.042174328
sequential,mov,0.2,0.3,0.08666666666666667,0,rrg,11,0.23817629,0.16263528,0.05950913,1,0.2313782,0.011141601,0,2.1331666,2.252137,2.1550186,0.008947586,57,0.04557616
sequential,mov,0.2,0.3,0.09,0,rrg,42,0.20221636,0.15385412,0.06556009,19,0.14966202,0.050843257,0,2.33445,2.2747853,2.3208692,0.05255435,23,0.04462197
sequential,mov,0.2,0.3,0.09333333333333334,0,rrg,89,0.17274489,0.16119295,0.0672883,33,0.15366542,0.055591755,0,2.3385155,2.2682483,2.306163,0.046202008,30,0.04560785
sequential,mov,0.2,0.3,0.09666666666666666,0,rrg,146,0.26396105,0.15765162,0.072034314,4,0.19604073,0.030209323,0,2.1900642,2.2450054,2.2278423,0.06792032,12,0.046943653
sequential,mov,0.2,0.3,0.1,0,rrg,110,0.29116264,0.15751721,0.07172933,2,0.13427018,0.12616459,0,1.9556938,2.249518,1.4626611,0.16549109,2,0.05839204
sequential,mov,0.2,0.3,0.10333333333333333,0,rrg,149,0.21392779,0.17163701,0.05654766,11,0.19875091,0.021059453,0,2.2152874,2.236127,2.2435393,0.022245998,46,0.054853924
sequential,mov,0.2,0.3,0.10666666666666667,0,rrg,70,0.075755924,0.15184428,0.06819678,47,0.07999412,0.062386103,0,2.4582484,2.2553241,2.274421,0.05373314,26,0.04791219
sequential,mov,0.2,0.3,0.11,0,rrg,111,0.13498938,0.14537637,0.091596015,35,0.14375651,0.10167325,0,2.1584635,2.2210968,1.4817055,0.098760046,2,0.05245072
sequential,mov,0.2,0.3,0.11333333333333333,0,rrg,96,0.06343956,0.14170048,0.06941301,49,0.10123045,0.07185941,0,2.3390203,2.271536,1.5879579,0.08008393,8,0.049190283
sequential,mov,0.2,0.3,0.11666666666666667,0,rrg,148,0.220996,0.14704314,0.06978916,9,0.1629607,0.01835925,0,2.2652607,2.2513437,2.269511,0.058035325,24,0.055475794
sequential,mov,0.2,0.3,0.12,0,rrg,263,0.28927904,0.14378439,0.09136591,2,0.19848502,0.02820281,0,2.0796783,2.234289,2.086727,0.09079403,7,0.062398184
sequential,mov,0.2,0.3,0.12333333333333334,0,rrg,273,0.56002283,0.15114191,0.086874634,1,0.089942425,0.1271978,0,1.4364734,2.2163324,0.6718063,0.4700804,1,0.057508983
sequential,mov,0.2,0.3,0.12666666666666668,0,rrg,132,0.21496542,0.14740989,0.073905334,14,0.19133078,0.021589376,0,2.2312827,2.2571664,2.257026,0.026943833,48,0.04806369
sequential,mov,0.2,0.3,0.13,0,rrg,58,0.22294848,0.15023765,0.07674079,10,0.22159386,0.0079439,0,2.1536946,2.2181995,2.1719503,0.0068599186,60,0.049064416
sequential,mov,0.2,0.3,0.13333333333333333,0,rrg,208,0.24611142,0.15532327,0.07300242,2,0.21443371,0.010449336,0,2.141927,2.2597814,2.152087,0.031677723,44,0.049708188
sequential,mov,0.2,0.3,0.13666666666666666,0,rrg,150,0.23359303,0.13169126,0.07689093,4,0.28349152,0.11184794,0,2.0584843,2.2230916,1.9691814,0.0869244,7,0.063129984
sequential,mov,0.2,0.3,0.14,0,rrg,112,0.19816425,0.14717653,0.07093492,18,0.23911114,0.12253817,0,2.1237416,2.2417605,2.0251315,0.10149116,6,0.061220784
sequential,mov,0.2,0.3,0.14333333333333334,0,rrg,178,0.3561385,0.16548775,0.07441281,2,0.079487,0.10817658,0,1.5459211,2.215347,0.7680997,0.2766515,1,0.06085867
sequential,mov,0.2,0.3,0.14666666666666667,0,rrg,217,0.15768184,0.15362708,0.114375,30,0.37124577,0.3292127,0,2.044647,2.2143865,1.6789621,0.27274224,2,0.072570056
sequential,mov,0.2,0.3,0.15,0,rrg,106,0.15740436,0.12646441,0.07470126,25,0.13185431,0.10069581,0,2.0793486,2.226449,1.4071277,0.08352578,7,0.052211046
sequential,mov,0.2,0.3,0.15333333333333332,0,rrg,36,0.1959858,0.15280548,0.13163398,19,0.2138399,0.069157176,0,2.2244773,2.2175453,2.2250745,0.06938308,14,0.06793695
sequential,mov,0.2,0.3,0.15666666666666668,0,rrg,201,0.66843474,0.16113605,0.15110718,2,2.5532492e-07,3.6107693e-07,1,1.1844127,2.2179234,2.3984338e-05,0.66843444,2,0.08585671
sequential,mov,0.2,0.3,0.16,0,rrg,168,0.36355764,0.15737489,0.13450377,2,0.14347643,0.103149995,0,1.7669339,2.2020848,1.402874,0.22008121,3,0.07355473
sequential,mov,0.2,0.3,0.16333333333333333,0,rrg,131,0.28205812,0.13811165,0.07278865,1,0.24378921,0.017347137,0,2.0963855,2.238456,2.1602485,0.038268898,44,0.06688902
sequential,mov,0.2,0.3,0.16666666666666666,0,rrg,196,0.2160829,0.1366182,0.07585229,5,0.1999514,0.052029114,0,2.263821,2.2388937,2.2793467,0.04364189,40,0.053820707
sequential,mov,0.2,0.3,0.17,0,rrg,139,0.118584655,0.13944916,0.059757937,37,0.11731741,0.05809799,0,2.4147122,2.2430918,2.344621,0.04865283,42,0.06386674
sequential,mov,0.2,0.3,0.17333333333333334,0,rrg,3,0.50319815,0.13071613,0.08947493,1,0.089167446,0.064725175,0,1.5732819,2.2184782,1.4389614,0.4140307,1,0.06623001
sequential,mov,0.2,0.3,0.17666666666666667,0,rrg,120,0.15510774,0.12739344,0.069295734,27,0.13078143,0.09298093,0,2.2184017,2.2352579,1.5030159,0.079078846,12,0.062596954
sequential,mov,0.2,0.3,0.18,0,rrg,220,0.19443922,0.13761489,0.102042735,16,0.2270974,0.17042004,0,2.2710187,2.2023358,2.1312678,0.1417409,5,0.068440706
sequential,mov,0.2,0.3,0.18333333333333332,0,rrg,59,0.13879874,0.1530451,0.110087745,31,0.13313544,0.09467347,0,2.3156047,2.1913345,1.485209,0.0868692,15,0.078650944
sequential,mov,0.2,0.3,0.18666666666666668,0,rrg,128,0.24109507,0.15308395,0.14786139,5,0.17774199,0.041102223,0,2.2427351,2.1580276,2.252098,0.063353084,22,0.080058016
sequential,mov,0.2,0.3,0.19,0,rrg,78,0.25389194,0.14781149,0.076388866,6,0.33517691,0.2721453,0,1.8548023,2.2165632,1.7063503,0.22869378,2,0.069982745
sequential,mov,0.2,0.3,0.19333333333333333,0,rrg,264,0.2664431,0.13108042,0.07077918,1,0.13853264,0.09953524,0,2.009474,2.2052178,1.4022692,0.12791048,3,0.06339936
sequential,mov,0.2,0.3,0.19666666666666666,0,rrg,39,0.45064694,0.15581469,0.1417914,2,0.21930139,0.049547877,1,1.7282791,2.1499202,1.9926382,0.23134558,2,0.08228202
sequential,mov,0.2,0.3,0.2,0,rrg,238,0.24033175,0.15489373,0.0706029,9,0.13864298,0.10005318,0,2.0381677,2.1910055,1.5301319,0.10168877,7,0.06699966
sequential,mov,0.2,0.3,0.20333333333333334,0,rrg,294,0.2402353,0.12729192,0.07082954,3,0.10033468,0.11096126,0,1.9795867,2.2152946,1.3960724,0.14973892,3,0.06635488
sequential,mov,0.2,0.3,0.20666666666666667,0,rrg,234,0.3292184,0.12483198,0.07746194,1,0.2545999,0.013782472,0,1.8320136,2.190526,1.8600699,0.07461848,15,0.06475986
sequential,mov,0.2,0.3,0.21,0,rrg,248,0.2209434,0.14163023,0.07329244,11,0.22552276,0.013863566,0,2.1671944,2.1864924,2.1669536,0.011404052,58,0.068680055
sequential,mov,0.2,0.3,0.21333333333333335,0,rrg,68,0.3053552,0.1444977,0.13332543,2,0.2206407,0.16367091,0,2.0783713,2.1506438,2.042011,0.18112926,7,0.10209417
sequential,mov,0.2,0.3,0.21666666666666667,0,rrg,7,0.26844233,0.14441538,0.12441802,4,0.27761486,0.2107933,0,1.7468171,2.1646192,1.1469301,0.18813373,5,0.0902076
sequential,mov,0.2,0.3,0.22,0,rrg,25,0.7784774,0.16396889,0.1490278,2,0.06860911,0.09535219,1,0.84015775,2.1289847,0.6799786,0.70986825,2,0.10796252
sequential,mov,0.2,0.3,0.22333333333333333,0,rrg,261,0.2156646,0.14755128,0.116469525,11,0.19391032,0.031716473,0,2.2088315,2.1633415,2.2256715,0.031204363,53,0.092109546
sequential,mov,0.2,0.3,0.22666666666666666,0,rrg,221,0.22694819,0.14148113,0.117311776,6,0.054809615,0.040123682,0,2.029208,2.1850195,1.4780402,0.17213857,4,0.08224039
sequential,mov,0.2,0.3,0.23,0,rrg,284,0.5141961,0.14742209,0.14193778,2,0.13637757,0.097998895,1,1.5551378,2.1249971,1.388936,0.3778185,2,0.097154625
sequential,mov,0.2,0.3,0.23333333333333334,0,rrg,54,0.17754242,0.13602617,0.10444535,16,0.014841854,0.02098955,0,1.7236314,2.0805948,0.6195794,0.16270056,8,0.09398691
sequential,mov,0.2,0.3,0.23666666666666666,0,rrg,236,0.15551513,0.15112422,0.15075058,24,0.36409578,0.3540269,0,2.0647404,2.0932028,1.6760036,0.27382004,6,0.1077858
sequential,mov,0.2,0.3,0.24,0,rrg,215,0.27751166,0.14660342,0.10005707,2,0.11717697,0.083684385,0,1.8520305,2.1416132,1.3734857,0.16033469,9,0.09565237
sequential,mov,0.2,0.3,0.24333333333333335,0,rrg,81,0.17924568,0.14568646,0.13244152,21,0.4272006,0.4090176,0,1.8593066,2.1048093,1.3951467,0.32010254,2,0.09980741
sequential,mov,0.2,0.3,0.24666666666666667,0,rrg,130,0.21313202,0.12632276,0.07309676,7,0.08172849,0.07297665,0,1.9843831,2.167236,1.4720445,0.13140354,7,0.07480976
sequential,mov,0.2,0.3,0.25,0,rrg,126,0.22267783,0.11998023,0.081213996,9,0.22118598,0.0023649035,0,2.175344,2.1249208,2.2097394,0.002249539,58,0.07514336
sequential,mov,0.2,0.3,0.25333333333333335,0,rrg,129,0.20190865,0.1415108,0.13955192,12,0.15944149,0.1081113,0,2.073565,2.1061308,1.536081,0.087596744,15,0.08673673
sequential,mov,0.2,0.3,0.25666666666666665,0,rrg,14,0.20132016,0.13731094,0.10075338,10,0.18615954,0.032042835,0,2.1889987,2.1412706,2.166711,0.028722519,56,0.081458904
sequential,mov,0.2,0.3,0.26,0,rrg,222,0.38122132,0.13878965,0.09007858,1,0.18477263,0.1380912,0,1.7277123,2.1390364,1.3939222,0.19644868,5,0.07913
sequential,mov,0.2,0.3,0.2633333333333333,0,rrg,278,0.3433436,0.15891597,0.18660794,4,0.14780621,0.104597256,0,1.8019044,2.0787537,1.349597,0.19553737,7,0.10945047
sequential,mov,0.2,0.3,0.26666666666666666,0,rrg,276,0.22253112,0.12885527,0.07691215,6,0.22168279,0.056385115,0,2.1943905,2.129301,2.206621,0.050372276,38,0.07786814
sequential,mov,0.2,0.3,0.27,0,rrg,216,0.4207438,0.14009431,0.1151316,3,0.1301432,0.09168589,0,1.7255591,2.120705,1.4154412,0.2906006,4,0.09241666
sequential,mov,0.2,0.3,0.2733333333333333,0,rrg,108,0.48130924,0.17524426,0.17429452,5,0.23916262,0.27421108,0,1.2593756,2.0658388,0.9284787,0.3366793,6,0.11890759
sequential,mov,0.2,0.3,0.27666666666666667,0,rrg,189,0.26221028,0.14811705,0.16763705,6,0.28345674,0.26938346,0,2.140101,2.0782995,1.8606582,0.24602588,7,0.110126965
sequential,mov,0.2,0.3,0.28,0,rrg,239,0.44629583,0.15822428,0.18819183,4,0.31906268,0.2573768,0,1.6465764,2.0288608,1.5992757,0.28499234,5,0.12123283
sequential,mov,0.2,0.3,0.2833333333333333,0,rrg,13,0.0630028,0.13866514,0.14962704,44,0.17292798,0.18423265,0,2.1786697,2.0968792,1.3443433,0.15192704,9,0.11448229
sequential,mov,0.2,0.3,0.2866666666666667,0,rrg,100,0.6169751,0.17584486,0.169139,3,0.1842426,0.13070416,1,1.3010908,2.0539334,1.1696225,0.43273255,3,0.13079974
sequential,mov,0.2,0.3,0.29,0,rrg,173,0.14197968,0.15667652,0.17298342,27,0.06528549,0.075505264,0,2.0706758,2.0807288,1.4138352,0.09611145,18,0.12722301
sequential,mov,0.2,0.3,0.29333333333333333,0,rrg,17,0.2729753,0.15286063,0.196443,5,0.22809522,0.012523037,0,2.1565905,2.037253,2.21925,0.04488009,42,0.115220144
