method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean,entropy_neigh_mean
sequential,ov,0.1,0.3,0.0,0,rrg,124,0.09998369,0.09998369,7.059728e-08,41,0.099983715,1.2904784e-08,1,1.4411983,1.1613225,1.788221
sequential,ov,0.1,0.3,0.0033333333333333335,0,rrg,30,0.09998362,0.09998369,5.5472228e-08,54,0.09998367,5.1798057e-08,0,1.0955461,1.1865284,1.299837
sequential,ov,0.1,0.3,0.006666666666666667,0,rrg,106,0.099983715,0.09998371,3.3111103e-08,25,0.099983715,7.450581e-09,0,1.3386447,1.2942898,1.0958848
sequential,ov,0.1,0.3,0.01,0,rrg,111,0.09998368,0.10435853,0.033603787,48,0.09998369,4.572658e-08,0,0.33343804,1.1963038,1.1331509
sequential,ov,0.1,0.3,0.013333333333333334,0,rrg,6,0.62598085,0.11312517,0.074745394,1,0.19413294,0.1331472,0,0.67452204,1.1938732,1.8807812
sequential,ov,0.1,0.3,0.016666666666666666,0,rrg,39,0.09998371,0.10926191,0.045004435,29,0.09998373,9.618658e-09,1,0.33343807,1.1880913,1.544784
sequential,ov,0.1,0.3,0.02,0,rrg,188,0.09998373,0.0999837,3.9236582e-08,5,0.09998367,2.787752e-08,0,1.3694634,1.2110194,1.0513309
sequential,ov,0.1,0.3,0.023333333333333334,0,rrg,287,0.099983715,0.107433066,0.03869037,33,0.099983715,1.3602837e-08,0,1.8362311,1.2617279,0.6685068
sequential,ov,0.1,0.3,0.02666666666666667,0,rrg,14,0.09998372,0.10789808,0.040757775,19,0.099983715,1.6095093e-08,0,0.78482676,1.2327539,1.0035757
sequential,ov,0.1,0.3,0.03,0,rrg,54,0.0999837,0.10161663,0.0125426985,42,0.09998372,9.618658e-09,0,0.33343813,1.321429,1.3704988
sequential,ov,0.1,0.3,0.03333333333333333,0,rrg,244,0.09998372,0.10159309,0.012361946,14,0.099983715,1.4266776e-08,0,1.5457664,1.2153903,0.4839013
sequential,ov,0.1,0.3,0.03666666666666667,0,rrg,262,0.099983715,0.10997243,0.051870912,22,0.39969072,0.42384964,0,1.9969778,1.2293364,0.62989855
sequential,ov,0.1,0.3,0.04,0,rrg,168,0.09998374,0.10057966,0.0032819752,4,0.094433606,0.007849066,0,2.295113,1.256647,1.6373228
sequential,ov,0.1,0.3,0.043333333333333335,0,rrg,82,0.09998368,0.11948375,0.118156604,48,0.099983625,1.3885558e-07,0,0.7848289,1.315359,1.6353971
sequential,ov,0.1,0.3,0.04666666666666667,0,rrg,261,0.09998373,0.120557226,0.117659464,8,0.099983715,4.3015946e-09,0,1.931741,1.3921221,1.6133394
sequential,ov,0.1,0.3,0.05,0,rrg,197,0.09998373,0.10997255,0.06307211,11,0.06669991,0.047070395,0,2.229806,1.2664069,1.1797096
