O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1,method,sim,delta,lam,rho
0.66,0.7060474,-0.21428571428571405,-0.52497387,20.07837202612212,19.908817,24.61111111111111,1.0,0.05555555555555555,0.10526315789473684,gnn,0,0.3,0.3,0.02
0.62,0.71201533,-0.35714285714285704,-0.49401337,19.062495893782366,18.305372,27.5,0.0,0.0,0.0,random,0,0.3,0.3,0.02
0.66,0.7182178,-0.21428571428571405,-0.46183613,21.042991063471277,19.576324,23.0,1.0,0.05555555555555555,0.10526315789473684,gnn,0,0.3,0.3,0.04
0.62,0.7163481,-0.35714285714285704,-0.47153568,18.551185244668915,17.706339,24.5,0.0,0.0,0.0,random,0,0.3,0.3,0.04
0.66,0.7205875,-0.21428571428571405,-0.44954252,20.525117291347314,19.29133,25.77777777777778,1.0,0.05555555555555555,0.10526315789473684,gnn,0,0.3,0.3,0.06
0.64,0.72234535,-0.28571428571428553,-0.44042307,18.319237120627445,17.43931,23.944444444444443,0.5,0.05555555555555555,0.09999999999999999,random,0,0.3,0.3,0.06
0.66,0.7217212,-0.21428571428571405,-0.44366118,19.144403433643856,18.84738,24.555555555555557,1.0,0.05555555555555555,0.10526315789473684,gnn,0,0.3,0.3,0.08
0.66,0.7283426,-0.21428571428571405,-0.40931043,18.17430513010741,17.252777,22.61111111111111,0.6666666666666666,0.1111111111111111,0.1904761904761905,random,0,0.3,0.3,0.08
0.66,0.7277197,-0.21428571428571405,-0.41254178,18.737953568538178,18.16845,24.72222222222222,1.0,0.05555555555555555,0.10526315789473684,gnn,0,0.3,0.3,0.1
0.66,0.73171014,-0.21428571428571405,-0.39184022,15.606592243291924,16.33055,22.77777777777778,0.6,0.16666666666666666,0.2608695652173913,random,0,0.3,0.3,0.1
0.68,0.7337142,-0.14285714285714257,-0.38144338,16.381542643063455,16.296543,23.27777777777778,1.0,0.1111111111111111,0.19999999999999998,gnn,0,0.3,0.3,0.12
0.66,0.7352681,-0.21428571428571405,-0.37338206,15.184383101817161,16.199707,22.38888888888889,0.6,0.16666666666666666,0.2608695652173913,random,0,0.3,0.3,0.12
0.7,0.73969376,-0.07142857142857148,-0.3504226,14.260807682271233,14.697579,20.333333333333332,1.0,0.16666666666666666,0.2857142857142857,gnn,0,0.3,0.3,0.14
0.68,0.74726653,-0.14285714285714257,-0.3111364,12.708249667026557,14.086228,19.666666666666668,0.6666666666666666,0.2222222222222222,0.3333333333333333,random,0,0.3,0.3,0.14
0.7,0.7440265,-0.07142857142857148,-0.3279452,13.754156580738593,14.237683,20.27777777777778,1.0,0.16666666666666666,0.2857142857142857,gnn,0,0.3,0.3,0.16
0.7,0.75326383,-0.07142857142857148,-0.2800235,12.57775395912424,13.925503,20.72222222222222,0.7142857142857143,0.2777777777777778,0.4,random,0,0.3,0.3,0.16
0.72,0.7500354,0.0,-0.29677197,13.258206597796084,13.614133,21.88888888888889,1.0,0.2222222222222222,0.3636363636363636,gnn,0,0.3,0.3,0.18
0.7,0.7665321,-0.07142857142857148,-0.21118993,13.307376904113976,13.413217,19.666666666666668,0.7142857142857143,0.2777777777777778,0.4,random,0,0.3,0.3,0.18
0.72,0.75436765,0.0,-0.27429706,12.58034593837611,13.100961,20.944444444444443,1.0,0.2222222222222222,0.3636363636363636,gnn,0,0.3,0.3,0.2
0.72,0.7725307,0.0,-0.1800705,12.51474473000576,12.837266,19.166666666666668,0.75,0.3333333333333333,0.46153846153846156,random,0,0.3,0.3,0.2
0.72,0.75869995,0.0,-0.25182185,12.050061359295599,12.590454,21.055555555555557,1.0,0.2222222222222222,0.3636363636363636,gnn,0,0.3,0.3,0.22
0.72,0.7785171,0.0,-0.14901386,12.391096373589335,12.752401,18.11111111111111,0.75,0.3333333333333333,0.46153846153846156,random,0,0.3,0.3,0.22
