O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1,method,sim,delta,lam,rho
0.72,0.71202326,-0.5555555555555552,-0.518043,13.938676942753121,18.240307,21.307692307692307,0.0,0.0,0.0,gnn,0,0.3,0.3,0.02
0.74,0.7006082,-0.4444444444444441,-0.57821643,14.31762551931983,20.091423,27.692307692307693,0.0,0.0,0.0,random,0,0.3,0.3,0.02
0.74,0.724012,-0.4444444444444441,-0.4548453,13.141285154893152,17.225672,21.076923076923077,0.5,0.07692307692307693,0.13333333333333336,gnn,0,0.3,0.3,0.04
0.72,0.69879836,-0.5555555555555552,-0.5877568,13.14105555082921,19.605457,23.46153846153846,0.0,0.0,0.0,random,0,0.3,0.3,0.04
0.76,0.73000914,-0.3333333333333329,-0.42323205,13.045899519806204,17.124287,22.692307692307693,0.6666666666666666,0.15384615384615385,0.25,gnn,0,0.3,0.3,0.06
0.74,0.7047956,-0.4444444444444441,-0.5561429,12.955799101250932,19.363966,21.53846153846154,0.5,0.07692307692307693,0.13333333333333336,random,0,0.3,0.3,0.06
0.76,0.7302784,-0.3333333333333329,-0.4218128,12.285435548806836,16.808378,22.615384615384617,0.6666666666666666,0.15384615384615385,0.25,gnn,0,0.3,0.3,0.08
0.76,0.71924055,-0.3333333333333329,-0.4799977,13.026356235931926,18.974968,21.307692307692307,0.6666666666666666,0.15384615384615385,0.25,random,0,0.3,0.3,0.08
0.76,0.73671126,-0.3333333333333329,-0.3879024,11.302374167237382,16.09011,20.846153846153847,0.6,0.23076923076923078,0.33333333333333337,gnn,0,0.3,0.3,0.1
0.78,0.71790934,-0.22222222222222174,-0.48701504,12.202720790485692,17.828802,18.0,0.75,0.23076923076923078,0.3529411764705882,random,0,0.3,0.3,0.1
0.76,0.7401982,-0.3333333333333329,-0.36952138,10.044463281386273,15.367273,19.076923076923077,0.6,0.23076923076923078,0.33333333333333337,gnn,0,0.3,0.3,0.12
0.78,0.7199736,-0.22222222222222174,-0.47613335,10.72217567968384,17.00678,17.307692307692307,0.6666666666666666,0.3076923076923077,0.42105263157894735,random,0,0.3,0.3,0.12
0.72,0.74590445,-0.5555555555555552,-0.3394414,9.259022632626932,14.48276,23.76923076923077,0.42857142857142855,0.23076923076923078,0.3,gnn,0,0.3,0.3,0.14
0.76,0.7319677,-0.3333333333333329,-0.41290772,10.38244615551683,15.20182,18.46153846153846,0.5714285714285714,0.3076923076923077,0.4,random,0,0.3,0.3,0.14
0.74,0.75519025,-0.4444444444444441,-0.29049212,9.665530754247907,14.133158,21.307692307692307,0.5,0.23076923076923078,0.3157894736842105,gnn,0,0.3,0.3,0.16
0.74,0.74396896,-0.4444444444444441,-0.3496441,9.370343639298248,13.468614,17.692307692307693,0.5,0.3076923076923077,0.380952380952381,random,0,0.3,0.3,0.16
0.76,0.7662586,-0.3333333333333329,-0.23214635,9.779539563698155,13.541892,22.076923076923077,0.6,0.23076923076923078,0.33333333333333337,gnn,0,0.3,0.3,0.18
0.74,0.75673735,-0.4444444444444441,-0.2823367,8.973590818188546,12.796375,16.46153846153846,0.5,0.3076923076923077,0.380952380952381,random,0,0.3,0.3,0.18
0.78,0.7722571,-0.22222222222222174,-0.20052585,7.299857231145857,11.418682,19.0,0.6666666666666666,0.3076923076923077,0.42105263157894735,gnn,0,0.3,0.3,0.2
0.74,0.76107043,-0.4444444444444441,-0.2594953,8.561109276755243,12.486946,15.76923076923077,0.5,0.3076923076923077,0.380952380952381,random,0,0.3,0.3,0.2
0.8,0.77825576,-0.11111111111111056,-0.16890441,6.524904928398761,10.6144285,15.538461538461538,0.7142857142857143,0.38461538461538464,0.5,gnn,0,0.3,0.3,0.22
0.76,0.7670691,-0.3333333333333329,-0.22787385,8.375573177734028,12.261565,13.923076923076923,0.5555555555555556,0.38461538461538464,0.4545454545454546,random,0,0.3,0.3,0.22
0.8,0.78025705,-0.11111111111111056,-0.1583548,6.480867748099268,10.084914,16.307692307692307,0.7142857142857143,0.38461538461538464,0.5,gnn,0,0.3,0.3,0.24
0.76,0.7796314,-0.3333333333333329,-0.16165297,8.772869940141797,11.753711,15.461538461538462,0.5555555555555556,0.38461538461538464,0.4545454545454546,random,0,0.3,0.3,0.24
0.8,0.783095,-0.11111111111111056,-0.14339478,6.470144397009627,9.936173,16.153846153846153,0.7142857142857143,0.38461538461538464,0.5,gnn,0,0.3,0.3,0.26
0.78,0.79826677,-0.22222222222222174,-0.06341821,8.53722645549826,10.085625,14.307692307692308,0.625,0.38461538461538464,0.4761904761904762,random,0,0.3,0.3,0.26
