O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1,method,sim,delta,lam,rho
0.78,0.7060474,-0.10000000000000012,-0.48164418,15.458198471237651,19.880579,27.166666666666668,1.0,0.08333333333333333,0.15384615384615385,gnn,0,0.3,0.3,0.02
0.76,0.7043852,-0.20000000000000023,-0.49002233,15.804634945600533,20.344368,27.416666666666668,0.0,0.0,0.0,random,0,0.3,0.3,0.02
0.8,0.7120419,0.0,-0.4514294,14.364721291870792,18.598997,21.166666666666668,1.0,0.16666666666666666,0.2857142857142857,gnn,0,0.3,0.3,0.04
0.78,0.7081068,-0.10000000000000012,-0.47126395,13.74546872153515,19.265383,23.25,1.0,0.08333333333333333,0.15384615384615385,random,0,0.3,0.3,0.04
0.82,0.71803635,0.09999999999999956,-0.4212149,13.193542967437509,17.383205,18.5,1.0,0.25,0.4,gnn,0,0.3,0.3,0.06
0.8,0.72009873,0.0,-0.41081965,13.206439977068339,18.139816,20.666666666666668,1.0,0.16666666666666666,0.2857142857142857,random,0,0.3,0.3,0.06
0.84,0.73000884,0.19999999999999968,-0.36086857,11.61969964654792,15.339121,17.916666666666668,1.0,0.3333333333333333,0.5,gnn,0,0.3,0.3,0.08
0.8,0.7286232,0.0,-0.36785272,12.802928686536312,17.72054,15.083333333333334,1.0,0.16666666666666666,0.2857142857142857,random,0,0.3,0.3,0.08
0.82,0.74199706,0.09999999999999956,-0.3004429,10.676830309170581,13.364239,18.083333333333332,0.8,0.3333333333333333,0.47058823529411764,gnn,0,0.3,0.3,0.1
0.8,0.7341777,0.0,-0.33985573,12.327193618466003,17.08978,17.166666666666668,1.0,0.16666666666666666,0.2857142857142857,random,0,0.3,0.3,0.1
0.8,0.7539809,0.0,-0.24003947,10.078510903267954,11.912204,19.416666666666668,0.6666666666666666,0.3333333333333333,0.4444444444444444,gnn,0,0.3,0.3,0.12
0.82,0.74308294,0.09999999999999956,-0.29496962,10.926730853511968,15.080724,16.833333333333332,1.0,0.25,0.4,random,0,0.3,0.3,0.12
0.78,0.7659648,-0.10000000000000012,-0.17963544,9.047958416271403,10.335738,19.666666666666668,0.5714285714285714,0.3333333333333333,0.4210526315789474,gnn,0,0.3,0.3,0.14
0.82,0.7511503,0.09999999999999956,-0.2543067,10.834191631594576,14.432045,19.25,1.0,0.25,0.4,random,0,0.3,0.3,0.14
0.78,0.7702978,-0.10000000000000012,-0.1577952,8.573109907068662,9.825949,17.166666666666668,0.5714285714285714,0.3333333333333333,0.4210526315789474,gnn,0,0.3,0.3,0.16
0.82,0.7613741,0.09999999999999956,-0.20277444,11.150253354692083,14.167276,16.083333333333332,1.0,0.25,0.4,random,0,0.3,0.3,0.16
0.8,0.7762964,0.0,-0.12755999,7.106925241241512,8.869469,16.083333333333332,0.625,0.4166666666666667,0.5,gnn,0,0.3,0.3,0.18
