O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1,method,sim,delta,lam,rho
0.62,0.71201533,-0.2666666666666665,-0.37685654,16.64616080610861,18.800056,24.055555555555557,0.0,0.0,0.0,gnn,0,0.3,0.3,0.02
0.66,0.7060238,-0.13333333333333305,-0.40550202,15.301890394081038,17.951807,21.555555555555557,1.0,0.05555555555555555,0.10526315789473684,random,0,0.3,0.3,0.02
0.62,0.71691424,-0.2666666666666665,-0.35343483,16.583857061280778,18.631676,24.833333333333332,0.0,0.0,0.0,gnn,0,0.3,0.3,0.04
0.66,0.7103566,-0.13333333333333305,-0.384787,14.873071689802542,17.515722,23.666666666666668,1.0,0.05555555555555555,0.10526315789473684,random,0,0.3,0.3,0.04
0.64,0.7229115,-0.1999999999999998,-0.324762,15.860746369254983,17.869741,24.38888888888889,0.5,0.05555555555555555,0.09999999999999999,gnn,0,0.3,0.3,0.06
0.62,0.7100749,-0.2666666666666665,-0.38613376,13.88598156689283,15.921932,21.27777777777778,0.3333333333333333,0.05555555555555555,0.09523809523809525,random,0,0.3,0.3,0.06
0.66,0.7289087,-0.13333333333333305,-0.29608914,15.349645478183701,17.305973,25.555555555555557,0.6666666666666666,0.1111111111111111,0.1904761904761905,gnn,0,0.3,0.3,0.08
0.68,0.7261107,-0.06666666666666635,-0.3094665,11.802447342410092,13.910179,22.61111111111111,1.0,0.1111111111111111,0.19999999999999998,random,0,0.3,0.3,0.08
0.68,0.73490596,-0.06666666666666635,-0.2674163,12.25532379281078,14.536577,24.77777777777778,0.75,0.16666666666666666,0.27272727272727276,gnn,0,0.3,0.3,0.1
0.68,0.7304434,-0.06666666666666635,-0.28875175,11.433031253095267,13.376177,18.333333333333332,1.0,0.1111111111111111,0.19999999999999998,random,0,0.3,0.3,0.1
0.68,0.73923874,-0.06666666666666635,-0.24670126,11.889006599636089,14.1396885,21.333333333333332,0.75,0.16666666666666666,0.27272727272727276,gnn,0,0.3,0.3,0.12
0.68,0.73093677,-0.06666666666666635,-0.28639305,10.958227250772246,13.126629,21.88888888888889,1.0,0.1111111111111111,0.19999999999999998,random,0,0.3,0.3,0.12
0.68,0.7435715,-0.06666666666666635,-0.2259862,11.359060518797046,13.741412,22.166666666666668,0.75,0.16666666666666666,0.27272727272727276,gnn,0,0.3,0.3,0.14
0.68,0.73509294,-0.06666666666666635,-0.26652235,10.839242987668008,12.702737,21.055555555555557,1.0,0.1111111111111111,0.19999999999999998,random,0,0.3,0.3,0.14
0.7,0.7495687,0.0,-0.19731364,9.332389149000978,12.0899105,19.88888888888889,0.8,0.2222222222222222,0.3478260869565218,gnn,0,0.3,0.3,0.16
0.66,0.72986853,-0.13333333333333305,-0.29150027,10.322385188031927,12.482701,20.5,0.6,0.16666666666666666,0.2608695652173913,random,0,0.3,0.3,0.16
0.72,0.75556594,0.06666666666666672,-0.16864079,8.223817636181682,10.679822,18.055555555555557,0.8333333333333334,0.2777777777777778,0.4166666666666667,gnn,0,0.3,0.3,0.18
0.64,0.72972596,-0.1999999999999998,-0.29218194,9.651000725550215,12.165633,19.166666666666668,0.5,0.16666666666666666,0.25,random,0,0.3,0.3,0.18
0.74,0.76156324,0.13333333333333344,-0.13996767,7.008252820239695,9.993982,19.27777777777778,0.8571428571428571,0.3333333333333333,0.48,gnn,0,0.3,0.3,0.2
0.66,0.73788345,-0.13333333333333305,-0.25318092,9.476641443405812,11.908187,19.38888888888889,0.5714285714285714,0.2222222222222222,0.32,random,0,0.3,0.3,0.2
0.74,0.765896,0.13333333333333344,-0.119252615,6.594949363057171,9.620083,16.72222222222222,0.8571428571428571,0.3333333333333333,0.48,gnn,0,0.3,0.3,0.22
0.66,0.7378914,-0.13333333333333305,-0.253143,9.475810432536964,11.905055,17.444444444444443,0.5714285714285714,0.2222222222222222,0.32,random,0,0.3,0.3,0.22
