O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1,method,sim,delta,lam,rho
0.64,0.7044041,-0.28571428571428553,-0.48077828,15.49611376656062,18.954271,25.294117647058822,0.0,0.0,0.0,gnn,0,0.3,0.3,0.02
0.66,0.6965962,-0.21428571428571405,-0.51989174,15.400491915455255,19.423264,19.0,0.0,0.0,0.0,random,0,0.3,0.3,0.02
0.66,0.7104015,-0.21428571428571405,-0.45073467,14.86887785462584,18.170359,19.764705882352942,0.5,0.058823529411764705,0.10526315789473684,gnn,0,0.3,0.3,0.04
0.64,0.7085869,-0.28571428571428553,-0.4598249,14.675132898982588,17.610485,23.235294117647058,0.0,0.0,0.0,random,0,0.3,0.3,0.04
0.66,0.70695376,-0.21428571428571405,-0.4680059,14.035447176034236,17.33673,24.294117647058822,0.5,0.058823529411764705,0.10526315789473684,gnn,0,0.3,0.3,0.06
0.64,0.71263725,-0.28571428571428553,-0.43953466,14.055479969218622,17.025997,21.0,0.0,0.0,0.0,random,0,0.3,0.3,0.06
0.66,0.72058344,-0.21428571428571405,-0.39972848,13.969229234784711,16.603582,23.647058823529413,0.5,0.058823529411764705,0.10526315789473684,gnn,0,0.3,0.3,0.08
0.64,0.72479993,-0.28571428571428553,-0.37860608,13.844917627044886,16.831263,19.294117647058822,0.0,0.0,0.0,random,0,0.3,0.3,0.08
0.68,0.71788335,-0.14285714285714257,-0.41325447,13.931075255190358,17.00374,20.41176470588235,1.0,0.058823529411764705,0.1111111111111111,gnn,0,0.3,0.3,0.1
0.64,0.7291331,-0.28571428571428553,-0.35689905,13.653221933388517,16.310522,20.705882352941178,0.0,0.0,0.0,random,0,0.3,0.3,0.1
0.7,0.7238806,-0.07142857142857148,-0.3832115,13.666942688512432,16.64333,20.823529411764707,1.0,0.11764705882352941,0.21052631578947367,gnn,0,0.3,0.3,0.12
0.62,0.73782647,-0.35714285714285704,-0.31335005,12.622209927548992,14.217442,20.176470588235293,0.0,0.0,0.0,random,0,0.3,0.3,0.12
0.7,0.727983,-0.07142857142857148,-0.36266062,13.049875473029665,16.06012,18.352941176470587,1.0,0.11764705882352941,0.21052631578947367,gnn,0,0.3,0.3,0.14
0.62,0.7421596,-0.35714285714285704,-0.29164335,12.134110456237321,13.749873,21.41176470588235,0.0,0.0,0.0,random,0,0.3,0.3,0.14
0.72,0.7339282,0.0,-0.3328783,10.764790061586446,14.266186,18.294117647058822,1.0,0.17647058823529413,0.3,gnn,0,0.3,0.3,0.16
0.64,0.74815905,-0.28571428571428553,-0.26158932,11.88483705977485,13.322705,20.294117647058822,0.3333333333333333,0.058823529411764705,0.1,random,0,0.3,0.3,0.16
0.72,0.7382611,0.0,-0.31117275,10.434137130259677,13.832381,18.176470588235293,1.0,0.17647058823529413,0.3,gnn,0,0.3,0.3,0.18
0.66,0.756404,-0.21428571428571405,-0.22028658,10.9257552185146,12.208758,21.176470588235293,0.5,0.11764705882352941,0.19047619047619047,random,0,0.3,0.3,0.18
